t_no;t_id;t_level;t_rarity;t_type
1.000000;F_02_1_0007_0002;1.000000;normal;fellow
2.000000;F_02_0_0309_0002;1.000000;normal;fellow
3.000000;F_02_1_0007_0003;1.000000;normal;fellow
4.000000;F_02_0_0309_0000;1.000000;elite;fellow
5.000000;F_00_0_0245_0000;1.000000;elite;fellow
6.000000;F_00_0_0245_0001;1.000000;normal;fellow
7.000000;F_00_0_0309_0000;1.000000;elite;fellow
8.000000;F_03_0_0309_0001;1.000000;normal;fellow
9.000000;F_03_0_0245_0001;1.000000;elite;fellow
10.000000;F_03_0_0245_0002;1.000000;normal;fellow
11.000000;F_03_0_0309_0009;1.000000;normal;fellow
12.000000;F_03_0_0309_0010;1.000000;normal;fellow
13.000000;F_03_0_0245_0003;1.000000;normal;fellow
14.000000;F_03_0_0245_0004;1.000000;normal;fellow
15.000000;F_03_0_0083_0001;1.000000;elite;fellow
16.000000;F_03_0_0083_0003;1.000000;normal;fellow
17.000000;F_03_0_0083_0005;1.000000;normal;fellow
18.000000;F_03_0_0083_0006;1.000000;normal;fellow
19.000000;F_03_0_0083_0007;1.000000;normal;fellow
20.000000;F_02_1_0011_0000;1.000000;normal;fellow
21.000000;F_02_1_0011_0001;1.000000;normal;fellow
22.000000;F_02_1_0011_0002;5.000000;normal;fellow
23.000000;F_03_0_0672_0001;1.000000;normal;fellow
24.000000;F_03_0_0672_0002;1.000000;normal;fellow
25.000000;F_03_0_0672_0003;1.000000;normal;fellow
26.000000;F_03_0_0672_0004;1.000000;normal;fellow
27.000000;F_03_0_0672_0005;1.000000;normal;fellow
28.000000;F_03_0_0309_0002;1.000000;elite;fellow
29.000000;F_04_0_0309_0000;1.000000;normal;fellow
30.000000;F_04_0_0309_0001;1.000000;normal;fellow
31.000000;F_04_0_0309_0002;1.000000;elite;fellow
32.000000;F_51_0_0083_0000;1.000000;elite;fellow
33.000000;F_02_0_0676_0001;1.000000;elite;fellow
34.000000;F_03_0_0676_0001;1.000000;normal;fellow
35.000000;F_51_0_0611_0000;1.000000;elite;fellow
36.000000;F_02_1_0606_0002;7.000000;elite;fellow
37.000000;F_03_0_0672_0006;21.000000;normal;fellow
38.000000;F_03_0_0671_0001;1.000000;normal;fellow
39.000000;F_03_0_0671_0002;1.000000;normal;fellow
40.000000;F_03_0_0671_0003;1.000000;normal;fellow
41.000000;F_03_0_0671_0005;1.000000;normal;fellow
42.000000;F_03_0_0671_0007;1.000000;normal;fellow
43.000000;F_03_0_0671_0008;1.000000;normal;fellow
44.000000;F_03_0_0671_0009;1.000000;elite;fellow
45.000000;F_03_0_0692_0000;1.000000;normal;fellow
46.000000;F_03_0_0769_0000;1.000000;elite;fellow
47.000000;F_03_0_0769_0001;1.000000;normal;fellow
48.000000;F_02_1_0309_0000;1.000000;normal;fellow
49.000000;F_02_0_0676_0002;1.000000;normal;fellow
50.000000;F_50_0_0245_0000;1.000000;elite;fellow
51.000000;F_03_0_0692_0002;1.000000;normal;fellow
52.000000;F_03_0_1720_0000;1.000000;normal;fellow
53.000000;F_03_0_0704_0001;1.000000;normal;fellow
54.000000;F_02_1_0606_0000;1.000000;normal;fellow
55.000000;F_04_0_0245_0000;1.000000;normal;fellow
56.000000;F_04_0_0245_0001;1.000000;elite;fellow
57.000000;F_04_0_0245_0002;1.000000;normal;fellow
58.000000;F_04_0_0083_0000;1.000000;normal;fellow
59.000000;F_04_0_0083_0001;1.000000;elite;fellow
60.000000;F_03_0_0671_0010;1.000000;normal;fellow
61.000000;F_03_0_0245_0005;1.000000;normal;fellow
62.000000;F_03_0_1715_0001;1.000000;heroic;fellow
63.000000;F_02_0_0676_0003;1.000000;normal;fellow
64.000000;F_03_0_0704_0010;1.000000;normal;fellow
65.000000;F_02_1_0007_0000;1.000000;normal;fellow
66.000000;F_02_1_0007_0001;1.000000;normal;fellow
67.000000;F_03_0_1715_0003;1.000000;mitico;fellow
68.000000;F_00_0_0001_0001;1.000000;elite;fellow
69.000000;F_03_0_1716_0000;1.000000;normal;fellow
70.000000;F_03_0_1717_0000;1.000000;normal;fellow
71.000000;F_03_0_1718_0000;1.000000;normal;fellow
72.000000;F_00_0_0001_0002;1.000000;elite;fellow
73.000000;F_03_0_0769_0002;10.000000;normal;fellow
74.000000;F_03_0_0769_0003;10.000000;normal;fellow
75.000000;F_03_0_0769_0004;12.000000;normal;fellow
76.000000;F_03_0_1715_0004;1.000000;elite;fellow
77.000000;F_03_0_1715_0005;1.000000;normal;fellow
78.000000;F_02_Liger_0001;1.000000;elite;fellow
79.000000;F_02_Tou_0001;1.000000;elite;fellow
80.000000;F_02_Bsau_0001;1.000000;normal;fellow
81.000000;F_04_Fdra_0001;1.000000;normal;fellow
82.000000;F_04_Bdra_0001;1.000000;elite;fellow
83.000000;F_02_Rhsau_0001;1.000000;elite;fellow
84.000000;F_C01_Unic_0001;1.000000;normal;fellow
85.000000;F_03_0_0671_0004;1.000000;normal;fellow
86.000000;F_03_0_0671_0006;1.000000;normal;fellow
87.000000;F_03_0_0671_0011;1.000000;normal;fellow
88.000000;F_03_0_0671_0012;1.000000;elite;fellow
89.000000;F_03_0_0671_0013;1.000000;normal;fellow
90.000000;F_03_0_0083_0004;1.000000;normal;fellow
91.000000;F_03_Firebird_001;1.000000;normal;fellow
92.000000;F_03_0_0309_0011;12.000000;normal;fellow
93.000000;F_03_0_0245_0006;1.000000;normal;fellow
94.000000;F_03_0_0704_0011;1.000000;normal;fellow
95.000000;F_03_0_0769_0005;1.000000;elite;fellow
96.000000;F_03_0_0672_0008;1.000000;elite;fellow
97.000000;F_03_0_0245_0007;1.000000;normal;fellow
98.000000;F_03_0_0672_0009;1.000000;normal;fellow
99.000000;F_03_0_0245_0008;1.000000;elite;fellow
100.000000;F_03_0_0083_0008;1.000000;elite;fellow
101.000000;F_03_0_1715_0010;1.000000;elite;fellow
102.000000;F_03_0_0671_0014;1.000000;normal;fellow
103.000000;F_03_0_0704_0012;1.000000;normal;fellow
104.000000;F_03_0_1717_0002;1.000000;normal;fellow
105.000000;F_03_0_1715_0006;1.000000;heroic;fellow
106.000000;F_02_Tou_0002;1.000000;elite;fellow
107.000000;F_02_Liger_0003;1.000000;elite;fellow
108.000000;F_04_Fdra_0002;1.000000;normal;fellow
109.000000;F_06_Ostrich_0001;1.000000;elite;fellow
110.000000;F_06_Eagle_0001;1.000000;elite;fellow
111.000000;F_06_ESco_0001;47.000000;normal;fellow
112.000000;F_06_ESco_0002;47.000000;normal;fellow
113.000000;F_03_bull_0001;1.000000;normal;fellow
114.000000;F_03_Wolf_0001;1.000000;normal;fellow
115.000000;F_03_Deer_0001;1.000000;normal;fellow
116.000000;F_03_boar_0001;1.000000;normal;fellow
117.000000;F_14_Toucan_0001;1.000000;normal;fellow
118.000000;F_07_Toucan_0001;1.000000;elite;fellow
119.000000;F_d08_Pega_0001;1.000000;heroic;fellow
120.000000;F_d14_Blraba_0001;1.000000;normal;fellow
121.000000;F_c02_Brindle_0001;1.000000;heroic;fellow
122.000000;F_f03_Forst_0001;1.000000;elite;fellow
123.000000;F_c02_Liones_0001;1.000000;normal;fellow
124.000000;F_f03_Forst_0002;1.000000;heroic;fellow
125.000000;F_c02_Lion_0001;1.000000;normal;fellow
126.000000;F_c02_Elep_0001;1.000000;normal;fellow
127.000000;F_c02_Elep_0002;1.000000;normal;fellow
128.000000;F_c02_Ddog_0001;1.000000;normal;fellow
129.000000;F_d14_Etur_0001;1.000000;normal;fellow
130.000000;F_d09_wolf_0001;1.000000;normal;fellow
131.000000;F_f05_Eagle_0001;1.000000;normal;fellow
132.000000;F_f05_toucan_0001;1.000000;elite;fellow
133.000000;F_d03_Etur_0001;1.000000;elite;fellow
134.000000;F_d02_bear_0001;1.000000;elite;fellow
135.000000;F_d03_Etur_0002;1.000000;elite;fellow
136.000000;F_f01_leop_00_01;1.000000;normal;fellow
137.000000;F_f01_leop_00_02;1.000000;normal;fellow
138.000000;F_f01_leop_00_03;1.000000;normal;fellow
139.000000;F_f03_Casp_0001;1.000000;normal;fellow
140.000000;F_f03_Casp_0002;1.000000;heroic;fellow
141.000000;F_f03_matu_0001;1.000000;heroic;fellow
142.000000;F_03_Deer_0002;1.000000;normal;fellow
143.000000;F_f03_Snowleo_0001;1.000000;normal;fellow
144.000000;F_03_Wolf_0003;1.000000;normal;fellow
145.000000;F_f01_wolf_0000;1.000000;normal;fellow
146.000000;F_f01_wolf_0001;1.000000;normal;fellow
147.000000;F_f01_wolf_0002;1.000000;normal;fellow
148.000000;F_f01_wolfel_0000;1.000000;elite;fellow
149.000000;F_f02_wolf_0003;1.000000;normal;fellow
150.000000;F_f02_leoel_0000;1.000000;elite;fellow
151.000000;F_f02_leo_0002;1.000000;normal;fellow
152.000000;F_f02_wolf_0006;1.000000;normal;fellow
153.000000;F_f02_wolf_0007;1.000000;normal;fellow
154.000000;F_f02_leo_0003;1.000000;normal;fellow
155.000000;F_f02_leo_0004;1.000000;normal;fellow
156.000000;F_f02_bearel_0000;1.000000;elite;fellow
157.000000;F_f02_bear_0001;1.000000;normal;fellow
158.000000;F_f02_bear_0002;1.000000;normal;fellow
159.000000;F_f02_bear_0003;1.000000;normal;fellow
160.000000;F_f02_bear_0004;1.000000;normal;fellow
