no;t_id;t_이름;t_비고;t_프로필사진;t_model;model1;bulletspd;tranceforce;shaketime;shakex;shakey;shakez;t_iconb;t_icons;t_등장fx;t_탑승fx;t_하차fx;t_selffx;t_selffx1;t_selffx2;t_hitfx;t_dmgfx;t_cdmgfx;t_활강날개fx;2nd_pick_range;t_안장코드;t_기본 장착 안장;t_bridlefx;t_mststyle;t_psnstyle;모델타입;일반애니스피드_리액션제외;이동애니스피드;공격애니스피드;buffsize;marksize;heightoffset;defaultheight;t_로비위치;비행idle사용여부;로비애니속도;t_활강사운드;waterdummy;fx발생레벨조건1;t_조건fx1;fx발생레벨조건2;t_조건fx2;fx발생레벨조건3;t_조건fx3;사이즈변경레벨1;사이즈변경1;사이즈변경레벨2;사이즈변경2;사이즈변경레벨3;사이즈변경3;invisible;충돌실린더반지름;충돌실린더높이;cyloffset;nocombatbind
9000.000000;F_00_drogon_0001;붉은 마룡 아그나스;수호신룡의 관문;drogon.png;drogon.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;drogon;drogon_PET;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.000000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9001.000000;F_00_drogon_0002;붉은 마룡 아그나스;;drogon_Pet.png;drogon.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;drogon_PET;drogon_PET;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.500000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9002.000000;F_00_drogon2_0001;붉은 마룡 아그나스;;drogon.png;drogon.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;drogon_PET;drogon_PET;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.500000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9003.000000;F_00_drogon2_0002;붉은 마룡 아그나스;;drogon_Pet.png;drogon.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;drogon_PET;drogon_PET;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.500000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9004.000000;F_EV_Adelike_01;Adelik;Wiabodhi edit;adelike.png;IlikAdelDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;adelike;adelike;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;Sicra_Hit_01;Ycant_DMG_01.DMG_DC_CM_NO_00;Ycant_DMG_01.CDMG_DC_CM_NO_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.800000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.500000;0.400000;0.000000;0.000000
9005.000000;F_PI_Pega_003;Nocturne;PVP 지역 사용;pi_pega_003.png;nanightmarebdc.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;iconPI_9996;iconPI_9996;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;1.900000;0.000000;0.000000;p1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9006.000000;F_PI_Pega_004;Nocturne;PVP 지역 사용;pi_pega_003_p.png;nanightmarebdc.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;iconPI_9996_P;iconPI_9996_P;CM_COM_01.BoardDown_Co_R_No_02;*;*;*;*;*;*;*;*;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.400000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9007.000000;F_EV_GrimReaper_01;Grim Reaper;2021 Halloween Event;Grimreaper.png;cabesicraDC.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;icon_grimreaper_p;icon_grimreaper_p;CM_COM_01.BoardDown_Co_R_No_02;*;*;Sicrad_SKL.Bsmoke_DC_D_NO_01;*;*;Sicra_Hit_01;Ycant_DMG_01.DMG_DC_CM_NO_00;Ycant_DMG_01.CDMG_DC_CM_NO_00;*;20.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.800000;0.000000;0.000000;p4;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.500000;0.400000;0.000000;0.000000
9008.000000;F_x_WaterDragonAWK;Awakened Divine Fabulion;x_Custom;WaterDragonAWK.png;WaterDragonAWK.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;WaterDragonAWK;WaterDragonAWK;CM_COM_01.BoardDown_Co_R_No_02;*;*;WR_WorldRaid.FeSelf_waterdragon_004;com_fellow_F00.FeSelf_00_D_CS_01;*;*;*;*;*;22.000000;*;*;*;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;0.700000;0.000000;0.000000;p2;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
9009.000000;F_F10_Rayol_03;환영의 조각 레이올;마그마포라 필드 펠로우;lobo.png;diamondwolfAAA.cdf;0.000000;0.000000;40.000000;0.120000;0.050000;0.060000;0.030000;lobo;lobo;CM_COM_01.BoardDown_Co_R_No_02;*;*;com_fellow_C00.FeSelf_00_McWolf_01;com_fellow_F00.FeSelf_00_D_CS_04;*;IceRuin_Hit_01;CM_COM_01.CDMG_SD_CM_IC_00;CM_COM_01.CDMG_SD_CM_IC_00;*;20.000000;*;*;CM_COM_01.TrainNom_Co_R_No_00;*;*;1.000000;-1.000000;-1.000000;-1.000000;1.000000;2.100000;0.000000;0.000000;P1;0.000000;1.000000;Sounds/NED_FMOD:npc/footstep:fellow_downhill_loop_cast;1.019000;0.000000;*;0.000000;*;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.600000;1.500000;0.000000;0.000000
