t_id;t_이름;t_사용클래스;등급;요구레벨;아이템레벨;매입가;처분가;중첩갯수;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;wpnenchant;bwpnenchant;swpnenchant;armenchant;accenchant;sfslotcnt;eqbelongcnt;t_사용제한;t_판매대행분류;t_박스연결아이템1;박스연결아이템수량1;박스연결아이템귀속1;t_박스연결아이템2;박스연결아이템수량2;박스연결아이템귀속2;t_박스연결아이템3;박스연결아이템수량3;박스연결아이템귀속3;t_박스연결아이템4;박스연결아이템수량4;박스연결아이템귀속4;t_박스연결아이템5;박스연결아이템수량5;박스연결아이템귀속5;t_박스연결아이템6;박스연결아이템수량6;박스연결아이템귀속6;t_박스연결아이템7;박스연결아이템수량7;박스연결아이템귀속7;t_박스연결아이템8;박스연결아이템수량8;박스연결아이템귀속8;t_박스연결아이템9;박스연결아이템수량9;박스연결아이템귀속9;t_박스연결아이템10;박스연결아이템수량10;박스연결아이템귀속10;사망시사용여부;생성개수;캐쉬;구매제한;사용기간;contentslevel;통합채널사용불가
BX_0_0000;강화 실패 잔재;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;10.000000;3.000000;1.000000;0.000000;0.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;CO_0_0000;1.000000;0.000000;CO_0_0001;2.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
BX_1_0000;추출 물품;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;10.000000;3.000000;1.000000;0.000000;0.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;CO_0_0001;1.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0000;엘로라의 추천 패키지;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;get;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;CA_BX_00_0016;1.000000;0.000000;CA_RA_00_0002;30.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0001;런칭 한정 펠로우 세트;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;CB_0_0017;1.000000;0.000000;fq_03_fk_0008;1.000000;0.000000;fq_03_sl_0008;1.000000;0.000000;fq_03_ar_0008;1.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0002;엘룬 10개 박스;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;get;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;ry_0_0000;10.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0003;엘룬 40개 박스;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;get;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;ry_0_0000;40.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0004;엘룬 77+8개 박스;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;ry_0_0000;85.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0005;엘룬 231+35개 박스;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;ry_0_0000;266.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0006;엘룬 385+77개 박스;WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;ry_0_0000;462.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0000;버서커용 엑자란 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;PE_0_0005;1.000000;0.000000;pvpWE1_001_2_2528;1.000000;0.000000;pvpWE8_002_2_2528;1.000000;0.000000;pvpWE9_002_2_2528;1.000000;0.000000;pvpAR1_003_1_002528;1.000000;0.000000;pvpAR1_003_2_002528;1.000000;0.000000;pvpAR1_003_3_002528;1.000000;0.000000;pvpAR1_003_4_002528;1.000000;0.000000;pvpAR1_003_5_002528;1.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0001;가디언용 엑자란 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;PE_0_0005;1.000000;0.000000;pvpWE0_001_2_2528;1.000000;0.000000;pvpWE8_002_2_2528;1.000000;0.000000;pvpWE9_002_2_2528;1.000000;0.000000;pvpAR0_003_1_002528;1.000000;0.000000;pvpAR0_003_2_002528;1.000000;0.000000;pvpAR0_003_3_002528;1.000000;0.000000;pvpAR0_003_4_002528;1.000000;0.000000;pvpAR0_003_5_002528;1.000000;0.000000;pvpSU0_003_1_2528;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0002;어쌔신용 엑자란 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;PE_0_0005;1.000000;0.000000;pvpWE4_001_2_2528;1.000000;0.000000;pvpWE4_001_2_2528;1.000000;0.000000;pvpWE8_002_2_2528;1.000000;0.000000;pvpWE9_002_2_2528;1.000000;0.000000;pvpAR3_005_1_002528;1.000000;0.000000;pvpAR3_005_2_002528;1.000000;0.000000;pvpAR3_005_3_002528;1.000000;0.000000;pvpAR3_005_4_002528;1.000000;0.000000;pvpAR3_005_5_002528;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0003;위저드용 엑자란 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;PE_0_0005;1.000000;0.000000;pvpWE6_001_2_2528;1.000000;0.000000;pvpWE8_002_2_2528;1.000000;0.000000;pvpWE9_002_2_2528;1.000000;0.000000;pvpAR4_004_1_002528;1.000000;0.000000;pvpAR4_004_2_002528;1.000000;0.000000;pvpAR4_004_3_002528;1.000000;0.000000;pvpAR4_004_4_002528;1.000000;0.000000;pvpAR4_004_5_002528;1.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0004;프리스트용 엑자란 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;PE_0_0005;1.000000;0.000000;pvpWE5_001_2_2528;1.000000;0.000000;pvpWE8_002_2_2528;1.000000;0.000000;pvpWE9_002_2_2528;1.000000;0.000000;pvpAR5_004_1_002528;1.000000;0.000000;pvpAR5_004_2_002528;1.000000;0.000000;pvpAR5_004_3_002528;1.000000;0.000000;pvpAR5_004_4_002528;1.000000;0.000000;pvpAR5_004_5_002528;1.000000;0.000000;pvpSU1_003_1_2528;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
CA_BX_00_0007;엘룬 100개 박스(거래 불가)(구매제한);WR_GD_AC_TF_PR_WZ_DO_MG;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;get;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;ry_0_0000;100.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;1.000000;0.000000;1.000000;1.000000;0.000000;1.000000;0.000000
PE_0_0005;공용 소모품 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;pvpAC0_1_4043;1.000000;0.000000;pvpAC0_0_4043;1.000000;0.000000;pvpAC0_0_4043;1.000000;0.000000;CO_0_0002;20.000000;0.000000;CO_0_0022;20.000000;0.000000;CO_3_0005;20.000000;0.000000;CO_1_0007;20.000000;0.000000;CO_1_0020;20.000000;0.000000;CB_0_0015;1.000000;0.000000;CB_0_0013;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0006;버서커용 14레벨 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;WE1_005_0_2153;1.000000;0.000000;AR1_022_3_92131;1.000000;0.000000;AR1_022_4_92131;1.000000;0.000000;AR1_022_5_92131;1.000000;0.000000;AC0_0_21511;1.000000;0.000000;AC0_0_21511;1.000000;0.000000;AC0_1_30001;1.000000;0.000000;PE_0_0011;1.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0007;가디언용 14레벨 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;WE0_007_0_2153;1.000000;0.000000;AR0_022_3_92131;1.000000;0.000000;AR0_022_4_92131;1.000000;0.000000;AR0_022_5_92131;1.000000;0.000000;SU0_006_0_2171;1.000000;0.000000;AC0_0_21511;1.000000;0.000000;AC0_0_21511;1.000000;0.000000;AC0_1_30001;1.000000;0.000000;PE_0_0011;1.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0008;어쌔신용 14레벨 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;WE4_015_0_2153;1.000000;0.000000;WE4_015_0_2153;1.000000;0.000000;AR3_022_3_92131;1.000000;0.000000;AR3_022_4_92131;1.000000;0.000000;AR3_022_5_92131;1.000000;0.000000;AC0_0_21511;1.000000;0.000000;AC0_0_21511;1.000000;0.000000;AC0_1_30001;1.000000;0.000000;PE_0_0011;1.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0009;위저드용 14레벨 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;WE6_000_0_2153;1.000000;0.000000;AR4_022_3_92131;1.000000;0.000000;AR4_022_4_92131;1.000000;0.000000;AR4_022_5_92131;1.000000;0.000000;AC0_0_21512;1.000000;0.000000;AC0_0_21512;1.000000;0.000000;AC0_1_30002;1.000000;0.000000;PE_0_0011;1.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
PE_0_0010;프리스트용 14레벨 박스;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;no;none;0.000000;0.000000;0.000000;0.000000;0.000000;-1.000000;-1.000000;*;Auction_901;WE5_005_0_2153;1.000000;0.000000;AR5_022_3_92131;1.000000;0.000000;AR5_022_4_92131;1.000000;0.000000;AR5_022_5_92131;1.000000;0.000000;SU1_006_0_2171;1.000000;0.000000;AC0_0_21512;1.000000;0.000000;AC0_0_21512;1.000000;0.000000;AC0_1_30002;1.000000;0.000000;PE_0_0011;1.000000;0.000000;*;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000
