t_id;t_이름;등급;gradeplus;t_sealtype;아이템레벨;t_속성타입;t_강화타입;t_크리쳐등급;t_봉인된펠로우효과1;t_봉인된펠로우효과2;t_봉인된펠로우효과3;t_최대강화봉인펠로우효과;rfgrade;rfeff;t_스킬효과;매입가;처분가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_사용제한;특성력;사용기간;t_판매대행분류;통합채널사용불가;중첩갯수;expweight
SF2_101_IC_0114;Drogon;7.000000;0.000000;sd;1.000000;no;so;C;모든공격력+,170,190,220;allstatderest+,30,65,30;allstat+,120,110,150;STR+,210,260;7.000000;30.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;get;*;800.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_IC_0115;Drogon;7.000000;0.000000;sd;1.000000;no;so;C;모든공격력+,170,190,220;allstatderest+,30,60,30;allstat+,120,110,150;Int+,210,260;7.000000;30.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;get;*;800.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_IC_2207;lobo;7.000000;0.000000;sd;1.000000;no;so;C;모든공격력+,150,170,220;allstatderest+,30,65,30;allstat+,120,110,150;STR+,150,170;7.000000;30.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;get;*;800.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_IC_2208;lobo;7.000000;0.000000;sd;1.000000;no;so;C;모든공격력+,150,170,220;allstatderest+,30,60,30;allstat+,120,110,150;Int+,150,170;7.000000;30.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;get;*;800.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0001;fierce gray wolf;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;4.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0002;우두머리 회색늑대;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;5.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0003;유적지 회색 늑대;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;7.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0004;식인 늑대 프릿샤;2.000000;0.000000;sd;1.000000;no;so;C;STR+,4,7,16;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;35.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0005;페가수스;2.000000;0.000000;sd;1.000000;no;so;C;STR+,4,7,16;무기극대화확률+,1,1,1;*;allstat+,2,4;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;250.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0006;나이트메어;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;50.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0007;기사단 페가수스;2.000000;0.000000;sd;1.000000;no;so;C;최대HP+,21,41,183;무기극대화확률+,1,1,1;*;allstat+,2,4;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;250.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0008;어둠의 그림자늑대;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0009;애꾸눈 챠카이;2.000000;0.000000;sd;1.000000;no;no;C;STR+,4,7,16;무기극대화확률+,1,1,1;*;allstat+,2,3;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;95.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0010;덩치 큰 흑표범;1.000000;0.000000;sd;1.000000;no;so;C;무기극대력+,3,5,77;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;17.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
SF2_101_1_0011;어둠의 그림자늑대;1.000000;0.000000;sd;1.000000;no;so;C;무기물리공격력+,2,4,62;*;*;allstat+,1,1;0.000000;0.000000;*;20.000000;4.000000;0.000000;0.000000;0.000000;item;none;*;12.000000;0.000000;Auction_585;0.000000;1.000000;10000.000000
