t_id;t_이름;개발용;요구레벨;제한레벨;아이템레벨;t_사용클래스;t_랜덤적용클래스;t_사용가능성별;등급;t_장신구타입;내구도;매입가;처분가;물리_최소공격력;물리_최대공격력;마법_방어력;t_장착효과1;t_장착효과2;t_장착효과3;t_장착효과4;랜덤옵션적용여부;랜덤옵션개수_최소;랜덤옵션개수_최대;t_옵션적용비율;t_가변 항목;가변 항목 최소;가변 항목 최대;강화제한;t_강화확률;드랍불가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_귀속대상;귀속해제횟수;t_사용제한;염색여부;t_판매대행분류;t_스킬효과;드랍시레벨검사무시;사용기간;t_gradeupcodekey;t_gradeupresult;t_분해아이디;t_추출아이디;봉인석중복장착여부;봉인된펠로우장착슬롯수;봉인된펠로우장착슬롯수_최소;봉인된펠로우장착슬롯수_최대;useleveloption;levelweight;overrisemax;t_overriseid;t_overriseid2;t_overriseid3;contentslevel;통합채널사용불가;리버스강화제한;lvup;itemexp;t_overrisematid1;t_overrisematid2;t_화폐설정id
AC0_0_1000;마리아의 보호부적;0.000000;17.000000;0.000000;17.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;1.000000;ri;30.000000;1801.000000;181.000000;0.000000;0.000000;19.000000;*;*;*;*;0.000000;0.000000;0.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0003;AC0_EV_4_0_0001;*;*;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;17.000000;0.000000;0.000000;30.000000;100.000000;*;*;*
AC0_1_1000;쿨타임 감소 목걸이(99%);0.000000;1.000000;0.000000;1.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;1.000000;ne;30.000000;6102.000000;611.000000;0.000000;0.000000;9.000000;(쿨타임%,-99);*;*;*;0.000000;0.000000;0.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0004;AC0_EV_4_0_0002;*;*;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;*;*;*
AC0_0_9999;테스트용반지_치명타 (100);1.000000;1.000000;0.000000;4.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;52.000000;6.000000;0.000000;0.000000;7.000000;(무기극대화확률+,100);(마법극대화확률+,100);*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0005;AC0_EV_4_0_0003;Elite_0001_ri;*;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_9989;테스트용반지_치명타 (30);1.000000;1.000000;0.000000;4.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;52.000000;6.000000;0.000000;0.000000;7.000000;(무기극대화확률+,30);(마법극대화확률+,30);*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0006;AC0_EV_4_0_0004;Elite_0001_ri;*;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_9988;테스트용반지_치명타 (70);1.000000;1.000000;0.000000;4.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;52.000000;6.000000;0.000000;0.000000;7.000000;(무기극대화확률+,70);(마법극대화확률+,70);*;*;1.000000;2.000000;2.000000;3000,3000,3000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;equip;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0007;AC0_EV_4_0_0005;Elite_0001_ri;*;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_10001;왕가의 반지;0.000000;3.000000;0.000000;7.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;1.000000;ri;30.000000;3.000000;1.000000;0.000000;0.000000;10.000000;(allstat+,없음);*;*;*;0.000000;0.000000;0.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0008;AC0_EV_4_0_0006;*;ac_1_3;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;3.000000;0.000000;0.000000;30.000000;100.000000;*;*;*
AC0_0_10002;포포의 한정 반지;0.000000;8.000000;0.000000;15.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;353.000000;36.000000;0.000000;0.000000;17.000000;(allstat+,없음);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_301;*;0.000000;0.000000;GU_Test_3_0009;AC0_EV_4_0_0007;Elite_0005_ri;ac_2_8;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;8.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21001;요정의 반지;0.000000;10.000000;0.000000;16.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;1519.000000;152.000000;0.000000;0.000000;19.000000;(최대HP+,80);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0010;AC0_EV_4_0_0008;Elite_0010_ri;ac_2_10;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;10.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21011;숲의 강인한 적수정 반지;0.000000;7.000000;0.000000;14.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;284.000000;29.000000;0.000000;0.000000;16.000000;(최대HP+,120);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0011;AC0_EV_4_0_0009;Elite_0005_ri;ac_2_7;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;7.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
AC0_0_21012;숲의 지혜로운 적수정 반지;0.000000;7.000000;0.000000;14.000000;GD_WR_TF_AC_WZ_PR_DO_MG;*;*;2.000000;ri;30.000000;284.000000;29.000000;0.000000;0.000000;16.000000;(최대HP+,120);*;*;*;0.000000;2.000000;2.000000;5000,3000,1000,1000;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;get;ch;0.000000;*;0.000000;Auction_302;*;0.000000;0.000000;GU_Test_3_0012;AC0_EV_4_0_0010;Elite_0005_ri;ac_2_7;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;*;*;*;7.000000;0.000000;0.000000;30.000000;210.000000;*;*;*
