t_id;t_이름;개발용;요구레벨;제한레벨;아이템레벨;t_사용클래스;t_랜덤적용클래스;t_사용가능성별;등급;t_장착파츠;t_방어구재질;t_속성타입;방어_속성_게이지;물리_방어력;마법_방어력;내구도;매입가;처분가;t_장착효과1;t_장착효과2;t_장착효과3;t_장착효과4;랜덤옵션적용여부;랜덤옵션개수_최소;랜덤옵션개수_최대;t_옵션적용비율;봉인된펠로우장착슬롯수_최소;봉인된펠로우장착슬롯수_최대;t_가변 항목;가변 항목 최소;가변 항목 최대;봉인된펠로우장착슬롯수;t_영혼석슬롯1;t_영혼석슬롯2;t_영혼석슬롯3;강화제한;t_강화확률;드랍불가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_귀속대상;귀속해제횟수;t_사용제한;염색여부;t_판매대행분류;t_스킬효과;드랍시레벨검사무시;사용기간;t_gradeupcodekey;t_gradeupresult;t_분해아이디;t_추출아이디;useleveloption;levelweight;overrisemax;t_overriseid;t_overriseid2;t_overriseid3;contentslevel;통합채널사용불가;리버스강화제한;lvup;itemexp;봉인석중복장착여부;t_overrisematid1;t_overrisematid2
NPC_0401;대장군 (401);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0002;AR4_400_1_6500;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0402;상급기사 단장_남 (402);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0003;AR4_400_1_6501;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0403;상급기사 단장_여 (403);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0004;AR4_400_1_6502;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0404;기사 (404);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0005;AR4_400_1_6503;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0405;하사관_남 (405);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0006;AR4_400_1_6504;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0406;하사관_여 (406);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0007;AR4_400_1_6505;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0407;병사_남 (407);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0008;AR4_400_1_6506;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0408;병사_여 (408);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0009;AR4_400_1_6507;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0409;마법사 2등급_여 (409);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0010;AR4_400_1_6508;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0410;돌격대장 루시머 (410);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0011;AR4_400_1_6509;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
NPC_0411;재빠른 총잡이 슬로 (411);1.000000;1.000000;0.000000;1.000000;GD;*;*;1.000000;ja;*;no;0.000000;39.000000;39.000000;0.000000;0.000000;0.000000;*;*;*;*;0.000000;0.000000;0.000000;*;0.000000;0.000000;*;0.000000;0.000000;0.000000;N;N;N;0.000000;r1;1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;1.000000;*;*;0.000000;0.000000;GU_Test_3_0012;AR4_400_1_6510;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
