번호;t_id;t_이름;요구레벨;제한레벨;아이템레벨;t_소모타입;등급;t_타입;매입가;처분가;t_장착효과1;t_장착효과2;t_장착효과3;t_장착효과4;드랍불가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_귀속대상;귀속해제횟수;t_사용제한;t_판매대행분류;t_스킬효과;중첩갯수;생성개수;사용기간;캐쉬;contentslevel;통합채널사용불가;구매제한;group;rank;truekeeping;t_영역타입;t_사용영역;t_f39;t_f40;t_f41;t_f42;t_f43;t_f44;t_f45;t_f46;t_f47;t_f48;t_f49;t_f50;t_f51;t_f52;t_f53;t_f54;t_f55;t_f56;t_f57;t_f58;t_f59;t_f60;t_f61;t_f62
1.000000;Bt_0_0000;부스트 테스트 아이템 01;1.000000;0.000000;1.000000;ed;1.000000;bt;1.000000;1.000000;(최대HP+,173);(최대MP+,173);(STR+,10);(DEX+,10);1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;Auction_101;*;1.000000;5.000000;65.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
2.000000;Bt_0_0001;부스트 테스트 아이템 02;1.000000;0.000000;1.000000;ed;1.000000;bt;1.000000;1.000000;(최대HP+,173);(최대MP+,173);(MTL+,10);(INT+,10);1.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;Auction_101;*;1.000000;5.000000;3610.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
3.000000;EV_BO_00_0000;100일 기념 부스터 (5일);1.000000;0.000000;1.000000;ed;2.000000;bt;1.000000;1.000000;(allstat+,10);*;*;*;0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;432000.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
4.000000;EV_BO_00_0001;100일 기념 부스터 (7일);1.000000;0.000000;1.000000;ed;2.000000;bt;1.000000;1.000000;(allstat+,10);*;*;*;0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;604800.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
5.000000;EV_BO_00_0002;100일 기념 부스터 (15일);1.000000;0.000000;1.000000;ed;2.000000;bt;1.000000;1.000000;(allstat+,10);*;*;*;0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;1296000.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
6.000000;EV_BO_00_0003;초대 이벤트 부스터 (30일);1.000000;0.000000;1.000000;ed;2.000000;bt;1.000000;1.000000;(최대ep%,20);*;*;*;0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;2592000.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
7.000000;EV_BO_00_0004;100일 기념 부스터 (1일);1.000000;0.000000;1.000000;ed;2.000000;bt;1.000000;1.000000;(allstat+,10);*;*;*;0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;86400.000000;0.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
8.000000;CA_BO_00_0000;용기의 부스터 (7일);1.000000;0.000000;1.000000;ed;4.000000;bt;1.000000;1.000000;(무기물리공격력%,30);(모든방어력%,30);(allstat+,200);(최대HP%,30);0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;604800.000000;1.000000;1.000000;0.000000;0.000000;2.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
9.000000;CA_BO_00_0001;용기의 부스터 (30일);1.000000;0.000000;1.000000;ed;4.000000;bt;1.000000;1.000000;(무기물리공격력%,30);(모든방어력%,30);(allstat+,200);(최대HP%,30);0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;2592000.000000;1.000000;1.000000;0.000000;0.000000;2.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
10.000000;CA_BO_00_0002;지혜의 부스터 (7일);1.000000;0.000000;1.000000;ed;4.000000;bt;1.000000;1.000000;(마법물리공격력%,30);(모든방어력%,30);(allstat+,200);(최대HP%,30);0.000000;1.000000;1.000000;0.000000;req;get;ch;0.000000;*;Auction_580;*;1.000000;1.000000;604800.000000;1.000000;1.000000;0.000000;0.000000;3.000000;1.000000;1.000000;*;*;;;;;;;;;;;;;;;;;;;;;;;;
