t_id;t_이름
HM_Face_000;인간 남자 얼굴 1
HM_Face_001;인간 남자 얼굴 2
HM_Face_002;인간 남자 얼굴 3
HM_Face_003;인간 남자 얼굴 4
HM_Face_004;인간 남자 얼굴 5
HM_Face_005;인간 남자 얼굴 6
HM_Face_006;인간 남자 얼굴 7
HM_Face_007;인간 남자 얼굴 8
HM_Face_008;인간 남자 얼굴 9
HM_Face_009;인간 남자 얼굴 10
HW_Face_000;인간 여자 얼굴 1
HW_Face_001;인간 여자 얼굴 2
HW_Face_002;인간 여자 얼굴 3
HW_Face_003;인간 여자 얼굴 4
HW_Face_004;인간 여자 얼굴 5
HW_Face_005;인간 여자 얼굴 6
HW_Face_006;인간 여자 얼굴 7
HW_Face_007;인간 여자 얼굴 8
HW_Face_008;인간 여자 얼굴 9
HW_Face_009;인간 여자 얼굴 10
CM_Face_000;크로쿤 남자 얼굴 1
CM_Face_001;크로쿤 남자 얼굴 2
CM_Face_002;크로쿤 남자 얼굴 3
CW_Face_000;크로쿤 여자 얼굴 1
CW_Face_001;크로쿤 여자 얼굴 2
CW_Face_002;크로쿤 여자 얼굴 3
SW_Face_000;샤링 여자 얼굴 1
SW_Face_001;샤링 여자 얼굴 2
SW_Face_002;샤링 여자 얼굴 3
