t_id;t_이름;등급;아이템레벨;매입가;처분가;중첩갯수;드랍불가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_사용제한;t_판매대행분류;통합채널사용불가;t_f17;t_f18
FB_0_0000;라이루드 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0001;라이닉 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0002;부유해마 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0003;거친 그림자 펜리스 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0004;애꾸눈 챠카이 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0005;외눈박이 훈바바 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0006;블랙윈드 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0007;암흑마룡 카라샤 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0008;악몽의 메간테스 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0009;스칼레다 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0010;서리 어금니 포치 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0011;심연의 바이렛 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0012;고통의 카버너스 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0013;거대거미 타슬란 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0014;아포칼립스 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0015;바라누스 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0016;우두머리 트루탄 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0017;고스트 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0018;마그마 하운드 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0019;본슬로프 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0020;공포의 케라브 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0021;늑대왕 라샤카 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
FB_0_0022;나이트메어 도감;3.000000;3.000000;112500.000000;30000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0023;키샤르 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;1.000000;0.000000;0.000000;no;get;*;Auction_903;0.000000;;
FB_0_0024;얼음 송곳니 크루거 도감;2.000000;2.000000;50000.000000;10000.000000;1.000000;0.000000;0.000000;0.000000;0.000000;no;none;*;Auction_903;0.000000;;
