t_id;t_이름;등급;매입가;처분가;중첩갯수;내구도;거래불능;처분불능;파괴불능;귀속;t_사용제한;t_결과물1;t_결과물2;t_결과물3;t_결과물4;t_판매대행분류
EG0_0_0001;포유계 생명의 구슬 1등급;0.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_1_0001;포유계 생명의 구슬 2등급;1.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_2_0001;포유계 생명의 구슬 3등급;2.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_3_0001;포유계 생명의 구슬 4등급;3.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_0_0002;유익계 생명의 구슬 1등급;0.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_1_0002;유익계 생명의 구슬 2등급;1.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_2_0002;유익계 생명의 구슬 3등급;2.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_3_0002;유익계 생명의 구슬 4등급;3.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_0_0003;파충계 생명의 구슬 1등급;0.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_1_0003;파충계 생명의 구슬 2등급;1.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_2_0003;파충계 생명의 구슬 3등급;2.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_3_0003;파충계 생명의 구슬 4등급;3.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_0_0004;곤충계 생명의 구슬 1등급;0.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_1_0004;곤충계 생명의 구슬 2등급;1.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_2_0004;곤충계 생명의 구슬 3등급;2.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_3_0004;곤충계 생명의 구슬 4등급;3.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_0_0005;정령계 생명의 구슬 1등급;0.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_1_0005;정령계 생명의 구슬 2등급;1.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_2_0005;정령계 생명의 구슬 3등급;2.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
EG0_3_0005;정령계 생명의 구슬 4등급;3.000000;0.000000;100.000000;1.000000;10.000000;0.000000;0.000000;0.000000;0.000000;eg;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;F_00_4_0001_0000;Auction_001
