t_id;t_이름
HM_Hair_000;인간 남자 머리 1
HM_Hair_001;인간 남자 머리 2
HM_Hair_002;인간 남자 머리 3
HM_Hair_003;인간 남자 머리 4
HM_Hair_004;인간 남자 머리 5
HM_Hair_005;인간 남자 머리 6
HM_Hair_006;인간 남자 머리 7
HM_Hair_007;인간 남자 머리 8
HM_Hair_008;인간 남자 머리 9
HM_Hair_009;인간 남자 머리 10
HM_Hair_010;인간 남자 머리 11
HM_Hair_011;인간 남자 머리 12
HM_Hair_012;인간 남자 머리 13
HM_Hair_013;인간 남자 머리 14
HM_Hair_014;인간 남자 머리 15
HM_Hair_015;인간 남자 머리 16
HW_Hair_000;인간 여자 머리 1
HW_Hair_001;인간 여자 머리 2
HW_Hair_002;인간 여자 머리 3
HW_Hair_003;인간 여자 머리 4
HW_Hair_004;인간 여자 머리 5
HW_Hair_005;인간 여자 머리 6
HW_Hair_006;인간 여자 머리 7
HW_Hair_007;인간 여자 머리 8
HW_Hair_008;인간 여자 머리 9
HW_Hair_009;인간 여자 머리 10
HW_Hair_010;인간 여자 머리 11
HW_Hair_011;인간 여자 머리 12
HW_Hair_012;인간 여자 머리 13
HW_Hair_013;인간 여자 머리 14
HW_Hair_014;인간 여자 머리 15
HW_Hair_015;인간 여자 머리 16
HW_Hair_016;인간 여자 머리 17
CM_Hair_000;크로쿤 남자 머리 1
CM_Hair_001;크로쿤 남자 머리 2
CM_Hair_002;크로쿤 남자 머리 3
CW_Hair_000;크로쿤 여자 머리 1
CW_Hair_001;크로쿤 여자 머리 2
CW_Hair_002;크로쿤 여자 머리 3
SW_Hair_000;샤링 여자 머리 1
SW_Hair_001;샤링 여자 머리 2
SW_Hair_002;샤링 여자 머리 3
SW_Hair_003;샤링 여자 머리 4
SW_Hair_004;샤링 여자 머리 5
SW_Hair_005;샤링 여자 머리 6
SW_Hair_006;샤링 여자 머리 7
SW_Hair_007;샤링 여자 머리 8
SW_Hair_008;샤링 여자 머리 9
SW_Hair_009;샤링 여자 머리 10
SW_Hair_010;샤링 여자 머리 11
SW_Hair_011;샤링 여자 머리 12
SW_Hair_012;샤링 여자 머리 13
HM_Hair_016;인간 남자 머리 17
HM_Hair_017;인간 남자 머리 18
HM_Hair_018;인간 남자 머리 19
HM_Hair_019;인간 남자 머리 20
HM_Hair_020;인간 남자 머리 21
HM_Hair_021;인간 남자 머리 22
HM_Hair_022;인간 남자 머리 23
HM_Hair_023;인간 남자 머리 24
HM_Hair_024;인간 남자 머리 25
HM_Hair_025;인간 남자 대머리
HW_Hair_017;인간 여자 머리 18
HW_Hair_018;인간 여자 머리 19
HW_Hair_019;인간 여자 머리 20
HW_Hair_020;인간 여자 머리 21
HW_Hair_021;인간 여자 머리 22
HW_Hair_022;인간 여자 머리 23
HW_Hair_023;인간 여자 머리 24
HW_Hair_024;인간 여자 머리 25
HW_Hair_025;인간 여자 대머리
SW_Hair_013;샤링 여자 머리 14
SW_Hair_014;샤링 여자 머리 15
SW_Hair_015;샤링 여자 머리 16
HM_Hair_026;인간 남자 머리 26
HM_Hair_027;인간 남자 머리 27
HM_Hair_028;인간 남자 머리 28
HM_Hair_029;인간 남자 머리 29
HW_Hair_026;인간 여자 머리 26
HW_Hair_027;인간 여자 머리 27
HW_Hair_028;인간 여자 머리 28
HW_Hair_029;인간 여자 머리 29
