t_id;t_이름;t_재료타입;등급;요구레벨;아이템레벨;매입가;처분가;생성개수;중첩갯수;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_사용제한;t_판매대행분류;드랍시레벨검사무시;t_화폐설정id;구매제한;contentslevel;통합채널사용불가;plusrate
MA_1_0001;구리 광석;oe;1.000000;1.000000;1.000000;50.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_1_1001;구리 주괴;oe;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_1_1002;구리 합금;oe;1.000000;1.000000;1.000000;10.000000;1.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;1.000000;0.000000;0.000000
MA_1_0002;철광석;oe;1.000000;6.000000;6.000000;2000.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_1_2001;철 주괴;oe;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_1_2002;철 합금;oe;1.000000;6.000000;6.000000;40.000000;4.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;6.000000;0.000000;0.000000
MA_1_0003;미스릴 광석;oe;1.000000;26.000000;26.000000;4000.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_1_3001;미스릴 주괴;oe;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_1_3002;미스릴 합금;oe;1.000000;26.000000;26.000000;310.000000;31.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;26.000000;0.000000;0.000000
MA_1_0004;투랄리움 광석;oe;1.000000;36.000000;36.000000;8000.000000;86.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;36.000000;0.000000;0.000000
MA_1_0005;아다만티움 광석;oe;1.000000;41.000000;41.000000;16000.000000;244.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;41.000000;0.000000;0.000000
MA_1_0006;드라고니움 광석;oe;1.000000;50.000000;50.000000;6920.000000;692.000000;0.000000;9999.000000;0.000000;0.000000;0.000000;item;none;*;Auction_702;0.000000;*;0.000000;50.000000;0.000000;0.000000
