t_id;t_이름;t_시나리오;t_스킬효과;t_사용영역;등급;재사용시간;매입가;처분가;중첩갯수;거래불능;처분불능;파괴불능;truekeeping;t_귀속;t_귀속대상;통합채널사용불가
QU_0_0_0000;고대의 망치;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0001;쿠할란의 망치;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0002;감독관의 상자 열쇠;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;0.000000;1.000000;none;ch;0.000000
QU_0_0_0003;브라기 가죽끈;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0004;송곳니 여우의 꼬리;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0005;돼지고기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;0.000000;1.000000;none;ch;0.000000
QU_0_0_0006;빛나는 가루;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0008;효과가 좋은 약병;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0009;성스러운 물이 담긴 물통;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0011;브라기 가죽끈;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0012;빛 속성의 하급무기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0013;잃어버린 폭약;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0014;유적지 늑대 발톱;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0015;귀환 스크롤;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0016;고대의 크리스탈 조각;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0017;찢어진 브라기의 옷;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0018;브라기 약초;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0019;화염 골렘의 조각;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0020;율너스에게 보내는 편지;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0021;엘프의 천리 망원경 ;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0022;토끼 가죽;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0023;서리거미실;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0024;수호진 잔해;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0025;유적 미로가 나온 지도;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0026;차가운 크리스탈;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0027;카렌디아의 유물;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0028;루비가 떨어져 나간 석상;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0029;꿀벌침;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0031;연구 학자의 연구 보고서;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0032;정화된 석판;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0033;응급치료 상자;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0034;품질이 좋은 붕대;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0035;광채 결정;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0036;유적지 여우의 발;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0037;포장된 의약품;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0038;의약품 이름을 적은 양피지;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0039;타블란의 심장;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0040;물이 담기 사제의 물통;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0041;다윈에게 보내는 편지;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0043;거미의 독이빨;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0044;고대 엘프의 서판;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0045;붉은털 여우의 가죽;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;0.000000;1.000000;none;ch;0.000000
QU_0_0_0046;단단한 멧돼지 어금니;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0047;정찰대원의 지혈제;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0048;브라기의 주술용 목걸이;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0049;순록의 고기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0050;그림자의 혈흔;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0051;거미의 체액;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0052;엘프의 진통제;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0053;웅담;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0054;순록의 뿔;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0055;거미의 독;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0056;늑대의 발톱;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0057;늑대인간의 옷;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0058;목동의 증표;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0059;늑대인간의 가죽;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0060;곰의 심장;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0061;사냥꾼 대장의 증표;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0062;잭의 일기(책);*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0063;자다란 마을 보고서;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0064;식량자루;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0065;빛나는 나무결정;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0067;연장가방;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0068;널빤지;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0069;석궁장인의 장갑;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0070;석궁장인의 작업복;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0071;손녀의 인형;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0072;토끼 고기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0074;일벌의 꿀집;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0075;벌집 조각;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0077;안부편지;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0078;연애편지;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0079;늑대인간의 머리;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0080;토끼발;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0081;왕국 명령장 4등급;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0082;질 좋은 소가죽;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0083;거북이의 등껍질;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0084;물소의 뿔;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0085;늑대 고기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0087;챠카이의 외눈;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0088;멧돼지의 어금니;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;0.000000;1.000000;none;ch;0.000000
QU_0_0_0089;흑표범의 가죽;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0090;육즙이 많은 소고기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0091;흡혈귀의 혈액;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0092;성난 물소의 혈액;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0093;물기 없는 채소;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;0.000000;1.000000;none;ch;0.000000
QU_0_0_0094;식량포대;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0095;씨앗자루;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0096;말벌의 독침;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0097;말벌집 조각;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0098;여왕 퀸비의 독침;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0099;도적단의 증표;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0100;감찰관의 명령장;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0101;흑표범의 이빨;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0103;도적 간부의 단검;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0105;신선한 채소;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0106;신선한 토끼 고기;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0107;흡혈귀의 송곳니;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0108;늑대인간의 발톱;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0109;크피르 도적단의 상징;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0110;서리 거미의 다리;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0111;사란트의 일기장 상권;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0112;천연 상태의 광물;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0113;해츨링의 발톱;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
QU_0_0_0114;카라드 해적단의 비밀문서;*;*;*;1.000000;0.000000;0.000000;0.000000;20.000000;1.000000;1.000000;1.000000;1.000000;none;ch;0.000000
