t_랜덤아이템id;t_이름;개발용;t_사용클래스;등급;요구레벨;제한레벨;아이템레벨;재사용시간공유;재사용시간;재사용시간초기화;ps_재사용시간초기화;매입가;처분가;중첩갯수;생성개수;t_스킬효과;t_랜덤박스타입;드랍불가;거래불능;처분불능;파괴불능;t_귀속;t_판매대행분류;t_id;캐쉬;구매제한;드랍시레벨검사무시;contentslevel;통합채널사용불가
WR1511box;라비니족의 버서커 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR1511box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR1512box;라비니족의 버서커 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR1512box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR1513box;라비니족의 버서커 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR1513box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR2011box;라비니족의 버서커 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2011box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR2012box;라비니족의 버서커 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2012box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR2013box;라비니족의 버서커 20레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;6359.000000;640.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2013box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR2511box;라비니족의 버서커 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2511box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR2512box;라비니족의 버서커 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2512box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR2513box;라비니족의 버서커 25레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;13761.000000;1380.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR2513box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR3011box;라비니족의 버서커 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR3011box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR3012box;라비니족의 버서커 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR3012box2;0.000000;0.000000;0.000000;1.000000;0.000000
WR3013box;라비니족의 버서커 30레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;17630.000000;1770.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;WR3013box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD1511box;라비니족의 가디언 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD1511box2;0.000000;0.000000;0.000000;1.000000;0.000000
GD1512box;라비니족의 가디언 15레벨 랜덤박스;0.000000;WR_GD_AC_TF_PR_WZ_DO_MG;2.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;5628.000000;570.000000;999.000000;0.000000;itrandombox.1;st;0.000000;0.000000;0.000000;0.000000;none;*;GD1512box2;0.000000;0.000000;0.000000;1.000000;0.000000
