t_id;t_이름;등급;t_레시피 구분;t_레시피 종류;아이템레벨;필요단계;습득 필요 숙련도;습득 필요 레벨;t_제작 아이템;t_제작 아이템 명;재사용시간;매입가;처분가;중첩갯수;t_습득기술;배움스킬레벨;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_사용제한;t_판매대행분류;드랍시레벨검사무시;contentslevel;통합채널사용불가;계승강화조건;계승초월조건;t_화폐설정id
RC_1_1_10001;구리 주괴;1.000000;pr;we;1.000000;1.000000;0.000000;1.000000;ma_1_1001;구리 주괴;0.000000;103.000000;21.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;1.000000;0.000000;0.000000;0.000000;*
RC_1_2_10001;철 주괴;1.000000;pr;we;10.000000;2.000000;2.000000;10.000000;ma_1_2001;철 주괴;0.000000;596.000000;119.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;10.000000;0.000000;0.000000;0.000000;*
RC_1_3_10001;미스릴 주괴;1.000000;pr;we;20.000000;3.000000;4.000000;20.000000;ma_1_3001;미스릴 주괴;0.000000;2370.000000;474.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;20.000000;0.000000;0.000000;0.000000;*
RC_1_1_11011;구리 한손검;1.000000;pr;we;1.000000;1.000000;0.000000;1.000000;we0_711_0_1101;1단계 한손검;0.000000;103.000000;21.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;1.000000;0.000000;0.000000;0.000000;*
RC_1_1_21011;구리 양손검;1.000000;pr;we;1.000000;1.000000;0.000000;1.000000;we1_711_0_1101;1단계 양손검;0.000000;103.000000;21.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;1.000000;0.000000;0.000000;0.000000;*
RC_1_1_31011;구리 단검;1.000000;pr;we;1.000000;1.000000;0.000000;1.000000;we4_711_0_1101;1단계 단검;0.000000;103.000000;21.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;1.000000;0.000000;0.000000;0.000000;*
RC_1_1_41011;구리 한손지팡이;1.000000;pr;we;1.000000;1.000000;0.000000;1.000000;we5_711_0_1101;1단계 한손지팡이;0.000000;103.000000;21.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;1.000000;0.000000;0.000000;0.000000;*
RC_1_1_51011;구리 양손지팡이;1.000000;pr;we;1.000000;1.000000;0.000000;1.000000;we6_711_0_1101;1단계 양손지팡이;0.000000;103.000000;21.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;1.000000;0.000000;0.000000;0.000000;*
RC_1_2_12011;강철 한손검;1.000000;pr;we;10.000000;2.000000;2.000000;10.000000;we0_721_0_2201;2단계 일반 한손검;0.000000;596.000000;119.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;10.000000;0.000000;0.000000;0.000000;*
RC_1_2_22011;강철 양손검;1.000000;pr;we;10.000000;2.000000;2.000000;10.000000;we1_721_0_2201;2단계 일반 양손검;0.000000;596.000000;119.000000;1.000000;*;1.000000;0.000000;0.000000;0.000000;item;none;*;Auction_400;1.000000;10.000000;0.000000;0.000000;0.000000;*
