t_id;t_이름;개발용;요구레벨;제한레벨;아이템레벨;t_사용클래스;t_랜덤적용클래스;t_사용가능성별;등급;t_장착파츠;t_보조타입;재사용시간;t_속성타입;방어_속성_게이지;물리_방어력;마법_방어력;블럭데미지감소;내구도;매입가;처분가;t_장착효과1;t_장착효과2;t_장착효과3;t_장착효과4;랜덤옵션적용여부;랜덤옵션개수_최소;랜덤옵션개수_최대;t_옵션적용비율;t_가변 항목;가변 항목 최소;가변 항목 최대;강화제한;t_강화확률;드랍불가;거래불능;처분불능;파괴불능;t_드랍시레벨검사;t_귀속;t_귀속대상;귀속해제횟수;t_사용제한;염색여부;t_판매대행분류;t_스킬효과;드랍시레벨검사무시;사용기간;t_gradeupcodekey;t_gradeupresult;t_분해아이디;t_추출아이디;useleveloption;levelweight;overrisemax;t_overriseid;t_overriseid2;t_overriseid3;contentslevel;통합채널사용불가;리버스강화제한;lvup;itemexp;봉인석중복장착여부;t_overrisematid1;t_overrisematid2
EW0_003_0_0002;브라기 사냥꾼의 단검(보조);1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0001;SU0_ca2_3_0001;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW0_004_0_0001;브라기 일꾼의 고기꼬치;1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0002;SU0_ca2_3_0002;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW2_016_0_0000;구스트의 국자;1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0003;SU0_ca2_3_0003;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW4_002_0_0002;토니 클레키의 칼(보조);1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0004;SU0_ca2_3_0004;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW4_011_0_9002;제이슨 클레키의 단검(보조);1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0005;SU0_ca2_3_0005;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW4_013_0_9002;전투병의 단검(보조);1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0006;SU0_ca2_3_0006;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW8_001_0_0000;해골 병사의 방패;1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0007;SU0_ca2_3_0007;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW8_003_0_0000;해골 친위 기사의 방패;1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0008;SU0_ca2_3_0008;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW8_027_0_0000;빛의 사자의 방패;1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0009;SU0_ca2_3_0009;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
EW8_013_0_0000;강철 파수꾼의 한손 방패;1.000000;1.000000;0.000000;1.000000;;*;*;1.000000;su;sd;0.000000;no;0.000000;49.000000;39.000000;3.000000;85.000000;4.000000;1.000000;*;*;*;*;0.000000;0.000000;0.000000;*;*;0.000000;0.000000;0.000000;r1;0.000000;0.000000;0.000000;0.000000;req;none;ch;0.000000;*;0.000000;Auction_251;*;0.000000;0.000000;GU_Test_3_0010;SU0_ca2_3_0010;*;*;0.000000;0.000000;0.000000;*;*;*;1.000000;0.000000;0.000000;30.000000;100.000000;1.000000;*;*
