t_setid;t_setname;t_item1;t_item2;t_item3;t_item4;t_item5;t_item6;t_item7;t_item8;t_item9;t_item10;t_item11;t_item12;t_item13;t_item14;seteffect1_count;t_seteffect1_effect1;t_seteffect1_effect2;t_seteffect1_effect3;t_seteffect1_effect4;t_seteffect1_skill;seteffect2_count;t_seteffect2_effect1;t_seteffect2_effect2;t_seteffect2_effect3;t_seteffect2_effect4;t_seteffect2_skill;seteffect3_count;t_seteffect3_effect1;t_seteffect3_effect2;t_seteffect3_effect3;t_seteffect3_effect4;t_seteffect3_skill;seteffect4_count;t_seteffect4_effect1;t_seteffect4_effect2;t_seteffect4_effect3;t_seteffect4_effect4;t_seteffect4_skill;seteffect5_count;t_seteffect5_effect1;t_seteffect5_effect2;t_seteffect5_effect3;t_seteffect5_effect4;t_seteffect5_skill;seteffect6_count;t_seteffect6_effect1;t_seteffect6_effect2;t_seteffect6_effect3;t_seteffect6_effect4;t_seteffect6_skill;seteffect7_count;t_seteffect7_effect1;t_seteffect7_effect2;t_seteffect7_effect3;t_seteffect7_effect4;t_seteffect7_skill;seteffect8_count;t_seteffect8_effect1;t_seteffect8_effect2;t_seteffect8_effect3;t_seteffect8_effect4;t_seteffect8_skill
Setall31;어둠의 유적 세트;AC0_0_2271;AC0_1_2271;*;*;*;*;*;*;*;*;*;*;*;*;2.000000;(최대HP+,337);*;*;*;setskillall31;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setgd22;왕실 근위대의 수호 세트;AR0_022_3_92131;AR0_022_4_92131;AR0_022_5_92131;AC0_0_2272;*;*;*;*;*;*;*;*;*;*;2.000000;(최대HP+,600);*;*;*;*;3.000000;(무기물리방어력+,332);*;*;*;*;4.000000;*;*;*;*;setskillgd22;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwr23;왕실 근위대의 광폭 세트;AR1_022_3_92131;AR1_022_4_92131;AR1_022_5_92131;AC0_0_2281;*;*;*;*;*;*;*;*;*;*;2.000000;(STR+,24);*;*;*;*;3.000000;(무기극대화확률+,2);*;*;*;*;4.000000;*;*;*;*;setskillwr23;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Settf24;왕실 근위대의 그림자 세트;AR3_022_3_92131;AR3_022_4_92131;AR3_022_5_92131;AC0_0_2282;*;*;*;*;*;*;*;*;*;*;2.000000;(무기물리공격력+,73);*;*;*;*;3.000000;(회피율%,4);*;*;*;*;4.000000;*;*;*;*;setskilltf24;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwz25;왕실 근위대의 원소 세트;AR4_022_3_92131;AR4_022_4_92131;AR4_022_5_92131;AC0_0_2283;*;*;*;*;*;*;*;*;*;*;2.000000;(INT+,16);*;*;*;*;3.000000;(VTL+,6);*;*;*;*;4.000000;*;*;*;*;setskillwz25;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setpr26;왕실 근위대의 신념 세트;AR5_022_3_92131;AR5_022_4_92131;AR5_022_5_92131;AC0_0_2284;*;*;*;*;*;*;*;*;*;*;2.000000;(MTL+,16);*;*;*;*;3.000000;(마법방어력+,2);*;*;*;*;4.000000;*;*;*;*;setskillpr26;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setac27;왕실 근위대의 냉정 세트;AR2_022_3_92131;AR2_022_4_92131;AR2_022_5_92131;AC0_0_2285;*;*;*;*;*;*;*;*;*;*;2.000000;(INT+,16);*;*;*;*;3.000000;(VTL+,6);*;*;*;*;4.000000;*;*;*;*;setskillac27;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setgd38;불타는 유적의 수호 세트;AR0_023_2_92155;AR0_023_3_92155;AR0_023_4_92155;AR0_023_5_92155;*;*;*;*;*;*;*;*;*;*;2.000000;(무기물리방어력+,350);*;*;*;*;3.000000;(최대HP+,637);*;*;*;*;4.000000;*;*;*;*;setskillgd37;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Setwr39;불타는 유적의 광폭 세트;AR1_023_2_92155;AR1_023_3_92155;AR1_023_4_92155;AR1_023_5_92155;*;*;*;*;*;*;*;*;*;*;2.000000;(무기물리공격력+,84);*;*;*;*;3.000000;(무기극대력+,5);*;*;*;*;4.000000;*;*;*;*;setskillwr38;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
Settf310;불타는 유적의 그림자 세트;AR3_003_2_92155;AR3_003_3_92155;AR3_003_4_92155;AR3_003_5_92155;*;*;*;*;*;*;*;*;*;*;2.000000;(무기극대력+,58);*;*;*;*;3.000000;(배후공격극대화확률+,3);*;*;*;*;4.000000;*;*;*;*;setskilltf39;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*;0.000000;*;*;*;*;*
