t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^dialog_9030100_title^,^카이트 [망치호 일등 항해사]^,^^,^^,^Kite [Hammer Foil and Other Sailors]^,^^,^^
^dialog_9030100_text0^,^어서 오십시오.<br>망치호는 이곳 대협곡 마을 선착장과 하카나스 수도성의 공중 선착장을 오가는 고래 배입니다.<br>하카나스 수도성으로 가고 싶다면 언제든지 저에게 말씀해주십시오.^,^^,^^,^Welcome.<br>The Red Hammer is a whale-pearl tHat goes to and from the landing site of the Grand Canyon and the aerodrome of the Hakanas capital city.<br>If you want to go to the capital of Hakanas, please let me know.^,^^,^^
^dialog_9030100_answer_0_text^,^하카나스 수도성으로 떠나기^,^^,^^,^Leaving the castle of Hakanas^,^^,^^
^dialog_9030100_answer_1_text^,^선착장의 풍경^,^^,^^,^Landscape of marina^,^^,^^
^dialog_9030101_title^,^선착장의 풍경^,^^,^^,^Landscape of marina^,^^,^^
^dialog_9030101_text0^,^풍경이 참 멋지지 않습니까?<br>이곳에 올 때마다 감정이 벅차 오릅니다. 전 이 풍경이 좋아 망치호의 항해사가 되었습니다.<br>몇몇 이들은 저에게 떠돌이 생활에 대해 부정적으로 말하지만 저는 지금 제 삶에 충분히 만족하고 있습니다.<br>외부의 시선이나 편견 같은 건 무시해주면 그만입니다.<br>중요한 건 제 마음입니다.^,^^,^^,^Isn't the landscape wonderful?<br>Every time I come here, I get a lot of emotion. I liked this landscape and became the mate of the Hammer.<br>Some people have told me negatively about their stray life, but I am fully satisfied with my life now.<br>It is enough to ignore external gaze or bias.<br>The important thing is my heart.^,^^,^^
^dialog_9030102_title^,^라비니 엘루닝 [엘룬 상인]^,^^,^^,^Rabbini Elluning [Ellun Merchant]^,^^,^^
^dialog_9030102_text0^,^어서 와랑!<br>이곳에서는 다른 상점에서는 찾을 수 없는 특별한 물품들을 판매하고 있당!<br>아, 그리고 내 상점에서 물건을 사려면 돈이 아닌 엘룬을 지불해야한당.<br>만약 가지고 있는 엘룬이 많다면 얼마든지 구경하고 가랑!^,^^,^^,^Over here!<br>Here I sell special items you wont find in other shops!<br>Oh, and to buy things at my Shop, you have to pay Ellun, not money.<br>If you have a lot of Elluns, you can buy some!^,^^,^^
^dialog_9030102_answer_0_text^,^엘룬 상점^,^^,^^,^Ellun Shop^,^^,^^
^dialog_9030102_answer_1_text^,^품질에 대한 자신감^,^^,^^,^Confidence in quality^,^^,^^
^dialog_9030102_answer_2_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030103_title^,^품질에 대한 자신감^,^^,^^,^Confidence in quality^,^^,^^
^dialog_9030103_text0^,^우리 엘룬 판매상 조합은 절대 인간들처럼 구리구리한 물건 따위 취급하지 않는당.<br>품질을 의심하는 자는 인간밖에 없당. 의심 나쁘당!<br>우리 엘룬 판매상 조합이 제공하는 물건은 모두 미들라스 제일이당! 확실하당!^,^^,^^,^Our Ellun dealer combination never sold copper copper stuff like humans.<br>There is only one person who doubts quality. Doubt bad!<br>Our Ellun dealer association offers all the goods in Middelas! Definitely!^,^^,^^
^dialog_9030104_title^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030104_text0^,^대협곡 마을에서 장사하려면 룬쿤님에게 허락 받아야 한당.<br>다행히 룬쿤님은 적당한 수수료만 지불하면 장사할 수 있게 허용해주신당.<br>대신 룬쿤님. 나쁜 사람들에게서 날 지켜준당. 정말 고마운 분이당.^,^^,^^,^If you want to run a shop in the village of Grand Canyon, you should get permission from Runcun.<br>Fortunately, Runcun pays a modest fee to allow you to trade.<br>Instead, Rungun. The party tHat kept me from bad people. I really appreciate it.^,^^,^^
^dialog_9030105_title^,^무자카 [판매 대행 중개인]^,^^,^^,^Muzaka [Sales agent]^,^^,^^
^dialog_9030105_text0^,^혹시 사거나 팔고 싶은 물건이 있는가?<br>그렇다면 잘 찾아왔네. 투림란에 있는 판매 대행 상점들은 모두 내가 관리하고 있으니 말이야.<br>물론 룬쿤님의 허락 또한 받은 상태지.^,^^,^^,^Do you have something you want to buy or sell?<br>If so, I'm well looked after. I'm in charge of all the sales agencies in Turiman.<br>Of course, I have also received permission from Runcun.^,^^,^^
^dialog_9030105_answer_0_text^,^판매 대행 이용하기^,^^,^^,^Marketplace^,^^,^^
^dialog_9030105_answer_1_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030106_title^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030106_text0^,^룬쿤님은 나 같은 판매 대행 중개인들에게 투림란에서 활동할 수 있는 기회를 제공해줬 다네.<br>아마도 투림란이라는 한정적인 지역에서만 활동하는 상단의 취약점을 해소하기 위한 방안이었겠지.<br>덕분에 우리로써는 외부의 물건을 이 곳 투림란에 팔 수 있게 되었고 반대로 룬쿤 상단의 물품을 구입하여 외부에 판매하는 일 또한 할 수 있게 되었네.<br>서로 상부상조하는 입장이라고 해야 할까나..^,^^,^^,^Runcun provided sales brokers like me the opportunity to work in Turiman.<br>Perhaps it was a solution to the top vulnerability tHat only works in a limited area of Turiman.<br>Thanks to us, we have been able to sell outside items to Turiman, and on the contrary, we can also buy items on the top of Runcun and sell them to the outside.<br>I don't think we should be in a position to win over each other.^,^^,^^
^dialog_9030107_title^,^우르미 [잡화 상인]^,^^,^^,^Urmi [General Merchant]^,^^,^^
^dialog_9030107_text0^,^최고는 아니지만 최선의 물건을 팔고 있는 우르미 상점.<br>필요한 잡화가 있으면 한번 둘러보고 가세요 절대 후회하시지 않을 거에요.^,^^,^^,^Urmi Shop selling best and only the best.<br>If you have the necessary sundries, take a look around and you will never regret it.^,^^,^^
^dialog_9030107_answer_0_text^,^잡화 상점^,^^,^^,^Goods Shop^,^^,^^
^dialog_9030107_answer_1_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030108_title^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030108_text0^,^제 잡화 상점은 룬쿤 상단에 속해 있답니다.<br>아마 투림란에서 활동하고 있는 상점 중에서 룬쿤 상단에 속하지 않은 상점은 없을거에요. 그만큼 룬쿤 상단의 영향력은 엄청나니까요.^,^^,^^,^My merchandise Shop belongs to the top of Runcun.<br>Maybe there are no shops in Turiman tHat don't belong to the top of Runcorn. THat's why Runcun's top-level influence is so enormous.^,^^,^^
^dialog_9030109_title^,^조나단 [물약 상인]^,^^,^^,^Jonathan [Potion Merchant]^,^^,^^
^dialog_9030109_text0^,^대협곡 마을의 연금술 재료 상인 바일린님이 방금 막 가져 온 따끈따끈한 물약 팝니다!<br><br>정말입니다! 이거 보이십니까? 맨 손으로 이 물약을 들면…<br><br>아뜨뜨뜨!<br><br>(아무래도 순 뻥쟁이인 것 같다.)^,^^,^^,^The alchemy of the Great Canyon Village The merchant Bailin sells hot potions just brought!<br><br>Really! Do you see this? With these bare hands ...<br><br>A-tetete!<br><br>(It seems to be a net bugger.)^,^^,^^
^dialog_9030109_answer_0_text^,^물약 상점^,^^,^^,^Potion Shop^,^^,^^
^dialog_9030109_answer_1_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030110_title^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030110_text0^,^룬쿤 상단 말입니까? 물론 제가 협정을 맺어주고 있습니다.<br>룬쿤씨가 직접 찾아와서 협정을 맺어달라고 얼마나 애걸복걸 하던지. 으하하하!<br>쉿, 이 일은 절대로 다른 사람들에게 말씀하지마십시오.<br>이 조나단의 위대함이 세상에 드러나면 곤란해질테니 말입니다. 크큭...<br><br><br>(미친 사람인 것 같다.)^,^^,^^,^Is it the upper end of Runcun? Of course I am concluding an agreement.<br>How much Runcun would come to ask for his agreement. Ha ha ha ha!<br>Shhhh, never do this to others.<br>If this greatness of Jonathan is revealed to the world, it will be difficult. Crunch ...<br><br><br>(He seems to be a crazy person.)^,^^,^^
^dialog_9030111_title^,^바일리 [음식 상인]^,^^,^^,^Bailey [Food Merchant]^,^^,^^
^dialog_9030111_text0^,^요즘엔 먹는걸 구경하는게 대세라지? 덕분에 나도 꽤 짭짤하게 돈을 벌고 있으니 정말 좋은 대세인 것 같군.<br>그런데 말이야. 어떻게 보면 참 슬픈 일이지 않아?<br>자기가 먹는게 아니라 남이 먹는 걸 구경하다니 말이야.<br><br>요즘 먹고 사는게 힘들어지는 바람에 이런 현상이 발생한걸까? 아니면 혼자인 사람들이 같이 밥을 먹는 느낌을 받고 싶어서 이러는 걸지도…^,^^,^^,^Is it better to see eating nowadays? Thanks to me, I am making a lot of money, so I think it 's really good.<br>Bby the way. How sad it is not to see how it is? It's not wHat you eat, but watching others eat it.<br><br>Is this happening because it is hard to eat and drink nowadays? Or maybe this is because I want people to feel like they are eating together.^,^^,^^
^dialog_9030111_answer_0_text^,^음식 상점^,^^,^^,^Food Shop^,^^,^^
^dialog_9030111_answer_1_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030112_title^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030112_text0^,^투림란에서 판매되는 모든 음식물은 룬쿤 상단을 통해 유통되고 있어.<br>보부상들을 주축으로 이뤄진 룬쿤 상단에게 있어 음식물 판매사업은 어^,^^,^^,^All food sold in Turiman is distributed through the top of Runcun.<br>It is run by the top of the runes, which are made up of human beings.^,^^,^^
^dialog_9030113_title^,^크리스 베일 [무기 상인]^,^^,^^,^Chris Bale [Weapon Merchant]^,^^,^^
^dialog_9030113_text0^,^그거 아나?<br>내가 왕년엔 물에서 하는 공놀이를 좀 했거든? 그런데 지금은 이렇게 늙고 힘빠진 중년이 되어서 무기나 팔고 있다네.<br>그래도 한 때는 친구들과 함께 세상을 구하기도 했는데, 어쩌다 이런 신세가 되었는지 모르겠군.<br>크하하하! 그런 의미로 내 상점에서 뭐 좀 사주지 않겠나?^,^^,^^,^You know tHat?<br>I did some balling in the water last year? But now I am a middle - aged old man who sells weapons.<br>I once saved the world with my friends, but I don't know how you feel.<br>Hahaha! In tHat sense, why do not you buy something from my store?^,^^,^^
^dialog_9030113_answer_0_text^,^무기 상점^,^^,^^,^Weapons Shop^,^^,^^
^dialog_9030113_answer_1_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030114_title^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
^dialog_9030114_text0^,^룬쿤씨?<br>그래. 지금 난 그 분 밑에서 일하고 있지.<br>그분은 외딴 곳에 떨어진 날 거둬주셨어. 공놀이밖에 할줄 몰랐던 날 이렇게 무기 상인이 될 수 있도록 만들어주셨고 말이야.<br>이곳에선 잘 쓰이지 않는 아카라는 이름을 버리고 크리스 베일이라는 이름을 갖게 된 것도 그분의 영향이 크다고 볼 수 있지.<br>참 좋은 분이야. 그분은. 뭐라고 해야 할까. 마치 아룬씨를 닮았다고 해야할까…^,^^,^^,^Mr. Runcun?<br>Yes. Now I'm working for him.<br>He took me away in a secluded spot. Hemade me to be a weapons merchant who did not know anything but the ball.<br>In this place, I can see tHat the name Aklan, who is not used well, is named after Chris Bale.<br>THat's good. He is. WHat should I say. Should I say tHat he resembles Arun ...^,^^,^^
^dialog_9030115_title^,^요리스 베일 [방어구 상인]^,^^,^^,^Oris Bale [Armor Merchant]^,^^,^^
^dialog_9030115_text0^,^필요한 방어구가 있다면 얼마든지 둘러보고 가라고. 가격은 섭섭하지 않게 쳐줄테니깐 말이야.<br><br>…<br><br>너 혹시 이 근처 어딘가에 나와 똑같이 생긴 사람을 본 적 있다고 생각하고 있는 거야?<br>그래. 무기 상인 크리스 베일 말이야. 그 사람이 내 형이야.<br>그런데 말이야. 똑같이 생겼다고 생각하지 말아줘. 엄연히 말해서 내가 더 잘 생겼으니까.^,^^,^^,^If you have the necessary Armor, you should take a look around. I will not let the price fall.<br><br>...<br><br>Do you think you've seen someone who looks exactly like me somewhere near here?<br>Yes. The weapon merchant Chris Vale. THat person is my brother.<br>By the way. Don't think we look the same. To be honest, I'm more handsome.^,^^,^^
^dialog_9030115_answer_0_text^,^방어구 상점^,^^,^^,^Armor Shop^,^^,^^
^dialog_9030115_answer_1_text^,^룬쿤 상단과의 관계^,^^,^^,^Relation to the top of Runcun^,^^,^^
