t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^Dialog_9015905_answer_1_text^,^물고기 교환 상점^,^^,^^,^Fish Exchange Shop^,^^,^^
^Dialog_1050215_Title^,^존 맥베인^,^^,^^,^John McBein^,^^,^^
^Dialog_1050215_Text0^,^난 맥베인의 특수 상단을 이끄는 존 맥베인이라고 하네.<br>우리는 날이면 날마다 오지 않아!<br><br>레시피가 얻고 싶다면 나에게, 재료가 든 꾸러미가 필요하다면 나의 동생이자 든든한 조수, 조니 맥베인에게 가보게나.<br><br>맥베인은 모두가 형제라네!<br>자네도 맥베인 상단에 들어오고 싶나?<br><br>나를 만족시킨다면 받아줄지도 몰라! 하하하!^,^^,^^,^I'm called John McBain, who leads McBain's special top. <br> We do not come every day!<br> <br> If you want to get a recipe, if you need a package with stuff, go to my brother and a great assistant, Johnny McBean.<br> <br> McBain is a brother!<br>Do you want to enter the top of McBain?<br> <br> I may accept if it satisfies me! Hahaha!^,^^,^^
^Dialog_1050215_answer_0_text^,^맥베인 레시피 상점^,^^,^^,^McBain Recipe Store^,^^,^^
^Dialog_9031694_Title^,^라비니 대바기^,^^,^^,^Rabbini Debagi^,^^,^^
^Dialog_9031694_Text0^,^안냥안냥! 반갑당!<br>목요일만 되면 이카루스에 재밌는 일이 일어나고 있다는 소문을 듣고 찾아왔당!<br><br>목요일에 재미난 이벤트가 열리고 있다는데 혹시 해봤낭?!<br>나도 하고 싶당! 궁금하당!<br><br>그럼 귀여운 라비니 대바기와 함께 오늘도 즐거운 목요일 보내장!^,^^,^^,^I don't care! Good night!<br>I heard rumors tHat something interesting happened to Icarus on Thursdays!<br> <br> There is a fun event on Thursday. Have you ever tried human?!<br>I want to do it too! I wonder!<br> <br> So I'll have a nice Thursday even today with the cute Rabbini Debagi!^,^^,^^
^Dialog_9031695_Title^,^혁이^,^^,^^,^Revolution^,^^,^^
^Dialog_9031695_Text0^,^안녕하세요!<br>가을이라 햇살이 좋아서 강아지들과 산책을 나왔어요.<br>하카나스 수도성은 처음 와보는데, 건물도 멋있고 사람도 많군요!<br><br>아참, 모험가님도 강아지 좋아하세요?<br>기르는 강아지가 너무 많아져서 믿을만한 분께 분양해드리려고 생각하고 있었거든요.<br>던전에서 교환권을 모아오시면 제가 햇살이로 교환해드릴게요!<br>햇살이는 진화를 통해 높은 등급으로 성장할 수 있답니다!^,^^,^^,^Good morning!<br>It was autumn, so I took a walk with the dogs because of the sunshine.<br> It is the first time I see the capital city of Hakanas, and the buildings are nice and there are many people!<br> <br> Oh, do you like dogs too?<br>I was thinking of giving many puppies to a reliable person.<br> If you collect the exchange money in the dungeon, I will exchange it for Sunshine!<br> The Sunshin evolution can even grow to a higher level!^,^^,^^
^Dialog_9031695_answer_0_text^,^햇살이 상점^,^^,^^,^Sunshine shops^,^^,^^
^Dialog_1430034_Title^,^상급 마법사 다프^,^^,^^,^Advanced Wizard Daph^,^^,^^
^Dialog_1430034_Text0^,^[UserName]! <br>중요한 순간에 잘왔네!<br><br>사란트가 수도성을 침공했네. <br><br>다행히 율너스 님과 크로우의 빠른 대응으로 아직 피해는 입지 않았지만, 조금이라도 방심했다간 적들이 금방 수도성 안으로 들어올걸세!!<br><br>율너스 님은 적들이 결계를 뚫지 못하도록 정신을 집중하고 계시니 말을 걸지 말게나!^,^^,^^,^[UserName]!<br> I came for the important moment!<br> <br> Salant invades the castle.<br> <br> Fortunately, Yulnus and Crow responsed quickly, I did not get any damage yet, but I am a little nervous, tHat the enemy would come into the castle soon!<br> <br> Yulnus is concentrating his mind on the enemies not penetrating our defense, so do not talk!^,^^,^^
^Dialog_1430035_Title^,^승리 기념 연회 만찬^,^^,^^,^Victory Celebration Banquet Dinner^,^^,^^
^Dialog_1430035_Text0^,^(론 프레인 3세가 승리를 축하하는 의미로 하사한 연회 만찬이다.<br>하카나스 왕국에서 제일 가는 궁중 요리사가 만들어 아주 맛있고 화려하다.<br><br>먹으면 특별한 효과가 나타난다.)^,^^,^^,^(It is the banquet dinner tHat Ronfraine III celebrates as a victory.<br> The best chef in Hakanas Kingdom has made it delicious and gorgeous.<br> <br> A special effect appears when you eat.)^,^^,^^
^Dialog_1430035_answer_0_text^,^만찬을 먹는다^,^^,^^,^Eat Dinner^,^^,^^
^Dialog_9031696_Title^,^라비니 힐따기^,^^,^^,^Rabbini Hill Picky^,^^,^^
^Dialog_9031696_Text0^,^명예를 가리는 거점전!<br>길드의 크기에 관계 없이 누구나 도전하여 승리할 수 있당!<br><br>길드를 이끌고 있냥?<br>그렇다면 길드원을 기사단에 임명해랑!<br>길드에 가입되어 있냥?<br>그렇다면 기사단이 되어 거점전을 승리로 이끌어랑!^,^^,^^,^I want to be honored!<br> Anyone can challenge and win regardless of the size of the guild!<br> <br> Are you leading the guild?<br>If so, appoint a guild member to a Knight!<br> Joined the guild?<br>If so, lead to victory by becoming a Knight!^,^^,^^
^Dialog_9031696_answer_0_text^,^거점전 참여 안내^,^^,^^,^Stronghold Transition Participation Guide^,^^,^^
^Dialog_9031696_answer_1_text^,^거점전 승리 안내^,^^,^^,^Stronghold Transition Victory Guide^,^^,^^
^Dialog_9031697_Title^,^거점전 참여 안내 내용^,^^,^^,^Stronghold Transition Participation information^,^^,^^
^Dialog_9031697_Text0^,^<font color="#ffffff">※ 각 길드 ‘기사단‘만 참전 가능하며, 신청하기 위해서 최소 5명 이상 기사단에 임명해야 합니다.</font><br><br>1. 거점전 진행 요일 : 수, 토요일<br>2. 거점전 신청 시간 : 거점전 종료 ~ 차회 시작 1시간 전<br>3. 거점전 진행 시간 : 21:00 ~ 21:30<br>4. 거점전 진행 장소 : 하카나스 직할령 PVP 채널<br>5. 참여 길드 : 30 길드<br>^,^^,^^,^<font color="#ffffff">※ Only the Guild 'Knighthood' available and must be assigned to at least five Knights to apply. </font><br> <br> 1. Stronghold Transition Days: Wednesday and Saturday<br> 2.Stronghold Application Time: After the end of each Stronghold Transition - Until 1 hour before it starts<br> 3. Event Time: 21:00 ~ 21:30 server time<br> 4. Location: Hakanas Highlands PVP Channel<br> 5. Amount of applying Guilds: Maximum 30 Guilds<br>^,^^,^^
^Dialog_9031698_Title^,^거점전 승리 안내 내용^,^^,^^,^Stronghold Transition Victory Information^,^^,^^
