t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^E_f08_IlikBomb_01_Name^,^공격대 자폭익시드^,^^,^^,^Raiders Bomber Bug^,^^,^^
^E_f08_IlikBomb_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_Bughor1_01_Name^,^공격대 저격병^,^^,^^,^Raiders Sniper^,^^,^^
^E_f08_Bughor1_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_Bugstag_01_Name^,^공격대 장창병^,^^,^^,^Raiders Lancer^,^^,^^
^E_f08_Bugstag_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_Bugmanti_01_Name^,^공격대 습격병^,^^,^^,^Raiders Attacker^,^^,^^
^E_f08_Bugmanti_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_Bugsworm3_01_Name^,^공격대 땅굴벌레^,^^,^^,^Raiders Tunnel Worm^,^^,^^
^E_f08_Bugsworm3_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_ExceBet_01_Name^,^공격대 투구익시드^,^^,^^,^Raiders Helm Exid^,^^,^^
^E_f08_ExceBet_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_BugBet_01_Name^,^공격대 분대장^,^^,^^,^Raid Squad Leader^,^^,^^
^E_f08_BugBet_01_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
^E_f08_ValleyCrab_01_Name^,^협곡 방패게^,^^,^^,^Canyon Shield Crab^,^^,^^
^E_f08_ValleyCrab_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_ValleyTur_01_Name^,^이틸디르 계곡 거북이^,^^,^^,^Itildir Valley Tortoise^,^^,^^
^E_f08_ValleyTur_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_ValleyCro_01_Name^,^이틸디르 계곡 악어^,^^,^^,^Itildir Valley Crocodile^,^^,^^
^E_f08_ValleyCro_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_ValleySpir_01_Name^,^이틸디르 계곡 요정^,^^,^^,^Itildir Valley Fairy^,^^,^^
^E_f08_ValleySpir_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_ValleyPeli_01_Name^,^이틸디르 계곡 펠리컨^,^^,^^,^Itildir Valley Pelican^,^^,^^
^E_f08_ValleyPeli_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_Prisonlarv_01_Name^,^익시드 유충^,^^,^^,^Exid Larva^,^^,^^
^E_f08_Prisonlarv_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_PrisonWbee_01_Name^,^길들여진 병정벌^,^^,^^,^Domesticated Bee^,^^,^^
^E_f08_PrisonWbee_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_PrisonCspid_01_Name^,^길들여진 동굴거미^,^^,^^,^Domesticated Cave Spider^,^^,^^
^E_f08_PrisonCspid_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_PrisonQbee_01_Name^,^길들여진 여왕벌^,^^,^^,^Domesticated Queen Bee^,^^,^^
^E_f08_PrisonQbee_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_f08_Bugstag_02_Name^,^수용소 경비병^,^^,^^,^Community Guard^,^^,^^
^E_f08_Bugstag_02_NameDetail^,^붉은 심장 군단^,^^,^^,^Red Heart Corps^,^^,^^
