t_key,t_korean,t_jpn,t_chinese,t_enu
^e_event_contag_01_name^,^Aschente^,^^,^^,^^
^e_event_contag_01_namedetail^,^^,^^,^^,^^
^e_event_makerav_0001_name^,^Bloodguard Kerav^,^^,^^,^^
^e_event_makerav_0001_namedetail^,^^,^^,^^,^^
^e_event_conpega_01_name^,^Blazing Quilin^,^^,^^,^^
^e_event_conpega_01_namedetail^,^^,^^,^^,^^
^e_event_congold_01_name^,^Wrath Wyvern^,^^,^^,^^
^e_event_gdragon_01_name^,^Inferno Demoroth^,^^,^^,^^
^e_event_agnas_01_name^,^Glacial Agnas^,^^,^^,^^
^e_event_congold_01_namedetail^,^^,^^,^^,^^
^e_event_gdragon_01_namedetail^,^^,^^,^^,^^
^e_event_agnas_01_namedetail^,^^,^^,^^,^^
^E_f06_Chaser_001_Name^,^W. Spirit Chaser^,^^,^^,^^
^E_f06_Chaser_002_Name^,^B. Spirit Chaser^,^^,^^,^^
^E_f06_Chaser_001_namedetail^,^^,^^,^^,^^
^E_f06_Chaser_002_namedetail^,^^,^^,^^,^^
^E_D94_VampBat_01_Name^,^Stray Bats^,^^,^^,^^
^E_D94_VampBat_01_NameDetail^,^^,^^,^^,^^
^E_D94_SkulSoldier_01_Name^,^Lost Adventurer^,^^,^^,^^
^E_D94_SkulSoldier_01_NameDetail^,^^,^^,^^,^^
^E_D94_SkulSoldier_02_Name^,^Lost Soldier^,^^,^^,^^
^E_D94_SkulSoldier_02_NameDetail^,^^,^^,^^,^^
^E_D94_SkulSoldier_03_Name^,^Lost Warrior^,^^,^^,^^
^E_D94_SkulSoldier_03_NameDetail^,^^,^^,^^,^^
^E_D94_ZombElite_01_Name^,^Strong zombie^,^^,^^,^^
^E_D94_ZombElite_01_NameDetail^,^^,^^,^^,^^
^E_D94_ZombElite_02_Name^,^Strong Zombie^,^^,^^,^^
^E_D94_ZombElite_02_NameDetail^,^^,^^,^^,^^
^E_D94_ZombWeak_01_Name^,^Weak Zombie^,^^,^^,^^
^E_D94_ZombWeak_01_NameDetail^,^Unhappy^,^^,^^,^^
^E_D94_GoleGuard_01_Name^,^Forgotten Guardian Golem^,^^,^^,^^
^E_D94_GoleGuard_01_NameDetail^,^^,^^,^^,^^
^E_D94_GoleGuard_02_Name^,^Forgotten Destruction Golem^,^^,^^,^^
^E_D94_GoleGuard_02_NameDetail^,^^,^^,^^,^^
^E_D94_GoleBomb_01_Name^,^Unstable Shard^,^^,^^,^^
^E_D94_GoleBomb_01_NameDetail^,^^,^^,^^,^^
^E_D94_GoleBomb_02_Name^,^Burning Golem Shard^,^^,^^,^^
^E_D94_GoleBomb_02_NameDetail^,^^,^^,^^,^^
^E_D94_GoleElite_01_Name^,^Overheated Guardian Golem^,^^,^^,^^
^E_D94_GoleElite_01_NameDetail^,^^,^^,^^,^^
^E_D94_GoleElite_02_Name^,^Runaway Destruction Golem^,^^,^^,^^
^E_D94_GoleElite_02_NameDetail^,^^,^^,^^,^^
^E_D94_TowerGil_01_Name^,^Gilgamesh^,^^,^^,^^
^E_D94_TowerGil_01_NameDetail^,^Hero King^,^^,^^,^^
^E_D94_Leopard_01_Name^,^Wild Leopard^,^^,^^,^^
^E_D94_Leopard_01_NameDetail^,^^,^^,^^,^^
^E_D94_Chimpus_01_Name^,^Wild Kangaroo^,^^,^^,^^
^E_D94_Chimpus_01_NameDetail^,^^,^^,^^,^^
^E_D94_Rhino_01_Name^,^Wild Rhino^,^^,^^,^^
^E_D94_Rhino_01_NameDetail^,^^,^^,^^,^^
^E_D94_Elephant_01_Name^,^Wild Elephant^,^^,^^,^^
^E_D94_Elephant_01_NameDetail^,^^,^^,^^,^^
^E_D94_RabHunter_01_Name^,^Veterinarian Laviny^,^^,^^,^^
^E_D94_RabHunter_01_NameDetail^,^^,^^,^^,^^
^E_D94_RabHunter_02_Name^,^Trainer Rabini^,^^,^^,^^
^E_D94_RabHunter_02_NameDetail^,^^,^^,^^,^^
^E_D94_AnimalMst_01_Name^,^Black Panther^,^^,^^,^^
^E_D94_AnimalMst_01_NameDetail^,^Guardian of the Beasts^,^^,^^,^^
^E_D94_DollHorse_01_Name^,^Wild Sewing Calypse^,^^,^^,^^
^E_D94_DollHorse_01_NameDetail^,^^,^^,^^,^^
^E_D94_DollCat_01_Name^,^Wild Sewing Panos^,^^,^^,^^
^E_D94_DollCat_01_NameDetail^,^^,^^,^^,^^
^E_D94_DollWolf_01_Name^,^Wild Sewing Phantom^,^^,^^,^^
^E_D94_DollWolf_01_NameDetail^,^^,^^,^^,^^
^E_D94_DollWolf_02_Name^,^Wild Sewing Luna^,^^,^^,^^
^E_D94_DollWolf_02_NameDetail^,^^,^^,^^,^^
^E_D94_DollHorse_02_Name^,^Wild Sewing Calypto^,^^,^^,^^
^E_D94_DollHorse_02_NameDetail^,^^,^^,^^,^^
^E_D94_DollHorse_03_Name^,^Wild Sewing Demonus^,^^,^^,^^
^E_D94_DollHorse_03_NameDetail^,^^,^^,^^,^^
^E_D94_DollHealer_01_Name^,^Fogny^,^^,^^,^^
^E_D94_DollHealer_01_NameDetail^,^Dreaming Dolls^,^^,^^,^^
^E_D94_DevyDoll_01_Name^,^Marie^,^^,^^,^^
^E_D94_DevyDoll_01_NameDetail^,^Happy Puppet Master^,^^,^^,^^
^E_D94_DevyDoll_02_Name^,^Net^,^^,^^,^^
^E_D94_DevyDoll_02_NameDetail^,^Sad Puppet Doctor^,^^,^^,^^
^E_D94_Ender_01_Name^,^Lone Executioner^,^^,^^,^^
^E_D94_Ender_01_NameDetail^,^^,^^,^^,^^
^E_D94_rabcar_01_Name^,^Suspicious Carrot^,^^,^^,^^
^E_D94_rabcar_01_NameDetail^,^^,^^,^^,^^
^E_D94_rabcarbomb_01_Name^,^Suspicious Carrot^,^^,^^,^^
^E_D94_rabcarbomb_01_NameDetail^,^^,^^,^^,^^
