t_key,t_korean,t_jpn,t_chinese,t_enu
^EV_BO_00_0121_Name^,^ICA Big! Athletic Talisman (7 Days)^,^^,^^,^^
^EV_BO_00_0122_Name^,^1st Place Talisman (30 Days)^,^^,^^,^^
^EV_BO_00_0123_Name^,^ICA Big! Athletic Talisman (14 Days)^,^^,^^,^^
^EV_BO_00_0124_Name^,^1st Place Talisman (7 Days)^,^^,^^,^^
^EV_BO_00_0125_Name^,^1st Place Talisman (14 Days)^,^^,^^,^^
^CA_BO_00_0072_Name^,^Accumulated Wealth Talisman (14 Days)^,^^,^^,^^
^CA_BO_00_0073_Name^,^Spur Growth Talisman (30 Days)^,^^,^^,^^
^CA_BO_00_0074_Name^,^4th Anniversary Conragutlation Talisman (4 Days)^,^^,^^,^^
^CA_BO_00_0075_Name^,^Adventurer's Talisman (30 Days)^,^^,^^,^^
^EV_BO_00_0126_Name^,^GM's Experienced Advice (3 Days)^,^^,^^,^^
^EV_BO_00_0127_Name^,^GM's Enhancement Tips (3 Days)^,^^,^^,^^
^EV_BO_00_0128_Name^,^GM's Secret Crafting Tips (3 Days)^,^^,^^,^^
^EV_BO_00_0129_Name^,^GM's Leaked Confidential Documents (3 Days)^,^^,^^,^^
^EV_BO_00_0130_Name^,^Do Your Best! (30 Days)^,^^,^^,^^
^EV_BO_00_0131_Name^,^Summer Night Festival! (30 Days)^,^^,^^,^^
^EV_BO_00_0132_Name^,^Enough Of This! (30 Days)^,^^,^^,^^
^EV_BO_00_0133_Name^,^Autumn Excursion (30 Days)^,^^,^^,^^
^CA_BO_00_0076_Name^,^Enjoy Your Lightly Dressed Body (14 Days)^,^^,^^,^^
^CA_BO_00_0077_Name^,^A Rich Heart (7 Days)^,^^,^^,^^
^EV_BO_00_0134_Name^,^Be Aware Of The Cold! (30 Days)^,^^,^^,^^
^EV_BO_00_0135_Name^,^Challenge! Burning Winter! (30 Days)^,^^,^^,^^
^EV_BO_00_0136_Name^,^Soon 2023! Let's Get The First Button! (30 Days)^,^^,^^,^^
^EV_BO_00_0137_Name^,^Happy New Year! (30 Days)^,^^,^^,^^
^EV_BO_00_0138_Name^,^2023 New Year's Celebration Talisman 1 (14 Days)^,^^,^^,^^
^EV_BO_00_0139_Name^,^2023 New Year's Celebration Talisman 2 (14 Days)^,^^,^^,^^
^EV_BO_00_0140_Name^,^2023 New Year's Celebration Talisman 3 (14 Days)^,^^,^^,^^
^EV_BO_00_0141_Name^,^2023 New Year's Celebration Talisman 4 (14 Days)^,^^,^^,^^
^EV_BO_00_0142_Name^,^2023 New Year's Celebration Talisman 5 (14 Days)^,^^,^^,^^
^EV_BO_00_0143_Name^,^2023 New Year's Celebration Talisman 5 (30 Days)^,^^,^^,^^
^EV_BO_00_0144_Name^,^Finally 2023! Special Talisman (14 Days)^,^^,^^,^^
^EV_BO_00_0145_Name^,^SpRing Excursion! (30 Days)^,^^,^^,^^
^EV_BO_00_0146_Name^,^Whirling Winds of SpRing (30 Days)^,^^,^^,^^
^EV_BO_00_0147_Name^,^Finally 2023! Special Booster (30 Days)^,^^,^^,^^
^EV_BO_00_0148_Name^,^With Your Family! (30 Days)^,^^,^^,^^
^EV_BO_00_0149_Name^,^Month of Patriotism! (30 Days)^,^^,^^,^^
^EV_BO_00_0150_Name^,^Summer Adventure Talisman (30 Days)^,^^,^^,^^
^ev_bo_00_0117_Name^,^Christmas Talisman (30 days)^,^^,^^,^^
^ca_bo_00_0056_Name^,^Higher Physical Overall Talisman (14 Days)^,^^,^^,^^
^ca_bo_00_0057_Name^,^Higher Magical Overall Talisman (14 Days)^,^^,^^,^^
^ca_bo_00_0058_Name^,^Defense Talisman (14 Days)^,^^,^^,^^
^ca_bo_00_0059_Name^,^General Talisman (14 Days)^,^^,^^,^^
^bt_f06_0009_Name^,^Crafting Success Charm^,^^,^^,^^
^CA_BO_phy_0001_c_name^,^Physical Boost Talisman (permanent)^,^^,^^,^^
^CA_BO_phy_0001_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R>.<br><UI_R>Does NOT stack with other Physical Boost Talismans (3 / 7 / 30 days).</UI_R>^,^^,^^,^^
^CA_BO_mag_0003_c_name^,^Magic Boost Talisman (permanent)^,^^,^^,^^
^CA_BO_mag_0003_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with other Magic Boost Talismans (3 / 7 / 30 days).</UI_R>^,^^,^^,^^
^CA_BO_gen_0005_c_name^,^General Boost Talisman (permanent)^,^^,^^,^^
^CA_BO_gen_0005_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with other General Boost Talismans (3 / 7 / 30 days).</UI_R>^,^^,^^,^^
^CA_BO_def_0007_c_name^,^Defense Boost Talisman (permanent)^,^^,^^,^^
^CA_BO_def_0007_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with other Defense Boost Talismans (3 / 7 / 30 days).</UI_R>^,^^,^^,^^
^CA_BO_lim_0060_c_name^,^Ability Booster (permanent)^,^^,^^,^^
^CA_BO_lim_0060_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with Ability Booster (30 days).</UI_R>^,^^,^^,^^
^ca_pre_00_0050_c_name^,^Premium Talisman (permanent)^,^^,^^,^^
^ca_pre_00_0050_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with other Premium Talismans (3 / 7 / 30 days).</UI_R>^,^^,^^,^^
^ca_bo_pvp_0000_c_name^,^PvP Attack Talisman (permanent)^,^^,^^,^^
^ca_bo_pvp_0000_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with other PvP Attack Talismans (7 / 15 / 30 days).</UI_R>^,^^,^^,^^
^ca_bo_pvp_0001_c_name^,^PvP Defense Talisman (permanent)^,^^,^^,^^
^ca_bo_pvp_0001_c_description^,^You will gain it's effects by carrying it in your inventory or Booster Bag.<br>You may only carry <UI_R>one of each talisman type</UI_R><br><UI_R>Does NOT stack with other PvP Defense Talismans (7 / 15 / 30 days).</UI_R>^,^^,^^,^^
