t_key,t_korean,t_jpn,t_chinese,t_enu
^MA_17_0072_Name^,^Summer Salmon^,^^,^^,^^
^MA_17_0073_Name^,^Copper Summer Salmon^,^^,^^,^^
^MA_17_0074_Name^,^Silver Summer Salmon^,^^,^^,^^
^MA_17_0075_Name^,^Gold Summer Salmon^,^^,^^,^^
^MA_17_0072_Description^,^A fish tHat can only be caught in Summer.^,^^,^^,^^
^MA_17_0073_Description^,^An uncommon fish tHat can only be caught in Summer. It has copper scales.^,^^,^^,^^
^MA_17_0074_Description^,^A rare fish tHat can only be caught in Summer. It has silver scales.^,^^,^^,^^
^MA_17_0075_Description^,^A legendary fish tHat can only be caught in Summer. It has golden scales.^,^^,^^,^^
^MA_13_1051_name^,^Masked Tavor Fragment^,^^,^^,^^
^MA_13_1051_Description^,^<UI_Y>How to obtain:</UI_Y>
<UI_G>Various Events</UI_G>

It is a piece tHat contains the power of the Masked Tavor. You can obtain the familiar <UI_G> Masked Tavor</UI_G> by combining the pieces.^,^^,^^,^^
^MA_13_1052_name^,^White Hamster Fragment^,^^,^^,^^
^MA_13_1053_name^,^Striped Hamster Fragment^,^^,^^,^^
^MA_13_1052_Description^,^<UI_Y>How to obtain:</UI_Y>
<UI_G>Various Events</UI_G>

It is a piece tHat resembles a white hamster. You can obtain the familiar <UI_G> White Hamster</UI_G> by combining the pieces.^,^^,^^,^^
^MA_13_1053_Description^,^<UI_Y>How to obtain:</UI_Y>
<UI_G>Various Events</UI_G>

It is a piece tHat resembles a striped hamster. You can obtain the familiar <UI_G> Striped Hamster</UI_G> by combining the pieces.^,^^,^^,^^
^MA_13_1054_name^,^Mythical Equipment Replica^,^^,^^,^^
^MA_13_1054_Description^,^A material used to transcend mythical Equipment.^,^^,^^,^^
^MA_13_1055_name^,^Mythical Equipment Replica^,^^,^^,^^
^MA_13_1055_Description^,^A material used to transcend mythical Equipment.^,^^,^^,^^
^MA_1_6509_name^,^Gargoyle Essence^,^^,^^,^^
^MA_1_6509_Description^,^This essence contains the power of the Ellora statue.
<UI_Y>How to obtain:</UI_Y>
<UI_G>- Dragon God Hideout</UI_G>
<UI_G>- Quest-[Repeat] Dominate the mighty powers!</UI_G>
Material required for <font color="#ef0c63">Mythical Grade </font>crafting.^,^^,^^,^^
^MA_1_6510_name^,^Hellfire Essence^,^^,^^,^^
^MA_1_6510_Description^,^This essence contains the power of Nidaroth, the Everblazing Dragon.
<UI_Y>How to obtain:</UI_Y>
<UI_G>- Dragon God Hideout</UI_G>
Material required for <font color="#ef0c63">Mythical Grade </font>crafting.^,^^,^^,^^
^MA_1_6511_name^,^Ancient Dragon God Essence^,^^,^^,^^
^MA_1_6511_Description^,^This essence contains the power of the ancient Dragon God's.
<UI_Y>How to obtain:</UI_Y>
<UI_G>- Dragon God Hideout</UI_G>
Material required for<font color="#ef0c63"> Bloodless Weapon Awakening </font>and Cold-Blooded Leviathan Mark crafting.^,^^,^^,^^
^MA_1_6512_name^,^Storm Essence^,^^,^^,^^
^MA_1_6512_Description^,^This essence contains the power of Folcierra, the Stormcaller Dragon.
<UI_Y>How to obtain:</UI_Y>
<UI_G>- Dragon God Hideout</UI_G>
Material required for <font color="#ef0c63">Mythical Grade </font>crafting.^,^^,^^,^^
^MA_13_1056_name^,^Dragon God Scale^,^^,^^,^^
^MA_13_1056_Description^,^A rare material tHat contains the power of the ancient dragons.
<UI_Y>How to obtain:</UI_Y>
<UI_G>- Dragon God Hideout Bosses</UI_G>
Material required for Cold-Blooded Leviathan Mark crafting.^,^^,^^,^^
^MA_13_1057_name^,^Dragon God Heart^,^^,^^,^^
^MA_13_1057_Description^,^A rare material tHat contains the power of the ancient dragons.
<UI_Y>How to obtain:</UI_Y>
<UI_G>- Dragon God Hideout Bosses</UI_G>
Material required for Cold-Blooded Leviathan Mark crafting.^,^^,^^,^^
^MA_13_1058_name^,^Fleeting Eclipse Fragment^,^^,^^,^^
^MA_13_1058_Description^,^<UI_Y>How to obtain:</UI_Y>
<UI_G>Various Events</UI_G>

It is a piece tHat continas the energy of the Fleeting Eclipse. You can obtain the familiar <UI_G> Fleeting Eclipse</UI_G> by combining the pieces.^,^^,^^,^^
^ma_3_firework_01_name^,^Magic Winter Sapphire^,^^,^^,^^
^ma_3_firework_01_description^,^Used to craft <UI_G>Fireworks I (EXP Boost)</UI_G>.<br>Can be obtained from Snowmen inside the dungeons duRing the Divine Anniversary Event.^,^^,^^,^^
^ma_3_firework_02_name^,^Magic Winter Ruby^,^^,^^,^^
^ma_3_firework_02_description^,^Used to craft <UI_G>Fireworks II (Droprate Boost)</UI_G>.<br>Can be obtained from Snowmen inside the dungeons duRing the Divine Anniversary Event.^,^^,^^,^^
^ma_3_firework_03_name^,^Magic Winter Amethyst^,^^,^^,^^
^ma_3_firework_03_description^,^Used to craft <UI_G>Fireworks III (Combat Stat Boost)</UI_G>.<br>Can be obtained from Snowmen inside the dungeons duRing the Divine Anniversary Event.^,^^,^^,^^
^ma_3_firework_04_name^,^Sparkpowder^,^^,^^,^^
^ma_3_firework_04_description^,^Used to craft <UI_G>Fireworks</UI_G>.<br>Can be obtained from Skan Bombers at the Sea of Hakanas duRing the Divine Anniversary Event.^,^^,^^,^^
^ma_3_firework_05_name^,^Matches^,^^,^^,^^
^ma_3_firework_05_description^,^Used to craft <UI_G>Fireworks</UI_G>.<br>Can be obtained from Pirates at the Pirate Hideout in Parnas Coast duRing the Divine Anniversary Event.^,^^,^^,^^
^ma_3_firework_06_name^,^Wooden Stick^,^^,^^,^^
^ma_3_firework_06_description^,^Used to craft <UI_G>Fireworks</UI_G>.<br>Can be obtained from Treants near the Dragon Knight Camp in Ellora's Sanctuary duRing the Divine Anniversary Event.^,^^,^^,^^
^ma_runegolem_01_name^,^Enchanted Rune Alloy^,^^,^^,^^
