t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^IT_BX_00_0508_Name^,^Unidentified Alsas Guardian Helm^,^IT_BX_00_0509_Name^,^IT_BX_00_0509_Name^,^IT_BX_00_0509_Name^,^IT_BX_00_0509_Name^,^IT_BX_00_0509_Name^
^IT_BX_00_0509_Name^,^Unidentified Alsas Guardian Shoulder^,^IT_BX_00_0510_Name^,^IT_BX_00_0510_Name^,^IT_BX_00_0510_Name^,^IT_BX_00_0510_Name^,^IT_BX_00_0510_Name^
^IT_BX_00_0510_Name^,^Unidentified Alsas Guardian Armor^,^IT_BX_00_0511_Name^,^IT_BX_00_0511_Name^,^IT_BX_00_0511_Name^,^IT_BX_00_0511_Name^,^IT_BX_00_0511_Name^
^IT_BX_00_0511_Name^,^Unidentified Alsas Guardian Gloves^,^IT_BX_00_0512_Name^,^IT_BX_00_0512_Name^,^IT_BX_00_0512_Name^,^IT_BX_00_0512_Name^,^IT_BX_00_0512_Name^
^IT_BX_00_0512_Name^,^Unidentified Alsas Guardian Shoes^,^IT_BX_00_0513_Name^,^IT_BX_00_0513_Name^,^IT_BX_00_0513_Name^,^IT_BX_00_0513_Name^,^IT_BX_00_0513_Name^
^IT_BX_00_0513_Name^,^Unidentified Alsas Berserker Helm^,^IT_BX_00_0514_Name^,^IT_BX_00_0514_Name^,^IT_BX_00_0514_Name^,^IT_BX_00_0514_Name^,^IT_BX_00_0514_Name^
^IT_BX_00_0514_Name^,^Unidentified Alsas Berserker Shoulders of ^,^IT_BX_00_0515_Name^,^IT_BX_00_0515_Name^,^IT_BX_00_0515_Name^,^IT_BX_00_0515_Name^,^IT_BX_00_0515_Name^
^IT_BX_00_0515_Name^,^Unidentified Alsas Berserker Armor^,^IT_BX_00_0516_Name^,^IT_BX_00_0516_Name^,^IT_BX_00_0516_Name^,^IT_BX_00_0516_Name^,^IT_BX_00_0516_Name^
^IT_BX_00_0516_Name^,^Unidentified Alsas Berserker Gloves^,^IT_BX_00_0517_Name^,^IT_BX_00_0517_Name^,^IT_BX_00_0517_Name^,^IT_BX_00_0517_Name^,^IT_BX_00_0517_Name^
^IT_BX_00_0517_Name^,^Unidentified Alsas Berserker Shoes^,^IT_BX_00_0518_Name^,^IT_BX_00_0518_Name^,^IT_BX_00_0518_Name^,^IT_BX_00_0518_Name^,^IT_BX_00_0518_Name^
^IT_BX_00_0518_Name^,^Unidentified Alsas Ranger Helmet^,^IT_BX_00_0519_Name^,^IT_BX_00_0519_Name^,^IT_BX_00_0519_Name^,^IT_BX_00_0519_Name^,^IT_BX_00_0519_Name^
^IT_BX_00_0519_Name^,^Unidentified Alsas Ranger Shoulders^,^IT_BX_00_0520_Name^,^IT_BX_00_0520_Name^,^IT_BX_00_0520_Name^,^IT_BX_00_0520_Name^,^IT_BX_00_0520_Name^
^IT_BX_00_0520_Name^,^Unidentified Alsas Ranger Armor^,^IT_BX_00_0521_Name^,^IT_BX_00_0521_Name^,^IT_BX_00_0521_Name^,^IT_BX_00_0521_Name^,^IT_BX_00_0521_Name^
^IT_BX_00_0521_Name^,^Unidentified Alsas Ranger Gloves^,^IT_BX_00_0522_Name^,^IT_BX_00_0522_Name^,^IT_BX_00_0522_Name^,^IT_BX_00_0522_Name^,^IT_BX_00_0522_Name^
^IT_BX_00_0522_Name^,^Unidentified Alsas Ranger Shoes^,^IT_BX_00_0523_Name^,^IT_BX_00_0523_Name^,^IT_BX_00_0523_Name^,^IT_BX_00_0523_Name^,^IT_BX_00_0523_Name^
^IT_BX_00_0523_Name^,^Unidentified Alsas Assassin Helmet^,^IT_BX_00_0524_Name^,^IT_BX_00_0524_Name^,^IT_BX_00_0524_Name^,^IT_BX_00_0524_Name^,^IT_BX_00_0524_Name^
^IT_BX_00_0524_Name^,^Unidentified Alsas Assassin Shoulder^,^IT_BX_00_0525_Name^,^IT_BX_00_0525_Name^,^IT_BX_00_0525_Name^,^IT_BX_00_0525_Name^,^IT_BX_00_0525_Name^
^IT_BX_00_0525_Name^,^Unidentified Alsas Assassin Armor^,^IT_BX_00_0526_Name^,^IT_BX_00_0526_Name^,^IT_BX_00_0526_Name^,^IT_BX_00_0526_Name^,^IT_BX_00_0526_Name^
^IT_BX_00_0526_Name^,^Unidentified Alsas Assassin Gloves^,^IT_BX_00_0527_Name^,^IT_BX_00_0527_Name^,^IT_BX_00_0527_Name^,^IT_BX_00_0527_Name^,^IT_BX_00_0527_Name^
^IT_BX_00_0527_Name^,^Unidentified Alsas Assassin Shoes^,^IT_BX_00_0528_Name^,^IT_BX_00_0528_Name^,^IT_BX_00_0528_Name^,^IT_BX_00_0528_Name^,^IT_BX_00_0528_Name^
