t_key,t_korean
^CA_BX_00_2194_Name^,^Mysterious assorted grilled festival package^
^CA_BX_00_2195_Name^,^Mysterious hotpot festival package^
^CA_BX_00_2196_Name^,^Dessert package^
^CA_BX_00_2194_Description^,^Get a mysterious assorted festival package <O_Y> You can purchase 5 times per account </oy> <r_y> When withdrawal of the subscription it is impossible to repurchase </r_y> <UI_Y> Package components (2 types) Assorted grilled x3 </ui_g> <UI_Y> Increases more stats and increases stats than Hakanas Supper </UI_Y>^
^CA_BX_00_2195_Description^,^Get a mysterious hotpot festival package <O_Y> You can purchase 5 times per account </oy> <r_y> When withdrawal of the subscription it is impossible to repurchase </r_y> <UI_Y> Package components (2 types) Hotpot X3 </ui_g> <UI_Y> It has more rise than Hakanas hotpot </UI_Y>^
^CA_BX_00_2196_Description^,^Get a dessert festival package <O_Y> You can purchase once per account </oy> <r_y> When withdrawal of subscriptions it is impossible to repurchase </r_y> <UI_Y> Package components (2 types) X1 7th Anniversary Cake X7 </ui_g> <UI_Y> Weapon Stat: All Attack 10% All St 30 All Stat Limit 30 Movement Speed ??5% increase </ui_y>^
^CA_BX_00_2197_Name^,^Dongsil Dungsil Package^
^CA_BX_00_2198_Name^,^1st place product^
^CA_BX_00_2199_Name^,^7 winning products^
^CA_BX_00_2197_Description^,^Acquire a fluttering package <UI_Y> Package components (2 types)^
^CA_BX_00_2198_Description^,^Get the first prize package <UI_Y> Package components (4 types) </ui_y> <Ui_g> Special title: 7777777 (30 days) x1 booster: 7th lucky (30 days) x1 value x1 fellow: Lebe x1 </ui_g>^
^CA_BX_00_2199_Description^,^Get seven winning product packages <UI_Y> Package components (3 types) </ui_y> <ui_g> booster: 7th luck (30 days) x1 value bag x1 fellow:^
^IT_BX_00_1118_Name^,^The +15 weapon box of the theme (Guardian)^
^IT_BX_00_1119_Name^,^The +15 Armor Box of the theme (Guardian)^
^IT_BX_00_1120_Name^,^The +15 weapon box of the theme (Berserker)^
^IT_BX_00_1121_Name^,^The +15 Armor Box of the theme (Berserker)^
^IT_BX_00_1122_Name^,^The +15 weapon box of the theme (Assassin)^
^IT_BX_00_1123_Name^,^The +15 Armor Box of the theme (Assassin)^
^IT_BX_00_1124_Name^,^The +15 weapon box of the theme (Wizard/Magician)^
^IT_BX_00_1125_Name^,^The +15 armor box of the themein (Wizard Magician)^
^IT_BX_00_1126_Name^,^The +15 weapon box of the theme (Priest)^
^IT_BX_00_1127_Name^,^The +15 Armor Box of the theme (Priest)^
^IT_BX_00_1128_Name^,^The +15 weapon box of the theme (Ranger)^
^IT_BX_00_1129_Name^,^The +15 Armor Box of the theme (Ranger)^
^IT_BX_00_1130_Name^,^The +15 weapon box of the theme (Idol)^
^IT_BX_00_1131_Name^,^The +15 Armor Box of the theme (Idol)^
^IT_BX_00_1132_Name^,^Theme^
^IT_BX_00_1118_Description^,^Obtain a +15 weapon box (Guardian) of the theme <UI_Y> Package components (2 types)^
^IT_BX_00_1119_Description^,^Get the +15 Armor Box (Guardian) of the theme <UI_Y> Package components (5 types) </ui_y> <ui_g> +15 The Guardian Telling X1 +15 The Guardian Shoulder X1 +15 The Guardian Middle Gap x1 +15 15 The themein's guardian shoes x1 </ui_g>^
