t_key,t_korean,t_jpn,t_chinese,t_enu
^CA_RA_00_10022_name^,^Bynder’s Mark Lucky Box^,^^,^^,^^
^ca_ra_00_10023_name^,^Temain Weapon Box^,^^,^^,^^
^ca_ra_00_10024_name^,^Temain Accessory Box^,^^,^^,^^
^ca_ra_00_10025_name^,^Temain Guardian Armor Box^,^^,^^,^^
^ca_ra_00_10026_name^,^Temain Berserker Armor Box^,^^,^^,^^
^ca_ra_00_10027_name^,^Temain Assassin Armor Box^,^^,^^,^^
^ca_ra_00_10028_name^,^Temain Ranger Armor Box^,^^,^^,^^
^ca_ra_00_10029_name^,^Temain Wizard Armor Box^,^^,^^,^^
^ca_ra_00_10030_name^,^Temain Priest Armor Box^,^^,^^,^^
^ca_ra_00_10031_name^,^Temain Idol Armor Box^,^^,^^,^^
^ca_ra_00_10032_name^,^Temain Armor Box^,^^,^^,^^
