t_key,t_korean,t_jpn,t_chinese,t_enu
^CA_ST_CM_0445_Name^,^Red Flame Wings (30 Days)^,^^,^^,^^
^CA_ST_CM_0446_Name^,^Blue Flame Wings (30 Days)^,^^,^^,^^
^CA_ST_CM_0447_Name^,^Red Flame Wings (45 Days)^,^^,^^,^^
^CA_ST_CM_0448_Name^,^Blue Flame Wings (45 Days)^,^^,^^,^^
^CA_ST_CM_0449_Name^,^(Appearance) Orange Skeleton Costume^,^^,^^,^^
^CA_ST_CM_0450_Name^,^(Appearance) Midwinter Costume^,^^,^^,^^
^CA_ST_CM_0451_Name^,^(Appearance) Red Winter Costume^,^^,^^,^^
^CA_ST_CM_0452_Name^,^(Appearance) Blue Dragon Costume^,^^,^^,^^
^CA_ST_CM_0453_Name^,^(Appearance) Fallen Angel Costume^,^^,^^,^^
^CA_ST_CM_0454_Name^,^(Appearance) White Wicked Costume^,^^,^^,^^
^CA_ST_CM_0455_Name^,^(Appearance) Bunny Girl & Bunny Boy^,^^,^^,^^
^CA_ST_CM_0456_Name^,^(Appearance) Traditional Narin^,^^,^^,^^
^CA_ST_CM_0457_Name^,^(Appearance) Fashion Model^,^^,^^,^^
^CA_ST_CM_0458_Name^,^(Appearance) Traditional Costume^,^^,^^,^^
^CA_ST_CM_0459_Name^,^(Appearance) White Qipao^,^^,^^,^^
^CA_ST_CM_0460_Name^,^(Appearance) Red Vampire^,^^,^^,^^
^CA_ST_CM_0461_Name^,^(Appearance) Purple Vampire^,^^,^^,^^
^CA_ST_CM_0462_Name^,^(Appearance) Black Vampire^,^^,^^,^^
^CA_ST_CM_0463_Name^,^(Appearance) White Vampire^,^^,^^,^^
^CA_ST_CM_0464_Name^,^(Appearance) Reaper Cloak^,^^,^^,^^
^CA_ST_CM_0465_Name^,^(Appearance) Witch Costume^,^^,^^,^^
^CA_ST_CM_0466_Name^,^(Appearance) Black Wicked Costume^,^^,^^,^^
^CA_ST_CM_0467_Name^,^(Appearance) Samurai Outfit^,^^,^^,^^
^CA_ST_CM_0468_Name^,^(Appearance) Lovely Maid and Butler^,^^,^^,^^
^CA_ST_CM_0469_Name^,^(Appearance)  Man O' Rabbini^,^^,^^,^^
^CA_ST_CM_0470_Name^,^(Appearance) Bynder's Qipao^,^^,^^,^^
^CA_ST_CM_0471_Name^,^(Appearance) Red Qipao^,^^,^^,^^
^CA_ST_CM_0472_Name^,^(Appearance) White Kungfu^,^^,^^,^^
^EV_ST_CM_0151_Name^,^ICA White Long Padding Jacket (7 Days)^,^^,^^,^^
^EV_ST_CM_0152_Name^,^ICA Black Long Padding Jacket (7 Days)^,^^,^^,^^
^EV_ST_CM_0153_Name^,^(Appearance) ICA White Long Padding Jacket^,^^,^^,^^
^EV_ST_CM_0154_Name^,^(Appearance) ICA Black Long Padding Jacket^,^^,^^,^^
^EV_ST_CM_0155_Name^,^(Appearance) Winter Armor^,^^,^^,^^
^EV_ST_CM_0156_Name^,^(Appearance) Traditional Russian Costume^,^^,^^,^^
^CA_ST_CM_0473_Name^,^(Appearance) Cute Small Devil Costume^,^^,^^,^^
^CA_ST_CM_0474_Name^,^(Appearance) Dark Small Devil Costume^,^^,^^,^^
^tt_1_0_0019_Name^,^Special Title: Welcome To Icarus (15 Days)^,^^,^^,^^
^tt_1_0_0020_Name^,^Special Title: 4th Anniversary^,^^,^^,^^
^tt_1_0_0021_Name^,^Special Title: Overflowing Familiar Love^,^^,^^,^^
^CA_ST_CM_0475_Name^,^Little Devil Horns (14 Days)^,^^,^^,^^
^CA_ST_CM_0476_Name^,^Little Devil Horns^,^^,^^,^^
^CA_ST_CM_0477_Name^,^Cute Little Devil Costume (30 Days)^,^^,^^,^^
^CA_ST_CM_0478_Name^,^Little Devil Horns (30 Days)^,^^,^^,^^
^tt_1_0_0022_Name^,^Special Title: 4 Years Me and Icarus! (14 Days)^,^^,^^,^^
^CA_ST_CM_0480_Name^,^Event Devil Mask (4 Days)^,^^,^^,^^
^CA_ST_CM_0481_Name^,^Red Square Glasses (7 Days)^,^^,^^,^^
^CA_ST_CM_0482_Name^,^Black Sunglasses (14 Days)^,^^,^^,^^
^CA_ST_CM_0483_Name^,^Golden Blossom (14 Days)^,^^,^^,^^
^CA_ST_CM_0484_Name^,^Red Flame Wings (14 Days)^,^^,^^,^^
^CA_ST_CM_0485_Name^,^Blue Flame Wings (14 Days)^,^^,^^,^^
^CA_ST_CM_0486_Name^,^Angel Wings (30 Days)^,^^,^^,^^
^CA_ST_CM_0487_Name^,^Blue Halo (30 Days)^,^^,^^,^^
^CA_ST_CM_0488_Name^,^Golden Halo (30 Days)^,^^,^^,^^
^tt_1_0_0023_Name^,^Special Title: Go Argentinia! (30 Days)^,^^,^^,^^
^tt_1_0_0024_Name^,^Special Title: Go Brazil! (30 Days)^,^^,^^,^^
