t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^N_F08_Weapon_001_Name^,^무기제작대^,^!!^,^^,^Weapon Crafting^,^^,^^
^N_F08_Weapon_001_NameDetail^,^^,^!!^,^^,^^,^^,^^
^N_F08_Amor_001_Name^,^방어구제작대^,^^,^^,^Armor crafting^,^^,^^
^N_F08_Amor_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Cook_001_Name^,^조리기구^,^^,^^,^Cooking^,^^,^^
^N_F08_Cook_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Alchemy_001_Name^,^실험기구^,^^,^^,^Alchemy^,^^,^^
^N_F08_Alchemy_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Accessory_001_Name^,^장신구제작대^,^^,^^,^Jewelry Crafting^,^^,^^
^N_F08_Accessory_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Fellow_001_Name^,^펠로우연구대^,^^,^^,^Barder Crafting^,^^,^^
^N_F08_Fellow_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_100_Name^,^상급 포탈 이동장치^,^^,^^,^World Shrine^,^^,^^
^N_F08_Portal_100_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_001_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_001_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_002_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_002_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_003_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_003_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_004_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_004_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_005_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_005_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_006_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_006_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Portal_007_Name^,^포탈 이동장치^,^^,^^,^Transit Shrine^,^^,^^
^N_F08_Portal_007_NameDetail^,^^,^^,^^,^^,^^,^^
^N_F08_Board_001_Name^,^임무 게시판^,^^,^^,^Mission Board^,^^,^^
^N_F08_Board_001_NameDetail^,^대협곡 마을^,^^,^^,^Grand Canyon Village^,^^,^^
^N_F08_Board_002_Name^,^임무 게시판^,^^,^^,^Mission Board^,^^,^^
^N_F08_Board_002_NameDetail^,^이틸디르 요새^,^^,^^,^Itidlir Fortress^,^^,^^
^N_F08_Board_003_Name^,^임무 게시판^,^^,^^,^Mission Board^,^^,^^
^N_F08_Board_003_NameDetail^,^이틸디르 보급대^,^^,^^,^Itildir Supply Camp^,^^,^^
^N_F08_Board_004_Name^,^임무 게시판^,^^,^^,^Mission Board^,^^,^^
^N_F08_Board_004_NameDetail^,^버려진 지휘소^,^^,^^,^Abandoned Command Post^,^^,^^
^N_F08_Board_005_Name^,^임무 게시판^,^^,^^,^Mission Board^,^^,^^
^N_F08_Board_005_NameDetail^,^포로 수용소^,^^,^^,^Prison Camp^,^^,^^
^N_F08_Board_006_Name^,^임무 게시판^,^^,^^,^Mission Board^,^^,^^
