t_key,t_korean,t_jpn,t_chinese,t_enu
^hk_9_1_9040_Title^,^Clear lvl 40 Legendary Dungeons^,^^,^^,^^
^hk_9_1_9050_Title^,^Clear lvl 50 Legendary Dungeons^,^^,^^,^^
^hk_9_1_9060_Title^,^Clear lvl 60 & lvl 65 Legendary Dungeons^,^^,^^,^^
^hk_9_1_9070_Title^,^Defeat Vice Captain Shakis in the RRB^,^^,^^,^^
^hk_9_1_9071_Title^,^Defeat Pirate Leader Karrad in the RRB^,^^,^^,^^
^hk_9_1_9072_Title^,^Defeat Lucid Elpher in the RRB^,^^,^^,^^
^hk_9_1_9073_Title^,^Defeat Khapir Leader in the RRB^,^^,^^,^^
^Ev_9_1_0789_1_Title^,^Regional Rewards: Brakkar Forest^,^^,^^,^^
^Ev_9_1_0789_1_request_text^,^Oh so you have completed taming everything in Brakar Forest?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_1_complete_text^,^Congratulations! You have completed the taming in Barkar Forest!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_2_Title^,^Regional Rewards: Hakains Crossing^,^^,^^,^^
^Ev_9_1_0789_2_request_text^,^Oh so you have completed taming everything in Hakain's Crossing?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_2_complete_text^,^Congratulations! You have completed the taming in Hakains Crossing!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_3_Title^,^Regional Rewards: Hakanas Highlands^,^^,^^,^^
^Ev_9_1_0789_3_request_text^,^Oh so you have completed taming everything in Hakanas Highlands?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_3_complete_text^,^Congratulations! You have completed the taming in the Hakanas Highlands!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_4_Title^,^Regional Rewards: Sea of Hakanas^,^^,^^,^^
^Ev_9_1_0789_4_request_text^,^Oh so you have completed taming everything in the Sea of Hakanas?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_4_complete_text^,^Congratulations! You have completed the taming in the Sea of Hakanas!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_5_Title^,^Regional Rewards: Parna's Coast^,^^,^^,^^
^Ev_9_1_0789_5_request_text^,^Oh so you have completed taming everything in Parna's Coast?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_5_complete_text^,^Congratulations! You have completed the taming in Parnas Coast!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_6_Title^,^Regional Rewards: Exarahn Badlands^,^^,^^,^^
^Ev_9_1_0789_6_request_text^,^Oh so you have completed taming everything in Exarahn Badlands?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_6_complete_text^,^Congratulations! You have completed the taming in the Exarahn Badlands!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_7_Title^,^Regional Rewards: Tritael Rift^,^^,^^,^^
^Ev_9_1_0789_7_request_text^,^Oh so you have completed taming everything in the Tritael Rift?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_7_complete_text^,^Congratulations! You have completed the taming in the Tritael Rift!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_8_Title^,^Regional Rewards: Cloying Wastes^,^^,^^,^^
^Ev_9_1_0789_8_request_text^,^Oh so you have completed taming everything in the Cloying Wastes?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_8_complete_text^,^Congratulations! You have completed the taming in the Cloying Wastes!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_9_Title^,^Regional Rewards: Ellora's Sanctuary^,^^,^^,^^
^Ev_9_1_0789_9_request_text^,^Oh so you have completed taming everything in Ellora's Sancturary?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_9_complete_text^,^Congratulations! You have completed the taming in Ellora's Sanctuary!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_10_Title^,^Regional Rewards: Stygaea^,^^,^^,^^
^Ev_9_1_0789_10_request_text^,^Oh so you have completed taming everything in Stygaea?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_10_complete_text^,^Congratulations! You have completed the taming in Stygaea!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_11_Title^,^Regional Rewards: Akrat Plains^,^^,^^,^^
^Ev_9_1_0789_11_request_text^,^Oh so you have completed taming everything in the Akrat Plains?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_11_complete_text^,^Congratulations! You have completed the taming in Akrat Plains!<br> Here are your rewards.^,^^,^^,^^
^Ev_9_1_0789_12_Title^,^Regional Rewards: Turiman Valley^,^^,^^,^^
^Ev_9_1_0789_12_request_text^,^Oh so you have completed taming everything in Turiman Valley?<br>Impressive! You should visit Rabbini Tammy in Hakains Crossing to claim your reward.^,^^,^^,^^
^Ev_9_1_0789_12_complete_text^,^Congratulations! You have finished the taming in all Regions!<br> Here are your final rewards.^,^^,^^,^^
^Ev_9_1_0790_1_Title^,^How to be a taming master – Step 1^,^^,^^,^^
^Ev_9_1_0790_1_request_text^,^So you have come to me to improve your taming abilities even more, nyan?<br>Then i have something for you!.^,^^,^^,^^
^Ev_9_1_0790_1_ongoing_text^,^BRing me some of these Taming Certificates and I will help you, nyan!^,^^,^^,^^
^Ev_9_1_0790_1_complete_text^,^Aah!<br>The Taming Certificates I asked for, wonderful!<br>Here, this should help you, nyan!^,^^,^^,^^
^Ev_9_1_0790_2_Title^,^How to be a taming master – Step 2^,^^,^^,^^
^Ev_9_1_0790_2_request_text^,^So you have come to me to improve your taming abilities even more, nyan?<br>Then i have something for you!.^,^^,^^,^^
^Ev_9_1_0790_2_ongoing_text^,^BRing me some of these Taming Certificates and I will help you, nyan!^,^^,^^,^^
^Ev_9_1_0790_2_complete_text^,^Aah!<br>The Taming Certificates I asked for, wonderful!<br>Here, this should help you, nyan!^,^^,^^,^^
^Ev_9_1_0790_3_Title^,^How to be a taming master – Step 3^,^^,^^,^^
