t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^hk_0_1_0151_2_Title^,^조련의 시작^,^^,^^,^Start of Training^,^^,^^
^hk_0_1_0151_2_RewarderDesc^,^연구소장 윌로우^,^^,^^,^Research Director Willow^,^^,^^
^hk_0_1_0151_2_Request_Text^,^자네, 지금까지 어디갔다 온 건가?<br>율너스에게 미리 얘기해두었다만 자네가 한참이나 찾아오지 않아 걱정이 많았다네.<br><br>그럼 이제 펠로우를 길들이는 방법에 대해 알려주겠네.<br>시간이 없으니 내가 주는 스킬을 한 번 써보게나.<br>자네라면 한 번에 배울 수 있을게야.^,^^,^^,^Where have you been so far? <br> I've told Julian before, but I have been worried tHat you have not been there for a while. Now let me tell you how to tame familiars. I do not have time, so let me see you try the skill I gave you.^,^^,^^
^hk_0_1_0151_2_Accepted_Text^,^펠로우 길들이기만큼 재밌는게 또 없지.^,^^,^^,^There's nothing more fun than taming familiars.^,^^,^^
^hk_0_1_0151_2_Ongoing_Text^,^자네, 지금까지 어디갔다 온 건가?<br>율너스에게 미리 얘기해두었다만 자네가 한참이나 찾아오지 않아 걱정이 많았다네.<br><br>그럼 이제 펠로우를 길들이는 방법에 대해 알려주겠네.<br>시간이 없으니 내가 주는 스킬을 한 번 써보게나.<br>자네라면 한 번에 배울 수 있을게야.^,^^,^^,^Where have you been so far? <br> I've told Julian before, but I have been worried tHat you have not been there for a while. Now let me tell you how to tame familiars. I do not have time, so let me see you try the skill I gave you.^,^^,^^
^hk_0_1_0151_2_Complete_Text^,^[UserName], 자네에게 어울리는 멋진 펠로우를 찾길 바라네.^,^^,^^,^[UserName], I hope you find a nice familiar tHat suits you.^,^^,^^
^hk_0_1_0151_3_Title^,^조련의 시작^,^^,^^,^Start of Training^,^^,^^
^hk_0_1_0151_3_RewarderDesc^,^연구소장 윌로우^,^^,^^,^Research Director Willow^,^^,^^
^hk_0_1_0151_3_Request_Text^,^자네, 지금까지 어디갔다 온 건가?<br>율너스에게 미리 얘기해두었다만 자네가 한참이나 찾아오지 않아 걱정이 많았다네.<br><br>그럼 이제 펠로우를 길들이는 방법에 대해 알려주겠네.<br>시간이 없으니 내가 주는 스킬을 한 번 써보게나.<br>자네라면 한 번에 배울 수 있을게야.^,^^,^^,^Where have you been so far? <br> I've told Julian before, but I have been worried tHat you have not been there for a while. Now let me tell you how to tame familiars. I do not have time, so let me see you try the skill I gave you.^,^^,^^
^hk_0_1_0151_3_Accepted_Text^,^펠로우 길들이기만큼 재밌는게 또 없지.^,^^,^^,^There's nothing more fun than taming familiars.^,^^,^^
^hk_0_1_0151_3_Ongoing_Text^,^자네, 지금까지 어디갔다 온 건가?<br>율너스에게 미리 얘기해두었다만 자네가 한참이나 찾아오지 않아 걱정이 많았다네.<br><br>그럼 이제 펠로우를 길들이는 방법에 대해 알려주겠네.<br>시간이 없으니 내가 주는 스킬을 한 번 써보게나.<br>자네라면 한 번에 배울 수 있을게야.^,^^,^^,^Where have you been so far? <br> I've told Julian before, but I have been worried tHat you have not been there for a while. Now let me tell you how to tame familiars. I do not have time, so let me see you try the skill I gave you.^,^^,^^
^hk_0_1_0151_3_Complete_Text^,^[UserName], 자네에게 어울리는 멋진 펠로우를 찾길 바라네.^,^^,^^,^[UserName], I hope you find a nice familiar tHat suits you.^,^^,^^
