t_key,t_korean,t_jpn,t_chinese,t_enu,t_f6,t_f7
^ca_it_sc_chaser1_name^,^Summon Scroll: Wise Spirit Chaser^,^^,^^,^^,^^,^^
^ca_it_sc_chaser1_description^,^When used, Wise Spirit Chaser appears.^,^^,^^,^^,^^,^^
^ca_it_sc_chaser2_name^,^Summon Scroll: Brave Spirit Chaser^,^^,^^,^^,^^,^^
^ca_it_sc_chaser2_description^,^When used, Brave Spirit Chaser appears.^,^^,^^,^^,^^,^^
^f_sealtest_001_name^,^Frosty^,^^,^^,^^,^^,^^
^n_p01_0_0001_0027_name^,^Rabbini Tammy^,^^,^^,^^,^^,^^
^in_d94_boss_001_name^,^Delicious Meat^,^^,^^,^^,^^,^^
^in_d94_boss_002_name^,^Delicious Meat^,^^,^^,^^,^^,^^
^in_d94_boss_003_name^,^Chewy Meats^,^^,^^,^^,^^,^^
^in_d94_boss_004_name^,^Chewy Meats^,^^,^^,^^,^^,^^
^in_c01_olympic_01_name^,^Olympic Torch^,^^,^^,^^,^^,^^
^in_c01_olympic_02_name^,^Olympic Torch^,^^,^^,^^,^^,^^
^in_f03_olympic_snow_name^,^Snow^,^^,^^,^^,^^,^^
^in_c01_egg_01_name^,^Egg with Treasure^,^^,^^,^^,^^,^^
^in_c01_egg_02_name^,^Egg with Treasure^,^^,^^,^^,^^,^^
^in_e02_dropbox_01_name^,^Matthew's Gift Box^,^^,^^,^^,^^,^^
^in_d11_Box_03_Name^,^Revolutionary Secret Box^,^^,^^,^^,^^,^^
^in_d11_portal_01_name^,^Damaged Dimensional Crack^,^^,^^,^^,^^,^^
^dialog_9041015_text0^,^Oh!<br>I can recognize a true familiar tamer when I see one, nyan!^,^^,^^,^^,^^,^^
^dialog_9031727_Title^,^Portal Mobile Device^,^^,^^,^^,^^,^^
^dialog_9031727_Text0^,^-Precautions for Use-<br><br><br>1. Only the Party Leader can use it.<br>*If you are alone, you can use it too.<br><br>2. You can select higher floors once you have cleared them once. <br>*Depends on the Party Leader's achievements.<br><br>^,^^,^^,^^,^^,^^
^Dialog_9031727_Text0_attach_0^,^3. This portal is forbidden to re-use.^,^^,^^,^^,^^,^^
^Dialog_9031727_answer_0_text^,^Move to Floor 1^,^^,^^,^^,^^,^^
^Dialog_9031727_answer_1_text^,^Move to Floor 6^,^^,^^,^^,^^,^^
^Dialog_9031727_answer_2_text^,^Move to Floor 11^,^^,^^,^^,^^,^^
^Dialog_9031727_answer_3_text^,^Move to Floor 16^,^^,^^,^^,^^,^^
^dialog_9031732_Title^,^Portal Mobile Device^,^^,^^,^^,^^,^^
^Qu_0_0_0862_name^,^Brakkar's Regional Reward Box^,^^,^^,^^,^^,^^
^Qu_0_0_0863_name^,^Hakain's Crossing Regional Reward Box^,^^,^^,^^,^^,^^
^Qu_0_0_0865_name^,^Hakanas Highlands Regional Reward Box^,^^,^^,^^,^^,^^
^Qu_0_0_0867_name^,^Sea of Hakanas Regional Reward Box^,^^,^^,^^,^^,^^
^Qu_0_0_0869_name^,^Parna's Coast Regional Reward Box^,^^,^^,^^,^^,^^
^Qu_0_0_0871_name^,^Exarahn Badlands Regional Reward Box^,^^,^^,^^,^^,^^
^Qu_0_0_0873_name^,^Tritael Rift Regional Rewards Box^,^^,^^,^^,^^,^^
^Qu_0_0_0875_name^,^Cloying Wastes Regional Rewards Box^,^^,^^,^^,^^,^^
^Qu_0_0_0877_name^,^Ellora's Sanctuary Regional Rewards Box^,^^,^^,^^,^^,^^
^Qu_0_0_0879_name^,^Stygaea Regional Rewards Box^,^^,^^,^^,^^,^^
^Qu_0_0_0881_name^,^Akrat Plains Regional Rewards Box^,^^,^^,^^,^^,^gonng^
^Qu_0_0_0883_name^,^Turiman Valley Regional Rewards Box^,^^,^^,^^,^^,^^
^ex_0_0355_name^,^Taming Certificate^,^^,^^,^^,^^,^^
^ex_0_0355_description^,^Exchange these at <UI_G>Rabbini Tammy</UI_G> for a special title.^,^^,^^,^^,^^,^^
^loading_tip_D94_001^,^If you leave the dungeon, you won't be rewarded. Choose carefully!^,^^,^^,^^,^^,^^
^loading_tip_D94_002^,^The respawn skill's cooldown is increased, and respawn / recovery / move items cannot be used.^,^^,^^,^^,^^,^^
^loading_tip_D94_003^,^Only the party leader can use the portal device.^,^^,^^,^^,^^,^^
^loading_tip_D94_004^,^Don't worry if you die. Unless you leave, you will automatically resurrect when the remaining party members cleared the floor.^,^^,^^,^^,^^,^^
^loading_tip_D94_005^,^To drive out the intruders, an unknown executioner is said to be watching the tower.^,^^,^^,^^,^^,^^
^loading_tip_D94_006^,^If you give up or quit the game, you will automatically be disenrolled from the party.^,^^,^^,^^,^^,^^
^gmc_32050^,^Do you want to open Level [Level] [Name]?^,^^,^^,^^,^^,^^
^gmc_32051^,^Entered Level [Level] [Name].^,^^,^^,^^,^^,^^
^ui_achievements_secretroom^,^Unkown Tower^,^^,^^,^^,^^,^^
^ui_dungeon_out_msg^,^Exit^,^^,^^,^^,^^,^^
^ui_difficulty^,^Level^,^^,^^,^^,^^,^^
^ex_0_0308_description^,^Obtained in the Haunted House. BRing these to <UI_G>Skellington</UI_G>, to exchange them for some rare items.^,^^,^^,^^,^^,^^
^ev_it_bp_0061_description^,^Obtained in the Haunted House. BRing these to <UI_G>Skellington</UI_G>, to exchange them for some useful items.^,^^,^^,^^,^^,^^
^na_it_fairyd_01_name^,^Mount: Fairy Dragon^,^^,^^,^^,^^,^^
^na_it_fairyd_01_description^,^When used, <UI_G>Fairy Dragon</UI_G> is added to your familiar storage.^,^^,^^,^^,^^,^^
^na_it_fairyd_02_name^,^Mount: Fairy Dragon^,^^,^^,^^,^^,^^
^na_it_fairyd_02_description^,^When used, <UI_G>Fairy Dragon</UI_G> is added to your familiar storage.^,^^,^^,^^,^^,^^
^na_it_chaser_01_name^,^Mount: Wise Spirit Chaser^,^^,^^,^^,^^,^^
^na_it_chaser_01_description^,^When used, <UI_G>Wise Spirit Chaser</UI_G> is added to your familiar storage.^,^^,^^,^^,^^,^^
^na_it_chaser_02_name^,^Mount: Wise Spirit Chaser^,^^,^^,^^,^^,^^
^na_it_chaser_02_description^,^When used, <UI_G>Wise Spirit Chaser</UI_G> is added to your familiar storage.^,^^,^^,^^,^^,^^
^Cp_8_0190_name^,^Chaos Nebula Mark^,^^,^^,^^,^^,^^
^Cp_8_0190_Description^,^Used to tame <UI_G>Chaos Nebula</UI_G>.^,^^,^^,^^,^^,^^
^Cp_8_0191_name^,^Traes Mark^,^^,^^,^^,^^,^^
^Cp_8_0191_Description^,^Used to tame <UI_G>Traes</UI_G>.^,^^,^^,^^,^^,^^
^ca_it_cm_karon1_name^,^Mount: Divine Tares^,^^,^^,^^,^^,^^
^ca_it_cm_karon1_description^,^When used, <UI_G>Divine Tares</UI_G> is added to your familiar storage.^,^^,^^,^^,^^,^^
