t_key,t_korean,t_jpn,t_chinese,t_enu
^motowerrid01_name^,^Regurgitation^,^^,^^,^^
^motowerrid02_name^,^Hell^,^^,^^,^^
^motowerrid03_name^,^Chalice^,^^,^^,^^
^mogoleheat01_name^,^Heating^,^^,^^,^^
^motowergil01_name^,^Prison Chain^,^^,^^,^^
^mocarrot01_name^,^Carrot Blast^,^^,^^,^^
^mocarrot001_name^,^Carrot Blast^,^^,^^,^^
^motbelte01_name^,^Shockwave^,^^,^^,^^
^motbelte02_name^,^Impact Bomb^,^^,^^,^^
^motowerarc01_name^,^Continuous Stabbing^,^^,^^,^^
^motowerarc03_name^,^Chalice^,^^,^^,^^
^motowersab001_name^,^Victory Sword^,^^,^^,^^
^motowersab02_name^,^Energy Liberation^,^^,^^,^^
^modhorse01_name^,^Rush^,^^,^^,^^
^mozombhowl01_name^,^Unpleasant Crying^,^^,^^,^^
^moelephant01_name^,^Smash^,^^,^^,^^
^morhino01_name^,^Get^,^^,^^,^^
^motdemonus01_name^,^Dark Wave^,^^,^^,^^
^motkalipto01_name^,^Polar Wave^,^^,^^,^^
^motzomb01_name^,^Squeaky Smell^,^^,^^,^^
^motzomb02_name^,^Lost Friends^,^^,^^,^^
^motzomb03_name^,^Occasionally Strong Attacks^,^^,^^,^^
^motowersab00_name^,^Chalice^,^^,^^,^^
^motowergil00_name^,^Unprotect^,^^,^^,^^
^motowerrid00_name^,^Extinction^,^^,^^,^^
^motowersab03_name^,^Wind King Mace^,^^,^^,^^
^motowergil03_name^,^King's Weight^,^^,^^,^^
^motowerrid004_name^,^Acupoint^,^^,^^,^^
^motjeranin00_name^,^Final^,^^,^^,^^
^motjeranin01_name^,^Execution^,^^,^^,^^
^motarzan01_name^,^Wild Wrath^,^^,^^,^^
^motarzan02_name^,^Wild Calling^,^^,^^,^^
^motarzan03_name^,^Prey Discovery^,^^,^^,^^
^motarzan001_name^,^Wild Wrath^,^^,^^,^^
^motarzanlink01_name^,^Wild Wrath^,^^,^^,^^
^motarzanlink02_name^,^Wild Wrath^,^^,^^,^^
^motlever01_name^,^Hunger^,^^,^^,^^
^motlever02_name^,^Happy Satiety^,^^,^^,^^
^motlever03_name^,^Indigestion^,^^,^^,^^
^motdevy01_name^,^Dream Drop^,^^,^^,^^
^motdevy02_name^,^Puppet^,^^,^^,^^
^motdevy03_name^,^Doll Explosion^,^^,^^,^^
^motdevy003_name^,^Doll Explosion^,^^,^^,^^
^motdevy04_name^,^Doll Explosion^,^^,^^,^^
^motdevy12_name^,^Trauma^,^^,^^,^^
^motdevy012_name^,^Tackle^,^^,^^,^^
^motdevy13_name^,^Swallow^,^^,^^,^^
^motdevy14_name^,^Jump^,^^,^^,^^
^motdevytrap01_name^,^Doll Trap^,^^,^^,^^
^motdevytrap00_name^,^Doll Trap^,^^,^^,^^
^motinvincible01_name^,^Invincibility^,^^,^^,^^
^motinvincible02_name^,^Release^,^^,^^,^^
^feagnasice00_Name^,^Ice Breath^,^^,^^,^^
^feagnasice01_Name^,^Ice Launch^,^^,^^,^^
^mocrotus19a_Name^,^Die Vermin!^,^^,^^,^^
^mocrotus13a_Name^,^Blood Broadness^,^^,^^,^^
^mocrotus01a_Name^,^Magic Shot^,^^,^^,^^
