t_key,t_korean
^UI_SC_COMMON_MESSAGEBOX_WG_BTN_MESSAGEBOX_OK_Text^,^UI_Name_Test^
^UI_SC_COMMON_MESSAGEBOX_WG_BTN_MESSAGEBOX_OK_Tooltip^,^UI_Tooltip_Test^
^UI_SC_STG_LOGIN_MAINFRAME_WG_BTN_OK_Text^,^Check (Test Localization)^
^UI_SC_STG_LOGIN_MAINFRAME_WG_BTN_OK_Tooltip^,^Check Tooltip (Test Localization)^
^UI_SC_STG_LOGIN_MAINFRAME_WG_BTN_CANCEL_Text^,^Cancel (Test Localization)^
^UI_SC_STG_LOGIN_MAINFRAME_WG_BTN_CANCEL_Tooltip^,^Cancel Tooltip (Test Localization)^
^ui_cuidlgskilltree_warrior_title^,^Berserker Skills^
^ui_cuidlgskilltree_preist_title^,^Priest Skills^
^ui_cuidlgskilltree_wizard_title^,^Wizard Skills^
^ui_cuidlgskilltree_archer_title^,^Ranger Skills^
^ui_cuidlgskilltree_thief_title^,^Assassin Skills^
^ui_cuidlgskilltree_guardian_title^,^가디언 스킬^
^ui_cuidlgskilllearn_warrior_title^,^Learn Berserker Skills^
^ui_cuidlgskilllearn_preist_title^,^Learn Priest Skills^
^ui_cuidlgskilllearn_wizard_title^,^Learn Wizard Skills^
^ui_cuidlgskilllearn_nature_title^,^Learn Ranger Skills^
^ui_cuidlgskilllearn_thief_title^,^Learn Assassin Skills^
^ui_cuidlgskilllearn_guardian_title^,^가디언 스킬 배우기^
^ui_cuidlgskilltree_preist_tab_default_3^,^Willpower^
^ui_cuidlgskilltree_wizard_tab_default_1^,^Fire^
^ui_cuidlgskilltree_wizard_tab_default_2^,^Ice^
^ui_cuidlgskilltree_wizard_tab_default_3^,^Storm^
^ui_cuidlgskilltree_nature_tab_default_1^,^Hunting^
^ui_cuidlgskilltree_nature_tab_default_2^,^Support^
^ui_cuidlgskilltree_nature_tab_default_3^,^Nature^
^ui_cuidlgskilltree_thief_tab_default_1^,^Ambush^
^ui_cuidlgskilltree_thief_tab_default_2^,^Retaliation^
^ui_cuidlgskilltree_thief_tab_default_3^,^Survival^
^ui_cuidlgskilltree_tab_blood^,^Kinship^
^ui_cuidlgskilltree_tab_property^,^Affinity^
^ui_cuidlgskilltree_remain_point_title^,^Tradable Points^
^ui_cuidlgskilltree_tab_total_point_title^,^Total Points Used^
^ui_lobbycustomizerightpanel_styleview_body_select^,^Choose Build^
^ui_lobbycustomizerightpanel_styleview_facestyle_select^,^Choose Face Style^
^ui_lobbycustomizerightpanel_styleview_hairstyle_select^,^Choose Hair Style^
^ui_lobbycustomizerightpanel_styleview_color_hair1^,^Hair Color^
^ui_lobbycustomizerightpanel_styleview_color_hair2^,^Hair Decoration Color^
^ui_lobbycustomizerightpanel_styleview_color_skin^,^Skin Color^
^ui_lobbycustomizerightpanel_styleview_color_eye^,^Eye Color^
^ui_lobbycustomizerightpanel_styleview_color_lip^,^Lip Color^
^ui_lobbycustomizerightpanel_styleview_color_item1^,^Outfit Base Color^
^ui_lobbycustomizerightpanel_styleview_color_item2^,^Outfit Decoration Color^
^ui_lobbycustomizerightpanel_detailview_btn_random^,^랜덤^
^ui_lobbycustomizerightpanel_detailview_btn_initialize^,^Reset^
^ui_lobbycustomizeleftpanel_label_character_name^,^Name^
^ui_lobbycustomizeleftpanel_btn_character_name_check^,^Validate^
^ui_lobbycustomizeleftpanel_checkbox_innerwear^,^Try On Underwear^
^ui_lobbycustomizeleftpanel_label_emotion^,^Emotions^
^ui_lobbycustomizebottompanel_btn_create^,^Created^
^ui_lobbycustomizebottompanel_tooltip_option^,^Options^
^ui_lobbycustomizebottompanel_tooltip_gojobselect^,^Class Selection^
^ui_customize_tab_style^,^Style Settings^
^ui_customize_tab_detailtab^,^Detailed Settings^
^ui_customize_itemgroup_1body^,^Build^
^ui_ci_head^,^Head^
^ui_ci_height^,^Height^
^ui_ci_neck^,^Neck Width^
^ui_ci_necklength^,^Neck Length^
^ui_ci_chest^,^Shoulders^
^ui_ci_waistlength^,^Torso^
^ui_ci_waist^,^Waist^
^ui_ci_hip^,^Hips^
^ui_ci_armlength^,^Arm^
^ui_ci_uparm^,^Upper Arms^
^ui_ci_foarm^,^Lower Arms^
^ui_ci_hand^,^Hands^
^ui_ci_leglength^,^Legs^
^ui_ci_thigh^,^Thighs^
^ui_ci_calf^,^Calves^
^ui_ci_foot^,^Feet^
^ui_ci_breast^,^Chest^
^ui_ci_xsize^,^Girth^
^ui_customize_itemgroup_2face^,^Face^
^ui_ci_chinshape^,^Jaw^
^ui_ci_chinextent^,^Chin Point^
^ui_ci_chinheight^,^Chin Length^
^ui_ci_cheekbone^,^Cheekbones^
^ui_ci_cheektickness^,^Cheeks^
^ui_customize_itemgroup_3eye^,^Eyes^
^ui_ci_eyesize^,^Size^
^ui_ci_eyedepth^,^Protrusion^
^ui_ci_eyespace^,^Separation^
^ui_ci_eyeposition^,^Height^
^ui_ci_eyefront^,^Inner Depth^
^ui_ci_eyefrontposition^,^Inner Tilt^
^ui_ci_eyeback^,^Outer Tilt^
^ui_ci_blowheight^,^Brow Height^
^ui_ci_blowangle^,^Outer Brow^
^ui_ci_blowspace^,^Brow Width^
^ui_ci_uppereyelid^,^Upper Lids^
^ui_ci_lowereyelid^,^Lower Lids^
^ui_ci_eyeballsize^,^Iris^
^ui_ci_browangle2^,^Inner Brow^
^ui_customize_itemgroup_4nose^,^Nose^
^ui_ci_nosetickness^,^Bridge^
^ui_ci_noselength^,^Length^
^ui_ci_noseheight^,^Size^
^ui_ci_nosetip^,^Tip Tilt^
^ui_ci_nosesize^,^Tip Size^
^ui_ci_nosewidth^,^Flare^
^ui_customize_itemgroup_5mouth^,^Mouth^
^ui_ci_mouseshape^,^Shape^
^ui_ci_mousesize^,^Size^
^ui_ci_lipposition^,^Philtrum^
^ui_ci_uplipshape^,^Upper Shape^
^ui_ci_downlipshape^,^Lower Shape^
^ui_ci_uplipsize^,^Upper Lip^
^ui_ci_downlipsize^,^Lower Lip^
^ui_ci_tooth^,^Protrusion^
^ui_ci_facestyle^,^Face Shape^
^ui_customize_class_warrior^,^Berserker^
^ui_customize_class_priest^,^Priest^
^ui_customize_class_thief^,^Assassin^
^ui_customize_class_wizard^,^Wizard^
^ui_customize_class_archer^,^Ranger^
^ui_customize_class_guardian^,^가디언^
^ui_customize_label_name^,^Name^
^ui_customize_btn_name_check^,^Validate^
^ui_customize_label_equip^,^Try On Armor^
^ui_customize_label_pose^,^Pose^
^ui_customize_label_voice^,^Voice^
^ui_customize_tab_basic^,^Overall^
^ui_customize_itemgroup_wholepreset^,^Presets^
^ui_customize_itemgroup_face^,^Face^
^ui_customize_itemgroup_hair^,^Hair^
^ui_customize_itemgroup_decorate^,^Stubble^
^ui_customize_itemgroup_body^,^Build^
^ui_customize_itemgroup_skin^,^Skin^
^ui_customize_tab_facemakeup^,^Decorate Face^
^ui_customize_itemgroup_eyeshape^,^Eye Assassin^
^ui_customize_itemgroup_eyebrows^,^Eyebrows^
^ui_customize_itemgroup_pupil^,^Eyes^
^ui_customize_itemgroup_mouth^,^Mouth^
^ui_customize_itemgroup_tattoo^,^Tattoos^
^ui_customize_tab_detail^,^Detailed Settings^
^ui_customize_itemgroup_detailbody^,^Build^
^ui_customize_itemgroup_detailface^,^Face^
^ui_customize_itemgroup_detaileye^,^Eyes^
^ui_customize_itemgroup_detailnose^,^Nose^
^ui_customize_itemgroup_detailmouse^,^Mouth^
^ui_customize_tab_random^,^무작위^
^ui_customize_itemgroup_randomlimit^,^무작위 범위 설정^
^ui_customize_btn_random^,^무작위^
^ui_customize_label_whole^,^All^
^ui_customize_label_body^,^Build^
^ui_customize_label_face^,^Face^
^ui_customize_label_faceshape^,^Face Shape^
^ui_customize_label_eye^,^Eyes^
^ui_customize_label_nose^,^Nose^
^ui_customize_label_mouth^,^Mouth^
^ui_customize_label_color^,^Color^
^ui_customize_label_skin^,^Skin^
^ui_customize_label_pupil^,^Pupil^
^ui_customize_label_hair^,^Hair^
^ui_customize_label_lips^,^Lips^
^ui_customize_label_decorate^,^Beard^
^ui_customize_label_eyemakeup^,^Eye Assassin^
^ui_customize_label_eyebrows^,^Eyebrows^
^ui_customize_label_tattoo^,^Tattoos^
^ui_customize_btn_reset^,^Reset^
^ui_lobbyjobselector_label_jobselect^,^Select Class^
^ui_lobbyjobselector_btn_job_warrior^,^Berserker^
^ui_lobbyjobselector_btn_job_priest^,^Priest^
^ui_lobbyjobselector_btn_job_thief^,^Assassin^
^ui_lobbyjobselector_btn_job_wizard^,^Wizard^
^ui_lobbyjobselector_btn_job_archer^,^Ranger^
^ui_lobbyjobselector_btn_job_guardian^,^가디언^
^ui_lobbyjobselectormenu_gocharselector^,^Select Character^
^ui_lobbycharselector_label_character_select^,^Select Character^
^ui_lobbycharselector_btn_gocharacter_create^,^Create^
^ui_lobbycharselector_btn_character_delete^,^Delete^
^ui_lobbycharselectormenu_btn_stargame^,^Start Game^
^ui_lobbycharselectormenu_btn_tooltip_exitgame^,^Exit Game^
^ui_lobbycharselectormenu_btn_tooltip_gameoption^,^Options^
^ui_lobbycharselectormenu_btn_tooltip_goserverlist^,^Select Server^
^ui_lobbycharselectorinfo_guild^,^None^
^ui_lobbycharselectorinfo_force^,^None^
^ui_lobbycharselectorinfo_havenorecord^,^No information found.^
^ui_lobbycharselectorinfo_havenoregioninfo^,^There is no location information.^
^ui_helptopic_alarm^,^Minimize Help^
^ui_lobbycharselectormenu_allwatch^,^View All^
^ui_lobbycharselectormenu_btn_create^,^Create^
^ui_lobby_prev^,^Back^
^ui_login_title1^,^Welcome to Divine Icarus.^
^ui_login_title2^,^Enter your username and pasSword.^
^ui_login_login^,^Enter^
^ui_serverlist_server_select^,^Select World^
^ui_serverlist_server_name^,^World Name^
^ui_serverlist_server_character_count^,^Characters^
^ui_serverlist_server_state^,^Status^
^ui_serverlist_create_character_state^,^Slots^
^ui_serverlist_server_connect^,^Enter^
^ui_common_appointed^,^To be applied^
^ui_common_game_exit^,^Exit^
^ui_common_character^,^Characters^
^ui_common_warrior_male^,^Berserker (M)^
^ui_common_warrior_female^,^Berserker (F)^
^ui_common_priest_male^,^Priest (M)^
^ui_common_priest_female^,^Priest (F)^
^ui_common_thief_male^,^Assassin (M)^
^ui_common_thief_female^,^Assassin (F)^
^ui_common_wizard_male^,^Wizard (M)^
^ui_common_wizard_female^,^Wizard (F)^
^ui_common_archer_male^,^Ranger (M)^
^ui_common_archer_female^,^Ranger (F)^
^ui_common_guardian_male^,^가디언(남)^
^ui_common_guardian_female^,^가디언(여)^
^ui_lobbycharselector_guild^,^Guild^
^ui_lobbycharselector_force^,^Alliance^
^ui_lobbycharselector_login^,^Last Played^
^ui_lobbycharselector_spot^,^Last Location^
^ui_lobbycharselector_playtime^,^Total Play Time^
^ui_lobbycharselector_createimpossible^,^!POPUP_1!Your character creation slots are full.^
^ui_lobbycharcreate_mainstat^,^Main Stats^
^ui_lobbycharcreate_keyword^,^Keyword^
^ui_lobbycharcreate_disablemessage^,^You cannot create this character.^
^ui_lobbycharcreate_explain^,^Description^
^ui_lobbycharcreate_explain_origin_warrior_1^,^Berserkers wade into battle with little concern for their own lives, building rage with each blow they take to unleash devastating chains of attacks on anything within striking distance.^
^ui_lobbycharcreate_explain_origin_priest_1^,^Priests wield the power of light to protect allies and smite their enemies. Advanced priests have even been known to manipulate the minds of evil creatures, bending them to their will.^
^ui_lobbycharcreate_explain_origin_wizard_1^,^Wizards control the very fabric of nature, conjuRing the elements to unleash massive destruction over Berserker areas of the battlefield.^
^ui_lobbycharcreate_explain_origin_thief_1^,^Assassins are nimble warriors, soaRing in to deliver a lethal chain of killing blows and aerial combos before disappeaRing to a safe distance.^
^ui_lobbycharcreate_explain_origin_archer_1^,^Relying on arcane energy, rangers are primarily ranged combat focused with an arsenal of shortbows. In close ranged combats, they are capable of developing airtight attacks using gauntlets.^
