t_key,t_korean
^area_sp_s_0001_name^,^Player Registration and Revival Point 1^
^area_sp_q_0001_name^,^Warden Rex^
^area_sp_q_0002_name^,^To Sky Titan^
^area_sp_r_0001_name^,^Revival Point 2^
^area_sp_q_0005_name^,^Escape Route^
^area_f01_p_1001_name^,^Dragon Knight Camp^
^area_f01_p_1002_name^,^Ruins Camp^
^area_f01_p_1003_name^,^Shimmerwood Camp^
^area_f01_p_0001_name^,^Timber Lake^
^area_f01_p_0002_name^,^Lavalight Cave Exit^
^area_f01_p_0003_name^,^Hakain's Passage Exit^
^area_f01_q_0002_name^,^Lake near the Shimmerwood^
^area_f01_q_0003_name^,^Truthful Outlook Potion Use Area^
^area_f01_q_0004_name^,^Guarding Inugi Quest Completion^
^area_f01_q_0005_name^,^Nearby Lake^
^area_f01_q_0006_name^,^Panther Spawn Location^
^area_f01_q_0011_name^,^Inugi Dialogue 1^
^area_f01_q_0012_name^,^Inugi Dialogue 2^
^area_f01_q_0013_name^,^Inugi Dialogue 3^
^area_f01_r_0001_name^,^Dragon Knight Camp Revival Point^
^area_f01_r_0002_name^,^Northern Ruins Revival Point^
^area_f01_r_0003_name^,^Shimmerwood Camp Revival Point^
^area_f01_r_0004_name^,^Lavalight Cave Revival Point^
^area_f01_r_0005_name^,^Crash Site Revival Point^
^area_f01_warp_0001_name^,^Enter Lavalight Cave^
^area_f01_warp_0002_name^,^Hakain's Passage Entrance^
^area_dc_p_0001_name^,^Dark Cave^
^area_bd_p_0001_name^,^Guardian Dragon's Temple^
^area_dl_p_0001_name^,^Lowest Floor of Lava Cave^
^area_hk_q_0001_name^,^Young Shepherd Start Location^
^area_hk_q_0002_name^,^Young Shepherd End Location^
^area_hk_q_0003_name^,^Weary Soldier End Location^
^area_hk_q_0004_name^,^Confidence End Location^
^area_hk_q_0005_name^,^For the Young Lady End Location^
^area_fr_q_0001_name^,^Red Magic Stone Use Location^
^area_fr_q_0002_name^,^Greenstone Use Location^
^area_fr_q_0003_name^,^Blue Magic Stone Use Location^
^area_fr_q_0004_name^,^Yellow Magic Stone Use Location^
^area_fr_q_0005_name^,^Book of Memories Use Location^
