t_key,t_korean,t_jpn,t_chinese,t_enu
^testfield_Name^,^Test Field^,^^,^^,^^
^testfield2_Name^,^Test Field2^,^^,^^,^^
^map_f00_Name^,^Prison of Salant^,^^,^^,^^
^map_f01_Name^,^Brakarr Forest^,^^,^^,^^
^map_f02_Name^,^Hakanas Highlands^,^^,^^,^^
^map_f03_Name^,^Parna's Coast^,^^,^^,^^
^map_f04_Name^,^Tritael Rift^,^^,^^,^^
^map_f05_Name^,^Cloying Wastes^,^^,^^,^^
^map_d01_Name^,^Carleon Manor^,^^,^^,^^
^map_d02_Name^,^Ruins of Matren^,^^,^^,^^
^map_d03_Name^,^Cavern of the Veil^,^^,^^,^^
^map_d04_Name^,^The Frost Keep^,^^,^^,^^
^map_d00_Name^,^Lavalight Cave^,^^,^^,^^
^map_c01_Name^,^Hakain's Crossing^,^^,^^,^^
^map_c02_Name^,^Akrat Plains^,^^,^^,^^
^map_c03_Name^,^Thundercloud Fortress^,^^,^^,^^
^map_f07_Name^,^Ellora's Sanctuary^,^^,^^,^^
^map_f08_Name^,^Turimnan Valley^,^^,^^,^^
^map_f09_Name^,^Sea of Hakanas^,^^,^^,^^
^map_test01_Name^,^Test Field4^,^^,^^,^^
^map_test02_Name^,^Test Field5^,^^,^^,^^
^testfield3_Name^,^Test Field3^,^^,^^,^^
^map_d07_name^,^Tomb of the Wyrm^,^^,^^,^^
^test_navi_Name^,^Navigation Test^,^^,^^,^^
^map_d08_name^,^Forgotten Shrine^,^^,^^,^^
^map_d09_name^,^Hastan Village^,^^,^^,^^
^map_farm_01_name^,^Hakanas Plantation^,^^,^^,^^
^map_farm_02_name^,^Akrat Plain Plantation^,^^,^^,^^
^map_f10_Name^,^Magmaphora^,^^,^^,^^
^map_f11_Name^,^Blackhand Canyon^,^^,^^,^^
^map_f12_Name^,^Exarahn Basin^,^^,^^,^^
^map_f13_Name^,^Sleeping Island^,^^,^^,^^
^map_f14_Name^,^Ellard Continent^,^^,^^,^^
