t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^region_f00_001_name^,^사란트의 감옥^,^サラントの監獄^,^사란트의 성 감옥^,^Prison of Salant^,^^,^^
^region_f00_002_name^,^고통의 뇌옥^,^苦痛の牢獄^,^^,^Prison of Agony^,^^,^^
^region_f00_003_name^,^고문실^,^拷問部屋^,^^,^Torture Chamber^,^^,^^
^region_f00_004_name^,^간수장의 심문장^,^看守長の審問部屋^,^^,^Torture Chamber^,^^,^^
^region_f00_005_name^,^고통의 뇌옥 2지구^,^苦痛の牢獄 2地区^,^^,^Prison of Agony Stables^,^^,^^
^region_f00_006_name^,^공중 승강장^,^空中乗り場^,^^,^Aerial Platform^,^^,^^
^region_f01_001_name^,^추락한 비행선 내부^,^墜落した飛行船の内部^,^^,^Crashed Titan Interior^,^^,^^
^region_f01_002_name^,^팀버레이크 벌목지^,^ティンバレーク伐木地^,^^,^Crash Site^,^^,^^
^region_f01_005_name^,^신룡기사단 주둔지^,^ゴッドドラゴン騎士団駐屯地^,^^,^Dragon Knight Station^,^^,^^
^region_f01_006_name^,^브라기 전초기지^,^ブラギ前哨基地^,^^,^Braghin Outpost^,^^,^^
^region_f01_007_name^,^숨겨진 비밀 유적^,^隠された秘密遺跡^,^^,^Wolftrap Grotto^,^^,^^
^region_f01_008_name^,^고요한 숲 길^,^静かな森道^,^^,^Still Path^,^^,^^
^region_f01_009_name^,^남부 유적지 폐허^,^南部遺跡地廃墟^,^^,^Southern Ruins^,^^,^^
^region_f01_010_name^,^고요한 숲 길^,^静かな森道^,^^,^Still Path^,^^,^^
^region_f01_011_name^,^광채나무 숲^,^光彩木の森^,^^,^The Shimmerwood^,^^,^^
^region_f01_012_name^,^브라기 본거지^,^ブラギ本拠地^,^^,^Braghin War Camp^,^^,^^
^region_f01_013_name^,^북부 유적지 폐허^,^北部遺跡地廃墟^,^^,^Northern Ruins^,^^,^^
^region_f01_014_name^,^허물어진 유적 입구^,^崩れた遺跡地入口^,^^,^Decrepit Ruins Entrance^,^^,^^
^region_f01_015_name^,^하카나스 통로^,^ハカナス通路^,^^,^Hakain's Passage^,^^,^^
^region_f01_020_name^,^망령의 제단^,^亡霊の祭壇^,^^,^Altar of Souls^,^^,^^
^region_d00_001_name^,^유적 입구^,^遺跡入口^,^^,^Ruins Entrance^,^^,^^
^region_d00_002_name^,^불이 삼킨 유적^,^火が飲み込んだ遺跡^,^^,^Lavalight Cave^,^^,^^
^region_d00_003_name^,^성난 불길의 강^,^怒り狂った火道の川^,^^,^Swiftfire River^,^^,^^
^region_d00_004_name^,^고대 골렘의 소굴^,^古代ゴーレムの巣窟^,^^,^Emberstone Lair^,^^,^^
^region_d01_001_name^,^대저택 입구^,^豪邸入口^,^^,^Manor Gate^,^^,^^
^region_d01_002_name^,^대저택 전정^,^豪邸前庭^,^^,^Manor Courtyard^,^^,^^
^region_d01_003_name^,^음산한 마구간^,^陰惨とした馬屋^,^^,^Dour Stables^,^^,^^
^region_d01_004_name^,^대저택 연회장^,^豪邸宴会場^,^^,^Banquet Hall^,^^,^^
^region_d01_005_name^,^백작의 사저^,^伯爵の私邸^,^^,^Manor Chambers^,^^,^^
^region_d01_006_name^,^백작의 공관^,^伯爵の公館^,^^,^Great Hall^,^^,^^
^region_d02_001_name^,^폐허 입구^,^廃墟入口^,^^,^Town Gate^,^^,^^
^region_d02_002_name^,^얼어붙은 마트렌 폐허^,^凍りついたマトレン廃墟^,^^,^Ruins of Matren^,^^,^^
^region_d02_003_name^,^부서진 종탑 광장^,^崩れた鐘塔広場^,^^,^Belltower Plaza^,^^,^^
^region_d02_004_name^,^눈보라치는 광산 길^,^吹雪が荒れ狂う鉱山道^,^^,^Miner's Road^,^^,^^
^region_d02_005_name^,^은광석 창고^,^銀鉱石の倉庫^,^^,^Silver Warehouse^,^^,^^
^region_d02_006_name^,^버려진 폐광^,^捨てられた廃鉱^,^^,^Abandoned Mine^,^^,^^
^region_d02_007_name^,^광산 마을 폐허^,^鉱山村の廃墟^,^^,^Mining Town Ruins^,^^,^^
^region_d02_008_name^,^은광석 계곡^,^銀鉱石の渓谷^,^^,^Silver Valley^,^^,^^
^region_d02_009_name^,^사란트의 생가^,^サラントの実家^,^^,^Salant's Birthplace^,^^,^^
^region_d02_010_name^,^은광석 제련소^,^銀鉱石の製錬所^,^^,^Silver Refinery^,^^,^^
^region_f02_001_Name^,^하카나스 통로^,^ハカナス通路^,^^,^Hakain's Passage^,^^,^^
^region_f02_002_Name^,^버려진 유적지^,^捨てられた遺跡地^,^^,^Forlorn Ruins^,^^,^^
^region_f02_003_Name^,^산서프스 목장^,^サンサプス牧場^,^^,^Sansupus Ranch^,^^,^^
^region_f02_004_Name^,^풍요의 숲^,^豊かの森^,^^,^Gilded Woods^,^^,^^
^region_f02_005_Name^,^포효의 숲^,^咆哮の森^,^^,^Foothills^,^^,^^
^region_f02_006_Name^,^사냥꾼 잭의 동굴^,^ハンタージャックの洞窟^,^^,^Hunter's Cave^,^^,^^
^region_f02_007_Name^,^자다란 마을^,^ザダラン村^,^^,^Zadaran^,^^,^^
^region_f02_008_Name^,^엑자란 폐허^,^エクザラン廃墟^,^^,^Exarahn Ruins^,^^,^^
^region_f02_009_Name^,^수도성 남부 관문^,^首都城南部関門^,^^,^South Capital Gate^,^^,^^
^region_f02_010_Name^,^수도성 동부 관문^,^首都城東部関門^,^^,^North Capital Gate^,^^,^^
^region_f02_011_Name^,^모리네 호수^,^モリネ湖^,^^,^Morineh Lake^,^^,^^
^region_f02_012_Name^,^미명의 숲^,^未明の森^,^^,^Dawnbreak Woods^,^^,^^
^region_f02_013_Name^,^켈우즈 마을^,^ケルウーズ村^,^^,^Kellwoods^,^^,^^
^region_f02_014_Name^,^카를레앙 정원^,^カルレアン庭園^,^^,^Carleon Manor^,^^,^^
^region_f02_015_Name^,^켈우즈 농장^,^ケルウーズ農場^,^^,^Kellwoods Farms^,^^,^^
^region_f02_016_Name^,^북부 경비탑^,^北部警備塔^,^^,^Northern Watchtower^,^^,^^
^region_f02_017_Name^,^돌개바람 언덕^,^颶風の丘^,^^,^Miller's Hill^,^^,^^
^region_f02_018_Name^,^공동 묘지^,^共同墓地^,^^,^Cemetery^,^^,^^
^region_f02_019_Name^,^얼어붙은 마트렌 폐허^,^凍りついたマトレン廃墟^,^^,^Ruins of Matren^,^^,^^
^region_f02_020_Name^,^포효의 숲 주둔지^,^咆哮の森駐屯地^,^^,^Foothills Camp^,^^,^^
^region_f02_021_Name^,^포효의 숲(남부)^,^咆哮の森(南部)^,^^,^Foothills (South)^,^^,^^
^region_f02_022_Name^,^신룡의 해안가^,^ゴッドドラゴンの海岸道^,^^,^Divinity Shore^,^^,^^
^region_f02_023_Name^,^무두장이 마을^,^皮なめし屋の村^,^^,^Tanner Village^,^^,^^
^region_f02_024_Name^,^미명의 숲(북부)^,^未明の森 (北部)^,^^,^Dawnbreak Woods (North)^,^^,^^
^region_f02_025_Name^,^새끼 불새의 둥지^,^子火の鳥の巣^,^^,^Phoenix Fledgling Nest^,^^,^^
^region_f02_026_Name^,^격동의 대지^,^激動の大地^,^^,^Broken Caldera^,^^,^^
^region_f02_027_Name^,^수호신룡의 관문^,^守護ゴッドドラゴンの関門^,^^,^Guardian's Gate^,^^,^^
^region_f02_028_Name^,^산서프스 피난 캠프^,^サンサプス避難キャンプ^,^^,^Sansupus Camp^,^^,^^
^region_f02_029_Name^,^불이 삼킨 유적 입구^,^火が飲み込んだ遺跡入口^,^^,^Lavalight Cave^,^^,^^
^region_c01_001_Name^,^남부 가도^,^南部街道^,^^,^Emerald Road^,^^,^^
^region_c01_002_Name^,^엘그레인 농장지대^,^エルグレーン農場地帯^,^^,^Elgren Farm^,^^,^^
^region_c01_003_Name^,^거친 모험가 항구^,^荒い冒険家の港^,^^,^Adventure's Port^,^^,^^
^region_c01_004_Name^,^동부 가도^,^東部街道^,^^,^Rosen's Road^,^^,^^
^region_c01_005_Name^,^고요의 평원(남부)^,^静寂な平原(南部)^,^^,^Verdant Meadows (South)^,^^,^^
^region_c01_006_Name^,^왕국 수림지^,^王国樹林地^,^^,^King's Grove^,^^,^^
^region_c01_007_Name^,^하카나스 성 정문^,^ハカナス首都城 正門^,^^,^Noble's Gate^,^^,^^
^region_c01_008_Name^,^광장 가도^,^広場街道^,^^,^Grand Avenue^,^^,^^
^region_c01_009_Name^,^상업지구^,^産業地区^,^^,^Market District^,^^,^^
^region_c01_010_Name^,^공업지구^,^工業地区^,^^,^Artisan Square^,^^,^^
