t_key,t_korean
^am_co_gr_001_10_Name^,^Already 10 reps^
^am_co_gr_001_10_Description^,^Level 10 achieved^
^am_co_gr_001_10_condition_0^,^Level 10 achieved^
^am_co_gr_001_20_Name^,^Guardian^
^am_co_gr_001_20_Description^,^Achieved level 20^
^am_co_gr_001_20_condition_0^,^Achieved level 20^
^am_co_gr_001_30_Name^,^I let me protect you^
^am_co_gr_001_30_Description^,^Level 30 achievement^
^am_co_gr_001_30_condition_0^,^Level 30 achievement^
^am_co_gr_001_40_Name^,^Rewarding level up^
^am_co_gr_001_40_Description^,^Achieved level 40^
^am_co_gr_001_40_condition_0^,^Achieved level 40^
^am_co_mo_008_10_Name^,^Main^
^am_co_mo_008_10_Description^,^Get 10 gold with drop^
^am_co_mo_008_10_condition_0^,^Acquired Gold^
^am_co_mo_008_50_Name^,^Mote Collective Taesan^
^am_co_mo_008_50_Description^,^Get 50 gold with drop^
^am_co_mo_008_50_condition_0^,^Acquired Gold^
^am_co_mo_008_100_Name^,^Coin^
^am_co_mo_008_100_Description^,^100 gold acquired by drop^
^am_co_mo_008_100_condition_0^,^Acquired Gold^
^am_co_mo_009_10_Name^,^Small return^
^am_co_mo_009_10_Description^,^10 gold acquired by completing quests^
^am_co_mo_009_10_condition_0^,^Acquired Gold^
^am_co_mo_009_50_Name^,^Deserved reward^
^am_co_mo_009_50_Description^,^50 gold acquired by completing the quest^
^am_co_mo_009_50_condition_0^,^Acquired Gold^
^am_co_mo_009_100_Name^,^Give me a tribute to me^
^am_co_mo_009_100_Description^,^100 gold acquired by completing quests^
^am_co_mo_009_100_condition_0^,^Acquired Gold^
^am_co_mo_010_10_Name^,^True taste of business^
^am_co_mo_010_10_Description^,^Acquired 10 gold as a sales agency^
^am_co_mo_010_10_condition_0^,^Acquired Gold^
^am_co_mo_010_50_Name^,^Business is like this^
^am_co_mo_010_50_Description^,^50 gold as a sales agency^
^am_co_mo_010_50_condition_0^,^Acquired Gold^
^am_co_mo_010_100_Name^,^Business master^
^am_co_mo_010_100_Description^,^100 gold acquired as a sales agency^
^am_co_mo_010_100_condition_0^,^Acquired Gold^
^am_co_mo_016_50_Name^,^Joy of savings^
^am_co_mo_016_50_Description^,^50 gold^
^am_co_mo_016_50_condition_0^,^Holding gold^
^am_co_mo_016_100_Name^,^Saving king^
^am_co_mo_016_100_Description^,^100 gold^
^am_co_mo_016_100_condition_0^,^Holding gold^
^am_co_mo_013_10_Name^,^Shopping is fun^
^am_co_mo_013_10_Description^,^10 gold is used as an item purchase at the store^
^am_co_mo_013_10_condition_0^,^Used gold^
^am_co_mo_013_50_Name^,^Prisoner^
^am_co_mo_013_50_Description^,^Using 50 gold as an item purchase at the store^
^am_co_mo_013_50_condition_0^,^Used gold^
^am_co_mo_013_100_Name^,^Those who go to the store^
^am_co_mo_013_100_Description^,^Using 100 gold as an item purchase at the store^
^am_co_mo_013_100_condition_0^,^Used gold^
^am_co_mo_026_100_Name^,^Elun is really cool^
^am_co_mo_026_100_Description^,^100 Elune use^
^am_co_mo_026_100_condition_0^,^Use Elun Number^
^am_co_mo_026_1000_Name^,^Elun's Guardian^
^am_co_mo_026_1000_Description^,^Use 1000 Ellun^
^am_co_mo_026_1000_condition_0^,^Use Elun Number^
^am_co_ac_019_100_Name^,^Introduction to a trader^
^am_co_ac_019_100_Description^,^Item 100 sales using sales agency^
^am_co_ac_019_100_condition_0^,^Item sales number^
^am_co_ac_019_500_Name^,^Sales^
^am_co_ac_019_500_Description^,^Sale 500 items using sales agency^
^am_co_ac_019_500_condition_0^,^Item sales number^
^am_co_ac_019_1000_Name^,^Continental^
^am_co_ac_019_1000_Description^,^Sale 1000 items using sales agency^
^am_co_ac_019_1000_condition_0^,^Item sales number^
^am_co_ac_020_100_Name^,^The beginning of consumption^
^am_co_ac_020_100_Description^,^Purchase item 100 using sales agency^
^am_co_ac_020_100_condition_0^,^Number of items purchased^
^am_co_ac_020_500_Name^,^VIP Consumer^
^am_co_ac_020_500_Description^,^Purchase items 500 items using sales agency^
^am_co_ac_020_500_condition_0^,^Number of items purchased^
^am_co_ac_020_1000_Name^,^Continental^
^am_co_ac_020_1000_Description^,^Purchase items 1000 items using sales agency^
^am_co_ac_020_1000_condition_0^,^Number of items purchased^
^am_co_ac_025_100_Name^,^Hakanas public transportation^
^am_co_ac_025_100_Description^,^Use Portal 100 times^
^am_co_ac_025_100_condition_0^,^Number of portals^
^am_co_ac_025_500_Name^,^Human portal^
^am_co_ac_025_500_Description^,^Use portal 500 times^
^am_co_ac_025_500_condition_0^,^Number of portals^
^am_co_ac_027_7_Name^,^Big and beautiful warehouse^
^am_co_ac_027_7_Description^,^Warehouse slot 7 line expansion^
^am_co_ac_027_7_condition_0^,^Warehouse slot expansion^
^am_co_ac_030_100_Name^,^For 100 days^
^am_co_ac_030_100_Description^,^100 days cumulative access^
^am_co_ac_030_100_condition_0^,^Cumulative access date^
^am_co_ac_030_365_Name^,^already one year^
^am_co_ac_030_365_Description^,^365 days cumulative access^
^am_co_ac_030_365_condition_0^,^Cumulative access date^
^am_co_ac_031_10_Name^,^I came again without dying^
^am_co_ac_031_10_Description^,^Death No 10^
^am_co_ac_031_10_condition_0^,^Death^
^am_co_ac_031_100_Name^,^zombie^
^am_co_ac_031_100_Description^,^Death 100 times^
^am_co_ac_031_100_condition_0^,^Death^
^am_co_ac_031_200_Name^,^Immortal^
^am_co_ac_031_200_Description^,^200 times^
^am_co_ac_031_200_condition_0^,^Death^
^am_fe_ga_033_50_Name^,^Fellow^
^am_fe_ga_033_50_Description^,^Regardless of the rating^
^am_fe_ga_033_50_condition_0^,^Success to tame^
^am_fe_ga_033_100_Name^,^Fellow Master^
^am_fe_ga_033_100_Description^,^Regardless of the grade 300 successes to tame all fellows^
^am_fe_ga_033_100_condition_0^,^Success to tame^
^am_fe_ga_034_30_Name^,^General Fellow Lover^
^am_fe_ga_034_30_Description^,^Success 30 times to tame general fellows^
^am_fe_ga_034_30_condition_0^,^Success to tame^
^am_fe_ga_034_60_Name^,^General Fellow Collectors^
^am_fe_ga_034_60_Description^,^Success 200 times to tame general fellows^
^am_fe_ga_034_60_condition_0^,^Success to tame^
