t_key,t_korean
^WE0_001_5_00001_name^,^Awakened Empire Sword^
^WE4_002_5_00001_name^,^Awakened Empire Dagger^
^WE6_003_5_00001_name^,^Awakened Empire Staff^
^WE1_004_5_00001_name^,^Awakened Empire GreatSword^
^WE5_005_5_00001_name^,^Awakened Empire Scepter^
^WE7_006_5_00001_name^,^Awakened Empire Bow^
^WE9_006_5_00001_name^,^Awakened Empire Crossbow^
^WE8_007_5_00001_name^,^Awakened Empire Lance^
^WE11_008_5_00001_name^,^Awakened Empire Wand^
^awakdivinewp1_name^,^Blessing of the God^
^awakdivinewp1_description_1^,^Successful attacks have a 0.5% chance to trigger Blessing of the God, making every hit increase your attack by 7% for 20 seconds. [Stacks up to 10 times]^
^awakdivinewp2_name^,^Blessing of the God^
^awakdivinewp2_description_1^,^Successful attacks have a 1% chance to trigger Blessing of the God, making every hit increase your attack by 7% for 20 seconds. [Stacks up to 10 times]^
^awakdivinewplink1_name^,^Blessing of the God^
^awakdivinewplink2_name^,^Blessing of the God [link]^
^AC_A_001_00001_name^,^Awakened Empire Ring I^
^awakdivineri1_description_1^,^Successful attacks have a 1% chance to deal 80% dmg/s for 10 seconds.^
^AC_A_001_00002_name^,^Awakened Empire Ring II^
^awakdivineri2_description_1^,^Successful attacks have a 1% chance to heal 10% hp/s for 10 seconds.^
^AC_A_001_00003_name^,^Awakened Empire Necklace^
^awakdivinene_description_1^,^Successful attacks have a 1% chance to trigger GodMode, making every hit reduce your cooldown by 2% for 7 seconds. [Stacks up to 20 times and bypass cooldown limit]^
^SetAll_Jew_div_01_name^,^Awakened Empire Jewelry^
^MaxSkillTermDecreaseMult^,^Cooldown limit break^
^AR0_009_1_00001_name^,^Awakened Empire Stalwart Helm^
^AR0_009_2_00001_name^,^Awakened Empire Stalwart Pauldron^
^AR0_009_3_00001_name^,^Awakened Empire Stalwart Heavy Armor^
^AR0_009_4_00001_name^,^Awakened Empire Stalwart Gloves^
^AR0_009_5_00001_name^,^Awakened Empire Stalwart Boots^
^AR1_009_1_00001_name^,^Awakened Empire Brutal Helm^
^AR1_009_2_00001_name^,^Awakened Empire Brutal Pauldron^
^AR1_009_3_00001_name^,^Awakened Empire Brutal Heavy Armor^
^AR1_009_4_00001_name^,^Awakened Empire Brutal Gloves^
^AR1_009_5_00001_name^,^Awakened Empire Brutal Boots^
^AR3_009_1_00001_name^,^Awakened Empire Veiled Helm^
^AR3_009_2_00001_name^,^Awakened Empire Veiled Pauldron^
^AR3_009_3_00001_name^,^Awakened Empire Veiled Light Armor^
^AR3_009_4_00001_name^,^Awakened Empire Veiled Gloves^
^AR3_009_5_00001_name^,^Awakened Empire Veiled Boots^
