t_key,t_eng,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^wr_Shoulderatk_buff_1_name^,^기절^,^^,^^,^Stun^,^^,^^
^wr_Shoulderatk_buff_1_description_1^,^충돌^,^^,^^,^Prone to collisions.^,^^,^^
^wr_Shoulderatk_buff_1_description_2^,^충돌^,^^,^^,^Prone to collisions.^,^^,^^
^wr_Shoulderatk_buff_1_description_3^,^충돌^,^^,^^,^Prone to collisions.^,^^,^^
^wr_Shoulderatk_buff_1_description_4^,^충돌^,^^,^^,^Prone to collisions.^,^^,^^
^wr_Shoulderatk_buff_1_description_5^,^충돌^,^^,^^,^Prone to collisions.^,^^,^^
^wr_innerpower_buff_1_name^,^잠재 능력^,^^,^^,^Potential^,^^,^^
^wr_courage_buff_1_name^,^용기의 외침^,^^,^^,^Valorous Shout^,^^,^^
^wr_indure_buff_1_name^,^버티기^,^^,^^,^Endure^,^^,^^
^wr_SwordShield_buff_1_name^,^칼날 보호막^,^^,^^,^Blade Shield^,^^,^^
^wr_deepstab_buff_1_name^,^깊은 자상^,^^,^^,^Deep Stab^,^^,^^
^wr_legattack_buff_1_name^,^발차기^,^^,^^,^Kick^,^^,^^
^wr_spiritslash_buff_1_name^,^침묵^,^^,^^,^Silence^,^^,^^
^wr_spiritslash_buff_1_description_1^,^캐스팅 스킬 사용 불가능^,^^,^^,^Unable to cast.^,^^,^^
^wr_spiritslash_buff_1_description_2^,^캐스팅 스킬 사용 불가능^,^^,^^,^Unable to cast.^,^^,^^
^wr_spiritslash_buff_1_description_3^,^캐스팅 스킬 사용 불가능^,^^,^^,^Unable to cast.^,^^,^^
^wr_spiritslash_buff_1_description_4^,^캐스팅 스킬 사용 불가능^,^^,^^,^Unable to cast.^,^^,^^
^wr_spiritslash_buff_1_description_5^,^캐스팅 스킬 사용 불가능^,^^,^^,^Unable to cast.^,^^,^^
^wr_swdwind_buff_1_name^,^검기 회오리^,^^,^^,^Whirlwind^,^^,^^
^wr_earthdevide_buff_1_name^,^대지 폭발^,^^,^^,^Earthquake^,^^,^^
^wr_earthdevide_buff_1_description_1^,^넘어진 상태^,^^,^^,^Stumbled.^,^^,^^
^wr_earthdevide_buff_1_description_2^,^넘어진 상태^,^^,^^,^Stumbled.^,^^,^^
^wr_earthdevide_buff_1_description_3^,^넘어진 상태^,^^,^^,^Stumbled.^,^^,^^
^wr_earthdevide_buff_1_description_4^,^넘어진 상태^,^^,^^,^Stumbled.^,^^,^^
^wr_earthdevide_buff_1_description_5^,^넘어진 상태^,^^,^^,^Stumbled.^,^^,^^
^wr_earthdevide_buff_1_description_6^,^넘어진 상태^,^^,^^,^Stumbled.^,^^,^^
^wr_parry_buff_1_name^,^쳐내기^,^^,^^,^Repel^,^^,^^
^wr_parry_buff_1_description_1^,^쳐내기 4회 가능^,^^,^^,^Able to parry 4 times.^,^^,^^
^wr_parry_buff_1_description_2^,^쳐내기 8회 가능^,^^,^^,^Able to parry 8 times.^,^^,^^
^wr_parry_buff_1_description_3^,^쳐내기 12회 가능^,^^,^^,^Able to parry 12 times.^,^^,^^
^wr_parry_buff_1_description_4^,^쳐내기 16회 가능^,^^,^^,^Able to parry 16 times.^,^^,^^
^wr_counteratt_buff_1_name^,^반격^,^^,^^,^Counterattack^,^^,^^
^wr_defstance_buff_1_name^,^방어 자세^,^^,^^,^Defensive Stance^,^^,^^
^wr_roar_buff_1_name^,^사자후^,^^,^^,^Lion's Roar^,^^,^^
^wr_nerveblock_buff_1_name^,^신경 차단^,^^,^^,^Nerves of Steel^,^^,^^
^wr_defup_buff_1_name^,^방어력 증가^,^^,^^,^Defense Up^,^^,^^
^wr_Shoulderpush_buff_1_name^,^밀치기^,^^,^^,^Knockback^,^^,^^
^wr_Shoulderpush_buff_1_description_1^,^밀려나 넘어진 상태^,^^,^^,^Downed.^,^^,^^
^wr_Shoulderpush_buff_1_description_2^,^밀려나 넘어진 상태^,^^,^^,^Downed.^,^^,^^
^wr_Shoulderpush_buff_1_description_3^,^밀려나 넘어진 상태^,^^,^^,^Downed.^,^^,^^
^wr_Shoulderpush_buff_1_description_4^,^밀려나 넘어진 상태^,^^,^^,^Downed.^,^^,^^
^tf_transparency_buff_1_name^,^투명화^,^^,^^,^Make Transparent^,^^,^^
^tf_transparency_buff_1_description_1^,^투명화 상태. 적에게 다가갈 수록 발각될 확률이 높아진다^,^^,^^,^Invisible. Higher chance of being detected when closer to enemies.^,^^,^^
^tf_transparency_buff_1_description_2^,^투명화 상태. 적에게 다가갈 수록 발각될 확률이 높아진다^,^^,^^,^Invisible. Higher chance of being detected when closer to enemies.^,^^,^^
^tf_transparency_buff_1_description_3^,^투명화 상태. 적에게 다가갈 수록 발각될 확률이 높아진다^,^^,^^,^Invisible. Higher chance of being detected when closer to enemies.^,^^,^^
^tf_transparency_buff_1_description_4^,^투명화 상태. 적에게 다가갈 수록 발각될 확률이 높아진다^,^^,^^,^Invisible. Higher chance of being detected when closer to enemies.^,^^,^^
^tf_transparency_buff_1_description_5^,^투명화 상태. 적에게 다가갈 수록 발각될 확률이 높아진다^,^^,^^,^Invisible. Higher chance of being detected when closer to enemies.^,^^,^^
^tf_flash_buff_1_name^,^섬광격^,^^,^^,^Flash Attack^,^^,^^
^tf_bola_buff_1_name^,^볼라 던지기^,^^,^^,^Bola Toss^,^^,^^
^tf_bola01_buff_1_name^,^볼라 던지기^,^^,^^,^Bola Toss^,^^,^^
^tf_backhead_buff_1_name^,^기절^,^^,^^,^Stun^,^^,^^
^tf_woundinflict_buff_1_name^,^상처 입히기^,^^,^^,^Wounded^,^^,^^
^tf_smokebomb_buff_1_name^,^연막탄^,^^,^^,^Smoke Bomb^,^^,^^
^tf_bodyblow_buff_1_name^,^신체 강타^,^^,^^,^Body Slammed^,^^,^^
^tf_bodyblow_buff_1_description_1^,^회복 스킬 및 회복 아이템 효과 무효 상태^,^^,^^,^Cannot be healed with skills or items.^,^^,^^
^tf_bodyblow_buff_1_description_2^,^회복 스킬 및 회복 아이템 효과 무효 상태^,^^,^^,^Cannot be healed with skills or items.^,^^,^^
^tf_bodyblow_buff_1_description_3^,^회복 스킬 및 회복 아이템 효과 무효 상태^,^^,^^,^Cannot be healed with skills or items.^,^^,^^
^tf_bodyblow_buff_1_description_4^,^회복 스킬 및 회복 아이템 효과 무효 상태^,^^,^^,^Cannot be healed with skills or items.^,^^,^^
^tf_bodyblow_buff_1_description_5^,^회복 스킬 및 회복 아이템 효과 무효 상태^,^^,^^,^Cannot be healed with skills or items.^,^^,^^
^tf_heartblow_buff_1_name^,^심장 치기^,^^,^^,^Blow to the Heart^,^^,^^
^tf_netthrow_buff_1_name^,^그물 던지기^,^^,^^,^Netted^,^^,^^
^tf_netthrow_buff_1_description_1^,^그물에 걸림. 행동 불능 상태.^,^^,^^,^Caught in a net. Cannot move.^,^^,^^
^tf_netthrow_buff_1_description_2^,^그물에 걸림. 행동 불능 상태.^,^^,^^,^Caught in a net. Cannot move.^,^^,^^
^tf_netthrow_buff_1_description_3^,^그물에 걸림. 행동 불능 상태.^,^^,^^,^Caught in a net. Cannot move.^,^^,^^
^tf_netthrow_buff_1_description_4^,^그물에 걸림. 행동 불능 상태.^,^^,^^,^Caught in a net. Cannot move.^,^^,^^
^tf_netthrow_buff_1_description_5^,^그물에 걸림. 행동 불능 상태.^,^^,^^,^Caught in a net. Cannot move.^,^^,^^
^tf_spinefracture_buff_1_name^,^척추 골절^,^^,^^,^Spine Fracture^,^^,^^
^tf_backattack_buff_1_name^,^넘어짐^,^^,^^,^Slipped^,^^,^^
^tf_backattack_buff_1_description_1^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_2^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_3^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_4^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_5^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_6^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_7^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
^tf_backattack_buff_1_description_8^,^밀려나서 넘어진 상태^,^^,^^,^Slipped.^,^^,^^
