t_key,t_korean
^cash_girlstyle_buff_1_name^,^Girlfriend's love star^
^cash_girlstylelink_buff_1_name^,^Girlfriend's love star^
^femaiddevy99_buff_1_name^,^Neat energy^
^fetoyowla99_buff_1_name^,^Lovely Fowion's energy^
^fetoyowlb99_buff_1_name^,^Sweet Tie's energy^
^fetoyowlc99_buff_1_name^,^Cutie Powo's energy^
^femaiddevy00_buff_1_name^,^Made Debbie's healing^
^fetoyowla00_buff_1_name^,^Lovely Foyo Healing^
^cash_stylecandylink_buff_1_name^,^Sweet memory^
^ev_foodrecoverlink_buff_1_name^,^2nd anniversary cake^
^ev_foodrecoverbuff01_buff_1_Name^,^2nd anniversary cake^
^ev_foodrecoverbuff02_buff_1_Name^,^2nd anniversary^
^fetorkai98link_buff_1_Name^,^Torkai's light^
^fetoywolf98_buff_1_name^,^Luna's energy^
^fetorkai98_buff_1_name^,^Awakening Elbring's energy^
^fetorkai01_buff_1_name^,^Awakening Elbring Booster^
^setskillgd_le6001_buff_1_name^,^Alsace's unity^
^setskillwr_le6001_buff_1_name^,^Alsace's unity^
^setskilltf_le6001_buff_1_name^,^Alsace's unity^
^setskillwz_le6001_buff_1_name^,^Alsace's unity^
^setskillpr_le6001_buff_1_name^,^Alsace's unity^
^setskillac_le6001_buff_1_name^,^Alsace's unity^
^setskillgd_le6001_buff_1_Description^,^Buff filial piety increases depending on the number of party members^
^setskillwr_le6001_buff_1_Description^,^Buff filial piety increases depending on the number of party members^
^setskilltf_le6001_buff_1_Description^,^Buff filial piety increases depending on the number of party members^
^setskillwz_le6001_buff_1_Description^,^Buff filial piety increases depending on the number of party members^
^setskillpr_le6001_buff_1_Description^,^Buff filial piety increases depending on the number of party members^
^setskillac_le6001_buff_1_Description^,^Buff filial piety increases depending on the number of party members^
^happy_birthday_02_buff_1_name^,^Happy 2nd anniversary birthday^
^femcowl99_buff_1_name^,^Mecca Fowion's energy^
^fehorsecart98_buff_1_name^,^Purple^
^fecarasha98_buff_1_name^,^Cherry Blossom Carasha JR's energy^
^fekerav99_buff_1_name^,^Cherry Blossom Kerab JR's energy^
^fedmare99_buff_1_name^,^Cherry Blossom Nightmare JR's Energy^
^fecarashalink_buff_1_name^,^Cherry blossoms^
^fekeravlink_buff_1_name^,^Cherry blossoms^
^fedmarelink_buff_1_name^,^Cherry blossoms^
^fecarashalink_buff_1_Description^,^The power of the cherry blossoms Karasha JR increases the probability of life absorption^
^fekeravlink_buff_1_Description^,^The power of the cherry blossom Kerab JR increases the breakthrough of the critical defense^
^fedmarelink_buff_1_Description^,^The power of cherry blossom nightmare JR increases the critical stroke^
^ferabinishef99_buff_1_name^,^Lavini Juice's energy^
^ferabinishef98_buff_1_name^,^Ravini Mugi's energy^
^fehalowghst99_buff_1_Name^,^Hakanas' ghost energy^
^fehalowghstlink_buff_1_Name^,^Lucky^
^fehalowghstlink_buff_1_Description^,^The luck of Hakanas ghost increases all damage^
^fecollapse99_buff_1_Name^,^Pegasus' eternal energy^
^fenighmare99_buff_1_Name^,^Nightmare's eternal energy^
^fehaion99_buff_1_Name^,^Hamion's eternal energy^
