t_key,t_korean
^mobulls02_aura_1_name^,^Revolt^
^mobulls02_aura_1_description_1^,^The sign of the rebellion increases the magic damage but the defense is reduced^
^mobulls03_aura_1_name^,^Vitray sign^
^mobulls03_aura_1_description_1^,^As a sign of betrayal physical damage increases but defense is reduced^
^morzt1_buff_1_name^,^bleeding^
^morzt1_buff_1_description_1^,^Rajat's continuous cutting is causing bleeding^
^morzt3_buff_1_name^,^Incarnation of fire^
^morzt3_buff_1_description_1^,^It is a state tHat controls the energy of fire and uses it freely^
^momupa2_buff_1_name^,^Strong shock^
^momupa2_buff_1_description_1^,^The shock of a strong blow is temporarily confused^
^momupa3_buff_1_name^,^Strong shock^
^momupa3_buff_1_description_1^,^It is temporarily confused due to the impact of a powerful step^
^momupa4_buff_1_name^,^Last resistance^
^momupa4_buff_1_description_1^,^He is in a sense of crisis in the battle and temporarily focused on the battle In case of reaction validity it will respond immediately^
^momupar1_buff_1_name^,^Strong shock^
^momupar1_buff_1_description_1^,^It is temporarily confused due to the impact of a powerful step^
^mohama3_buff_1_name^,^whirl^
^mohama3_buff_1_description_1^,^It is a state of dizziness temporarily due to a strong blow to the blunt^
^mohama4_buff_1_name^,^Last resistance^
^mohama4_buff_1_description_1^,^He is in a sense of crisis in the battle and temporarily focused on the battle In case of reaction validity it will respond immediately^
^mokas3_buff_1_name^,^Rage^
^mokas3_buff_1_description_1^,^Kasim who was dominated by anger has lost his reason and has changed^
^morg6_buff_1_name^,^Defense^
^morg6_buff_1_description_1^,^Lyga who is good at battle may be temporarily taken in dangerous situations In case of reaction validity it will respond immediately^
^momnc2_buff_1_name^,^Symbol^
^momnc2_buff_1_description_1^,^Manatsu raises the power of the temple to the one who follows him raising the inner potential of the object^
^momnc3_buff_1_name^,^stigma^
^momnc3_buff_1_description_1^,^The stigma by the light of punishment disables some of the object's attack ability^
^momnc4_buff_1_name^,^Independence^
^momnc4_buff_1_description_1^,^It is used to deceive enemies with Manatsu's tactics^
^momjm1_buff_1_name^,^Ignition^
^momjm1_buff_1_description_1^,^The strong explosive power of the meteorite temporarily affects the damage^
^momip1_buff_1_name^,^freezing^
^momip1_buff_1_description_1^,^The strong ices of ice pillars temporarily affect the damage^
^momta1_aura_1_name^,^Cold energy^
^momta1_aura_1_description_1^,^The cold energy caused by ice pillars has reduced physical ability^
^mobm1_buff_1_name^,^faint^
^mobm1_buff_1_description_1^,^It is temporarily stunned by a heavy tool^
^mobm2_buff_1_name^,^Uncomfortable energy^
^mobm2_buff_1_description_1^,^Suspicious liquids bursting out of the flask feel uncomfortable^
^moshm2_buff_1_name^,^Drunkenness^
^moshm2_buff_1_description_1^,^Schuma's improvement has increased due to the right stitching^
^moyrs1_buff_1_name^,^Armor damage^
^moyrs1_buff_1_description_1^,^Due to difficulty the Armor is temporarily weak^
^moyrs3_buff_1_name^,^Calm^
^moyrs3_buff_1_description_1^,^Jeritz calmly aims to explore the enemy's gap and attack In case of reaction validity it will respond immediately^
^moyrs8_buff_1_name^,^Shock^
^moyrs8_buff_1_description_1^,^It is shocked by a strong blow^
^moruinbow1_buff_1_name^,^Sand dust^
^moruinbow1_buff_1_description_1^,^The effects of suspicious sand dust cause additional damage^
^mosin1_buff_1_name^,^Death^
^mosin1_buff_1_description_1^,^Cynthia attacks the remaining subjects more effectively^
^mosin1_buff_1_description_2^,^Cynthia attacks the remaining subjects more effectively^
^mosin6_buff_1_name^,^Strong shock^
^mosin6_buff_1_description_1^,^It is shocked by a strong blow^
^mosin6_buff_1_description_2^,^It is shocked by a strong blow^
^mosin6_buff_1_description_3^,^It is shocked by a strong blow^
^mosin6_buff_1_description_4^,^It is shocked by a strong blow^
^mosin7_buff_1_name^,^Concentration^
^mosin7_buff_1_description_1^,^The maximization of concentration has enhanced combat ability^
^mosins1_aura_1_name^,^Spicy smoke^
^mosins1_aura_1_description_1^,^It is difficult to proceed with effective battles due to the effect of spicy acting^
^mojas1_buff_1_name^,^Heat^
^mojas1_buff_1_description_1^,^The attack of the flame ball is hit which has a heat effect^
^mojas1_buff_1_description_2^,^The attack of the flame ball is hit which has a heat effect^
^mojas1_buff_1_description_3^,^The attack of the flame ball is hit which has a heat effect^
^mojas1_buff_1_description_4^,^The attack of the flame ball is hit which has a heat effect^
^mojas1_buff_1_description_5^,^The attack of the flame ball is hit which has a heat effect^
^mojas1_buff_1_description_6^,^The attack of the flame ball is hit which has a heat effect^
^mojas3_buff_1_name^,^chill^
^mojas3_buff_1_description_1^,^The attack of the eye is hit which has a cold effect^
^mojas3_buff_1_description_2^,^The attack of the eye is hit which has a cold effect^
^mojas3_buff_1_description_3^,^The attack of the eye is hit which has a cold effect^
^mojas3_buff_1_description_4^,^The attack of the eye is hit which has a cold effect^
^mojas3_buff_1_description_5^,^The attack of the eye is hit which has a cold effect^
^mojas3_buff_1_description_6^,^The attack of the eye is hit which has a cold effect^
^mojas4_buff_1_name^,^frostbite^
^mojas4_buff_1_description_1^,^The effect of absolute degree has reduced physical abilities^
^mojas4_buff_1_description_2^,^The effect of absolute degree has reduced physical abilities^
^mojas4_buff_1_description_3^,^The effect of absolute degree has reduced physical abilities^
^mojas4_buff_1_description_4^,^The effect of absolute degree has reduced physical abilities^
^mojasa3_buff_2_name^,^Deep darkness^
^mojasa3_buff_2_description_1^,^The combat power falls due to the deep dark effect but it can invalidate Jason's Shining Legendary Item Box flashes^
^mojasa3_aura_2_name^,^Deep darkness^
^mojasa3_aura_2_description_1^,^The combat power falls due to the deep dark effect but it can invalidate Jason's Shining Legendary Item Box flashes^
^modw1_buff_1_name^,^Ruin language -Berserker width^
^modw1_buff_1_description_1^,^Jason is strengthened by the power of destruction^
^modw2_buff_1_name^,^Ruin Language -Guardian^
^modw2_buff_1_description_1^,^Jason is strengthened by the power of destruction^
^modw3_buff_1_name^,^Ruin Language -Assassin^
^modw3_buff_1_description_1^,^Jason is strengthened by the power of destruction^
^modw4_buff_1_name^,^Language of Doom -belief^
^modw4_buff_1_description_1^,^Jason is strengthened by the power of destruction^
^momc4_1_name^,^Strong shock^
^momc4_buff_1_description_1^,^Mercury's strong attack creates a temporary stun^
^momc4_buff_1_description_2^,^Mercury's strong attack creates a temporary stun^
^momc4_buff_1_description_3^,^Mercury's strong attack creates a temporary stun^
^momc4_buff_1_description_4^,^Mercury's strong attack creates a temporary stun^
^momc4f_1_name^,^Strong shock^
^momc4f_buff_1_description_1^,^Mercury's strong attack creates a temporary stun^
^momc4f_buff_1_description_2^,^Mercury's strong attack creates a temporary stun^
^momc4f_buff_1_description_3^,^Mercury's strong attack creates a temporary stun^
^momc4f_buff_1_description_4^,^Mercury's strong attack creates a temporary stun^
^momc5_1_name^,^Flame^
^momc5_buff_1_description_1^,^It is a state of continuous damage with burns^
^momc5_buff_1_description_2^,^It is a state of continuous damage with burns^
^momc5_buff_1_description_3^,^It is a state of continuous damage with burns^
^momc5_buff_1_description_4^,^It is a state of continuous damage with burns^
^momcf4_1_name^,^Flame^
^momcf4_buff_1_description_1^,^It is a state of continuous damage with burns^
^momcf4_buff_1_description_2^,^It is a state of continuous damage with burns^
^momcf4_buff_1_description_3^,^It is a state of continuous damage with burns^
^momcf4_buff_1_description_4^,^It is a state of continuous damage with burns^
^momcf5_1_name^,^Flame^
^momcf5_buff_1_description_1^,^It is a state of continuous damage with burns^
^momcf5_buff_1_description_2^,^It is a state of continuous damage with burns^
^momcf5_buff_1_description_3^,^It is a state of continuous damage with burns^
^momcf5_buff_1_description_4^,^It is a state of continuous damage with burns^
^momc6_1_name^,^Silent chain^
^momc6_buff_1_description_1^,^It is influenced by the silence chain^
^momc6_buff_1_description_2^,^It is influenced by the silence chain^
^momc6_buff_1_description_3^,^It is influenced by the silence chain^
^momc6_buff_1_description_4^,^It is influenced by the silence chain^
^momc7_buff_1_name^,^Black horsepower^
^momc7_buff_1_description_1^,^It is controlling the power of black horsepower^
^momc8_buff_1_name^,^Founded black horsepower^
^momc8_buff_1_description_1^,^It is completely fused with the power of black horsepower^
^momadness00_buff_1_name^,^Shout^
^momadness00_buff_1_description_1^,^Madness^
^momadness00_buff_1_description_2^,^Madness^
^momadness00_buff_1_description_3^,^Madness^
^moindarkmo00_buff_1_name^,^The roar in the dark^
^moindarkmo00_buff_1_description_1^,^Morgan is runaway^
^moindarkmo00_buff_1_description_2^,^Morgan is runaway^
^moindarkmo00_buff_1_description_3^,^Morgan is runaway^
^mobulls13_aura_1_name^,^Laher's sign^
^mobulls13_aura_1_description_1^,^I pushed out the night and became a horror immunity^
