t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^Caption_0000^,^^,^^,^너 인가? 이번 실험체가.^,^^,^^,^^
^Caption_0001^,^(컷씬 제작중)^,^(カットシーン製作中)^,^이 실험이 끝나고 나면 나는 궁극의 힘을 손에 넣게 될 것이다.^,^(Cutscene in development)^,^^,^^
^Caption_SP_0001^,^왜 고집을 부리는 것이냐?^,^なぜ意地を張っているんだ？^,^이 실험이 끝나고 나면 나는 궁극의 힘을 손에 넣게 될 것이다.^,^Why are you being so stubborn?^,^^,^^
^Caption_SP_0002^,^끝까지 말을 거역한다면, 너를 살려둘 필요가 없다.^,^最後まで逆らうと言うのであれば、貴様を生かかしておく必要なぞないぞ。^,^이제 곧 하카나스 왕국을 비롯한 모든 인간들이 내게 무뤂을 꿇게 되겠지!^,^If you refuse to submit, I'll just have to kill you.^,^^,^^
^Caption_SP_0003^,^진리의 마법사들이 구출하러 올 것이라 믿는 것인가?^,^真理の魔法師達が助けに来るとでも思っているのか？^,^음하하하.. 드디어! 드디어!^,^The Arcanum cannot save you now.^,^^,^^
^Caption_SP_0004^,^수호신룡의 파멸과 함께 왕국은 곧 역사 속으로 사라질 것이다.^,^守護神竜の消滅と共に、王国はもうすぐ歴史に幕を下ろすだろう。^,^위대한 사란트 시여! 죄송합니다. 적을 끝내 놓쳐버리고 말았습니다.^,^The Guardian Dragons will fall and Hakanas will fall with them.^,^^,^^
^Caption_SP_0005^,^적의 침입입니다. 적을 발견했지만 놓쳐버렸습니다.^,^敵が侵入しました。残念ながら見失ってしまいました。^,^뭐라고? 이런 쓸모 없는 것들..^,^We have reports of intruders in the area, but we've lost them.^,^^,^^
^Caption_SP_0006^,^뭐라고? 이런 쓸모 없는 것.^,^なんだと？この役立たずが。^,^살려.. 주.. 으으.. 윽^,^WHat? You useless imbeciles.^,^^,^^
^Caption_SP_0007^,^자비를.. 윽..^,^ご慈悲を…くぅっ。^,^쥐새끼 같은 놈.. 나를 직접 나서게 만들다니. 곧 죽여주마!^,^Please have mercy...^,^^,^^
^Caption_SP_0008^,^어떤 하룻강아지가 침입했는지 모르지만.. 희망은 없을 것이다.^,^どんな愚か者が侵入したかは知らないが、希望なぞありはしない。^,^음? 거기 웬놈이냐?^,^I don't know who has dared intrude on us, but they will pay.^,^^,^^
^Caption_SP_0009^,^^,^^,^진리의 마법사들이 나를 보냈소.^,^^,^^,^^
^Caption_SP_0010^,^진리의 마법사들이 나를 보냈소.^,^真理の魔法師達が私をここに送りました。^,^곧 꺼내주지.^,^The Arcanum sent me.^,^^,^^
^Caption_SP_0011^,^엘 제누스 종족의 생존자를 구출하라고 말이오. 그 곳에서 꺼내주겠소.^,^エル・ゼヌース種族の生き残りを救出しろってです。そこから出します。^,^^,^Rescue the survivors. We have to get them out of here!^,^^,^^
^Caption_SP_0012^,^^,^^,^^,^^,^^,^^
^Caption_SP_0013^,^생각보다 빠르군.^,^思ったより早いな。^,^^,^THat was faster than I expected.^,^^,^^
^Caption_SP_0014^,^탈옥자다! 잡아라!^,^脱走だ！逃がすな！^,^^,^The prisoners have escaped! After them!^,^^,^^
^Caption_SP_0015^,^문이 뚫리기 전에 서둘러야 해!^,^急げ！やつらが扉を壊す前に…！^,^^,^The door won't hold. Move!^,^^,^^
^Caption_Sf_0_1_0005_01^,^정령의 숲에는 오래전 마를렌족이 건설한 지하통로가 있소.^,^精霊の森には昔、マルーネ族が建設した地下通路があります。^,^^,^There is an old underground passage past the Shimmerwood.^,^^,^^
^Caption_Sf_0_1_0005_02^,^하카나스로 가기 위해서는 반드시 그 곳을 확보해야 하오.#^,^ハカナスに行くには必ずそこを確保しないといけない。^,^^,^If we can make it through the ruins, it should take us to Hakanas.^,^^,^^
^Caption_Sf_0_1_0005_03^,^하카나스로 가서 국왕폐하께 라니아 공주님의 소식을 전해주시겠소?^,^ハカナスに戻り国王陛下にラニア姫のことを報告してくれますか？^,^^,^Get back to the king and tell him wHat happened to Princess Lania.^,^^,^^
^Caption_Sf_0_1_0005_04^,^어서 서둘러 주시오.^,^早く！急いでください。^,^^,^Please hurry.^,^^,^^
^Caption_Sf_0_1_0012_01^,^그 지하통로에는 무시무시한 화염골렘들이 지키고 있다네.#^,^その通路は強力なマグマゴーレムが守っています。^,^^,^Emberstone golems guard the passage.^,^^,^^
^Caption_Sf_0_1_0012_02^,^그냥 갔다가는 순식간에 타버리고 말걸.^,^のこのこ出ていったら一瞬で灰にされてしまうはずだ。^,^^,^You'll be burned to death within seconds if you go in unprepared.^,^^,^^
^Caption_Sf_0_1_0012_03^,^준비를 단단히 해야 할게야.^,^準備をしっかりしないと。^,^^,^Get yourself ready.^,^^,^^
^Caption_Sf_0_1_0018_01^,^고대 유적지에는 유령들이 있어요. 형체가 없는 존재죠.#^,^古代遺跡には幽霊達がいます。実態がない存在です。^,^^,^The ruins here are crawling with spirits.^,^^,^^
^Caption_Sf_0_1_0018_02^,^보통 사람의 눈에는 유령의 모습이 전혀 보이지가 않아요.^,^普通の人の目には幽霊の姿は全く見えません。^,^^,^The living can't see or interact with them at all.^,^^,^^
^Caption_Sf_0_1_0018_03^,^하지만, 방법이 없는 것은 아니에요.#^,^でも方法がない訳ではありません。^,^^,^However, there is a way.^,^^,^^
