t_key,t_korean
^Dialog_1010000_Title^,^12,345,678 12,345,678 ninety and ninety-il yisam^
^Dialog_Answer_Common_Title_0^,^complete dialog^
^Dialog_1010001_Title^,^I Hao said Crow's Assassin Clan. Come let us escape this place.^
^Dialog_1010001_Text0^,^I Hao said Crow's Assassin Clan. Come let us escape this place.^
^Dialog_1010001_Answer_0_Text^,^to arm^
^Dialog_1010001_Answer_1_Text^,^Hit the Ice physical life^
^Dialog_1010001_Answer_2_Text^,^place where the airship^
^Dialog_1030001_Title^,^scouts Louis won^
^Dialog_1030001_Text0^,^I said to send reinforcements. You're not alone? <br> <br> articles danjangnim'll once again to send a message. Then, Hao would expect even in training troops just your issue. <br> <br> This is a very serious situation, the current Io. The <br> <br> long ago heard the sound of occasional shout from the Brage home, prepaRing them for battle gatso to being finished. <br> <br> maneuni right things to fight and even dangerous'll notice around the camp to help me? ^
^Dialog_1030001_Answer_0_Text^,^Elemental survivors of a vanished^
^Dialog_1030001_Answer_1_Text^,^threat of spores spRing town^
^Dialog_1030001_Answer_2_Text^,^Corps Accra god^
^Dialog_1030001_Answer_3_Text^,^return to its original position.^
^Dialog_1030002_Title^,^sense view^
^Dialog_1030002_Text0^,^Did you come to rescue me? Elohim, O. Thank you very much.^
^Dialog_1030002_Answer_0_Text^,^awake to the power of the tribes^
^Dialog_1030003_Title^,^Alex survived^
^Dialog_1030003_Text0^,^hear my story, Dao wanted to release this. We are trivial assassin who was the looting of mushrooms produced in all Renta. Until tHat cursed thing to appear is es.^
^Dialog_1030003_Answer_0_Text^,^The truth of the frozen ruins^
^Dialog_1030004_Title^,^wise Baglio rageul^
^Dialog_1030004_Text0^,^We meoswi living in all Renta are he is mentally ill was hanging on some fuzzy to many, itjiyo lives to escape to receive the humans of protection in place. However, one day, like the previous moren Taro return It will live in peace. ^
^Dialog_1030004_Answer_0_Text^,^Accra divine treasure chest^
^Dialog_2023002_Title^,^haberdasher food^
^Dialog_2023002_Text0^,^I have a lot of cheap stuff.^
^Dialog_2023002_Answer_0_Text^,^food stores^
^Dialog_2023002_Answer_1_Text^,^grocery store^
^Dialog_1020001_Title^,^airship captain peureni article^
^Dialog_1020001_Text0^,^Brage is clear tHat these guys who attacked our airship!
<br> <br>
My original plan was to go straight to eotneunde and Canas province, it would take the risk to save between you and the city of Saran updated.
<br> <br>
Luckily it came away the fearsome castle, a moment tHat passes through the forest of spirits bra groups've shot this airship crashed and never have a Crossbow!
<br> <br>
It's a big deal many wounded. Fast clean up a dangerous situation, and we have to fight against the wild animals around to attack. ^
^Dialog_1020002_Title^,^Croix kunjok employers Trapani gulran^
^Dialog_1020002_Text0^,^I'm repaiRing the Equipment so tHat key airship can soar into the sky again. <br> <br> cylinder engine department were, standing perfectly twisted shaft steam pipes are difficult to repair It. <br> <br> says the key Equipment would be repaired engines survive loves you not easy? ^
^Dialog_1020003_Title^,^Assassin Clan synth^
^Dialog_1020003_Text0^,^Are you recovered from the shock of the crash? I'll tell you tHat the place where. <br> <br> spirits of the forest is in the hand of the Kingdom and Canas is located in the inland surrounded by high mountains the place does not have a saguaro forest, which is now dominated by predators bra groups. <br> <br> I'm standing here on behalf of the expenses of the Crow's Assassin Clan, who danjangnim. ^
^Dialog_1020003_Answer_0_Text^,^^
^Dialog_1020004_Title^,^Elf Child^
^Dialog_1020004_Text0^,^Will you play with me?^
^Dialog_1020005_Title^,^elf woman^
^Dialog_1020005_Text0^,^hello.^
^Dialog_1020006_Title^,^fellow patron^
^Dialog_1020006_Text0^,^all fellow patron is not a thing tHat could be.^
^Dialog_1020007_Title^,^Elf Man^
^Dialog_1020007_Text0^,^Have you ever villages nearby?
To find a place to migrate ... ^
^Dialog_1020009_Title^,^research leader ruins^
^Dialog_1020009_Text0^,^Brage itdapnida a significant setback to the investigation because of. malyijyo'm still piled up like a mountain of things to investigate.^
^Dialog_1020010_Title^,^researchers^
^Dialog_1020010_Text0^,^laid the report he had written earlier where ...^
^Dialog_1020011_Title^,^Royal investigations section^
^Dialog_1020011_Text0^,^seems to be a forest of spirits still remains a lot of parts to be examined. So would not it have a strong interest in doing Canas kingdom?^
^Dialog_1010003_Title^,^airship captain^
^Dialog_1010003_Text0^,^Come on, you better hurry^
^Dialog_1020012_Title^,^Assassin Crow clan leader^
^Dialog_1020012_Text0^,^... Oh! ... I can not believe you! wade risk ohdani find me here ...
<br> <br>
Wicked Fire Golem and Brage day I had to keep this small place to prevent occupation of the gateway. I continued gatso others will need help to escape the spirits of the forest.
<br> <br>
So you're in a hurry Hao inform His Majesty tHat the news about the kingdom Rania princess. ^
^Dialog_1020013_Title^,^Allen airship crew^
^Dialog_1020013_Text0^,^You've chari the mind. How the body is okay?
<br> <br>
We've crashed in the middle of the forest spirits. This sounds like some guys who attacked the airship our shots. ^
^Dialog_1020014_Title^,^Courier Elf of the Forest^
^Dialog_1020014_Text0^,^Be careful! The surrounding woods are all surrounded by a dangerous atmosphere.'ll want to be with the Elohim bless you.^
^Dialog_1020014_Answer_0_Text^,^Back to the ruins swallowed by fire^
^Dialog_1020014_Answer_1_Text^,^Go to the frozen ruins^
^Dialog_1020014_Answer_2_Text^,^About the fire swallowed the ruins^
^Dialog_1020014_Answer_3_Text^,^About the frozen ruins^
^Dialog_1020015_Title^,^research leader ruins^
^Dialog_1020015_Text0^,^, but, Dia John saw the holy Karen went to steal it changed its mind.^
^Dialog_1020015_Answer_0_Text^,^'m interesting story.^
^Dialog_1020016_Title^,^research leader ruins^
^Dialog_1020016_Text0^,^I'm thinking more minutes.^
^Dialog_1020016_Answer_0_Text^,^holy Karen Dia^
^Dialog_1020017_Title^,^research leader ruins^
^Dialog_1020017_Text0^,^Let me came to look for Crests.^
^Dialog_1020017_Answer_0_Text^,^Here we are.^
^Dialog_1020018_Title^,^research leader ruins^
^Dialog_1020018_Text0^,^Ah! It is holy I meet Karen Dia.^
^Dialog_1020018_Answer_0_Text^,^yes.^
^Dialog_1020019_Title^,^research leader ruins^
^Dialog_1020019_Text0^,^Xiamen punish the Brage syeotdani I'm very happy.^
^Dialog_1020019_Answer_0_Text^,^holy Karen Dia.^
^Dialog_1020020_Title^,^betrayed tobeoldae circle^
^Dialog_1020020_Text0^,^bwatja return to me now, ppunyiji be punished by military law.^
^Dialog_1020020_Answer_2_Text^,^How do I'll give the Crest?^
^Dialog_1020022_Title^,^betrayed tobeoldae circle^
^Dialog_1020022_Text0^,^... it was eueuk lose. I will turn the holy Karen Dia.^
^Dialog_1020022_Answer_0_Text^,^well I thought.^
^Dialog_1020090_Title^,^meoswi like gold.^
^Dialog_1020090_Text0^,^this is I've got the most shining gold in the world! THat is anyone who andoeyo inde secret hehe hehe^
^Dialog_1020091_Title^,^Blacksmith gear Ron^
^Dialog_1020091_Text0^,^humans. Want to take a look at the weapon hand?^
^Dialog_1020092_Title^,^Canas and articles^
^Dialog_1020092_Text0^,^We will have to find out if wHat is present in the cave.^
^Dialog_1020093_Title^,^Canas dispatched soldiers and^
^Dialog_1020093_Text0^,^sir. I had'm looking for a person who can give information about the cave.^
^Dialog_1020021_Title^,^elemental spirits^
^Dialog_1020021_Text0^,^group felt another spirit in you.^
^Dialog_1020025_Title^,^Novice master warrior skills^
^Dialog_1020025_Text0^,^If you train hard everyday may not lose courage in any emergency situation? Do I need a book about you, warrior training?^
