t_key,t_koreanorg,t_jpn,t_chinese,t_korean
^dialog_1220012_Title^,^선장 윌버그^,^!!^,^^,^Captain Willburg^
^dialog_1220012_text0^,^광활한 초원이 아름답던 아크라트는 이제 옛말이지... 이제는 풀 한포기 자라는 것도 힘든 메마른 땅이 되었소.^,^!!^,^^,^Akrat with vast beautiful grasslands is long gone.... Now, it's just a barren with no life.^
^dialog_1220013_Title^,^에레만^,^!!^,^^,^Ereman^
^dialog_1220013_text0^,^불온한 무리들의 습격으로 현재 아크라트 초원에 안전한 곳은 없습니다. 때문에 여러 사람들이 고통받고 있죠.<br>교역항의 사람들을 안전한 곳으로 데려다 주는 것, 그것이 저의 역할입니다.^,^!!^,^^,^There is no safe place in Akrat plains since the attack of the rebellious party. And, many are being suffered.<br>Taking people in the Entrepot to a safe place, tHat's my duty.^
^dialog_1220013_Answer_0_Text^,^하카나스 수도성으로 떠나기^,^!!^,^^,^Leave for Hakain's Crossings^
^dialog_1220000_Title^,^항해사 말롯^,^!!^,^^,^Mate Marlott^
^dialog_1220000_text0^,^에르나님께 아크라트 초원으로 모시라는 연락을 받았습니다. 라니아 공주님의 일은 유감이지만... 엘로라 성역에서의 활약 덕분에 희망 생겼습니다.<br>아크라트까지는 제가 안전하게 모시겠습니다. 서두르시죠!^,^!!^,^^,^I was contacted by Erna. She told me to take you to Akrat Plains. I am sorry for wHat happened with princess Lania....But, we still have a hope because you did great in Ellora's Sanctuary.<br> I will escort you to Akrat. We'd better hurry!^
^dialog_1220000_Answer_0_Text^,^아크라트 초원으로 떠나기^,^!!^,^^,^To Akrat Plains^
^dialog_1220014_Title^,^선장 로시단^,^!!^,^^,^Captain Roshidan^
^dialog_1220014_text0^,^아크라트 초원은 현재 범죄자들의 습격으로 위험하다던데 꼭 가야겠소?<br>그래도 간다면 내 뱃사람의 명예를 걸고 안전하게 데려다주겠소!^,^!!^,^^,^I heard tHat it's risky to go to Akrat Plains now because of the attack of criminals. Do you really have to go? <br>If you still want to, I will take you there safe on my boatman's honor!^
^dialog_1220014_Answer_0_Text^,^아크라트 초원으로 떠나기^,^!!^,^^,^To Akrat Plains^
^dialog_1220071_Title^,^타라온^,^^,^^,^Taraon^
^dialog_1220071_text0^,^파르나 여신님의 가호가 깃든 무러미의 땅이 사악한 어둠에 잠식 당하고 말았습니다...<br>이 모든 것이 물의 성소를 지키라는 여신님의 사명을 지키지 못한 저희의 잘못입니다.<br>부디 무러미들에게 평안한 안식을 주십시오...^,^^,^^,^The land of Merumi blessed by the goddess Parna was enchroached by the evil darkness....<br>Everything is my fault. I couldn't fulfill my duty to protect the Water Altar.<br>Please, help Merumis rest in peace...^
^dialog_1220050_Title^,^섀도우 클랜 엘레나^,^^,^^,^Onyx Order Elena^
^dialog_1220050_text0^,^아크라트 초원에서 벌어지고 있는 일들의 실마리가 풀려가고 있습니다.<br>왕국의 평화를 위해서라도 모든 일의 배후는 반드시 밝혀낼 것입니다!^,^^,^^,^Evything happening in Akrat Plains is finally being worked out.<br>We will find out the underlying truth soon for the peace of this kingdom!^
^dialog_1220001_Title^,^올라얀<마을 주민>^,^^,^^,^Olayan!Villager!^
^dialog_1220001_text0^,^콜록, 콜록! 해적단들이 이렇게 판을 치고 있으니... 더 살아봐야 무엇하겠나…^,^^,^^,^Cough, Cough! Pirates are eveywhere... I don't see the meaning of life…^
^dialog_1220002_Title^,^바하<마을 주민>^,^^,^^,^Bach!Villager!^
^dialog_1220002_text0^,^으...으… 해적단이 습격하여 주민들이 두려움에 떨고 있소... 어서 빨리 해적단들이 물러나야 할 텐데…^,^^,^^,^Uh...uh… people are trembling with fear because of the attack of the pirates...I just hope they leave us soon…^
^dialog_1220003_Title^,^시람 라메트<촌장>^,^^,^^,^Siram Lamet!Village Chief!^
^dialog_1220003_text0^,^도적단이 마을의 유일한 자원인 오르 광산을 점령한 후, 마을 분위기가 어수선하다네. 마을에 머무르던 오르 광산업자들도 모두 떠나고... 이러다 모두 굶어 죽게 생겼어.<br><Br>크피르 도적단을 어서 빨리 마을에서 몰아내야 할텐데... 예언가님의 일을 정말 유감이네...^,^^,^^,^Since the bandits took over the only resource of the village, the Ore Mine, things are going out of control. All the ore mine business people left....<br><br>Khapir Bandits should be expelled as soon as possible.... I feel sorry about wHat happened with the prophet...^
^dialog_1220072_Title^,^임무 게시판<자툴란 교역항>^,^^,^^,^Quest Board!Zatulan Entrepot!^
^dialog_1220072_text0^,^해적단의 습격으로 교역항 전체가 위험한 상황입니다. 해적단 놈들이 물러서기 전까지 교역항 외부 출입은 삼가해주십시오.<br><br>자툴란 경비대^,^^,^^,^The entire Entrepot is at danger due to the attack of the pirates. Please, do not enter Entrepot until the pirates Pirates retreat.<br><br>Zatulan Guards^
^dialog_1220004_Title^,^임무 게시판<베르칸 마을>^,^^,^^,^Quest Board!Berkan Village!^
