t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^Dialog_4000000_Title^,^포^,^ポゥ^,^^,^Poe^,^^,^^
^Dialog_4000000_Text0^,^바다사나이, 이 정도 시련에 좌절할쏘냐! 
그렇다! 내가 바로 멋진 선장 포님이시다!^,^海の男たるこの俺様が、この程度の試練で挫けるか！<br>そうだ！俺様があの強くてカッコイイ船長ポゥ様だ。^,^^,^Hey sea man, is this trial frustrating you?
THat's right! I'm the handsome Captain Poe!^,^^,^^
^Dialog_4000010_Title^,^무칸^,^ムカン^,^^,^Moukan^,^^,^^
^Dialog_4000010_Text0^,^열정으로 모든 일이 해결된다면 얼마나 좋겠습니까.
모든 일에는 절차와 원칙, 순리라는 것이 있게 마련입니다.^,^情熱で全て解決できるならどれだけ楽なことか。物事には道理と手順てのがあるもんだ。^,^^,^Wouldn't it be great if passion could solve everything?
But there are procedures and rules tHat need to be followed.^,^^,^^
^Dialog_4000020_Title^,^사르가소^,^サルガソ^,^^,^Sargaso^,^^,^^
^Dialog_4000020_Text0^,^단순히 파는 게 아니야! 이건 내가 다 엄선한거라구.<br>내가 파는 마법무기들은 어디 가서 구경하기 힘들거야.^,^何でもかんでも売っている訳ではない！<br>これらは全て私が厳選した商品だ。<br>これらの武器はよそではお目にはかかれんよ。^,^^,^I'm not simply selling them! I handpicked these myself.<br>You can't find these magic weapons anywhere.^,^^,^^
^Dialog_4000030_Title^,^조디^,^ジョディー^,^^,^Jody^,^^,^^
^Dialog_4000030_Text0^,^남자라면 응당 약자의 부름에 응해야 하는 법!
불의를 보고 지나치는 것은 남자가 할 일이 못 되지요.^,^男なら同然、弱い者を助けろ！
義を見てせざるは勇無きなり！男がすべきことではない！^,^^,^If you're a man, you have to answer the call of the weak!
A man should never pass by injustice!^,^^,^^
^Dialog_4000040_Title^,^앤디^,^アンディ^,^^,^Andy^,^^,^^
