t_key,t_korean
^Dialog_1^,^Ili Samsamsa Five Yukchil Palm Three Days Three Days Three Days^
^dialog_9015001_title^,^Answer^
^dialog_9015001_text0^,^Is it a new human being? <br> <br> A human who wants to enter the lake of life must be qualified You can't get anything even if you come in <br> <br> Remember that this is the land of the Lord of Para^
^dialog_9015001_answer_0_text^,^I grasped the situation Let's go back to the village^
^dialog_9015002_title^,^The reason why the Armi closed the lake^
^dialog_9015002_text0^,^what? Why did the Armi closed the lake? How do I know that? No I solved it if I knew it! <br> <br> Really I can't help it <br> <br> Well it's because of pirates So is it unbelievable throughout humans? So you have to get rid of the pirates first Why are you asking about this? <br> <br> This information collection goes to Angela over there I know you better than me^
^dialog_9015002_answer_0_text^,^It's an unintentional answer but I don't think I'll tell you anymore Let's go to Angela that Lector informed^
^dialog_9015003_title^,^The reason why the Armi closed the lake^
^dialog_9015003_text0^,^My parents died to the pirates Many people are dead other than my parents But it's just locking the door but I don't want to work in cooperation! <br> <br> Why is there a lot of problems? I don't want to care whatever they do <BR> <br> Go to the alchemist list Vale^
^dialog_9015003_answer_0_text^,^The anger seems to explode Don't touch it anymore go to the alchemist list^
^dialog_9015004_title^,^Let's solve the misunderstanding^
^dialog_9015004_text0^,^Is the misunderstanding? <br> <br> We are people who need to finish the pirate work quickly That way you make money elsewhere <br> <br>^
^dialog_9015004_text0_attach_0^,^A I'm not good at persuading the reason If you look to the left at the entrance the mercenary called Yibon Blan is very good at speaking Please ask him to persuade him^
^dialog_9015004_answer_0_text^,^Let's go to Yvon Blender^
^dialog_9015005_title^,^Let's solve the misunderstanding^
^dialog_9015005_text0^,^I don't understand the distrust of vigilante people Huh Hum ~ I don't explain the operation so it's a misunderstanding <br> <br> But it may be understood by the people of vigilante so I have to delay the time To be honest the people of vigilant only interfere with the operation^
^dialog_9015005_text0_attach_0^,^<br> <br> Please tell me that I will explain after a while I'm ready to finish the operation so I have to talk with Mr Aiden^
^dialog_9015005_answer_0_text^,^Let's go to the story to Miki Sai Bolt^
^dialog_9015006_title^,^Trust that does not come back^
