t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^dialog_1210076_Title^,^일등 항해사 길로트<오르카 호>^,^!!^,^^,^First Mate Gilotte <HST Orca>^,^^,^^
^dialog_1210076_text0^,^치메르님께 연락을 받았습니다. 라니아 공주님의 일은... 참 안타깝습니다... 하지만 분명 방법이 있을 겁니다!<br><br>엘로라의 성역까지는 제가 빠르게 모시겠습니다! 희망을 잃지 마십시오!^,^!!^,^^,^Chimer told me to expect you. I know the route to Ellora Sanctuary like the back of my hand. If you want to save the day, come with me!^,^^,^^
^dialog_1210076_answer_2_text^,^엘로라의 성역으로 떠나기^,^^,^^,^Depart for Ellora Sanctuary^,^^,^^
^dialog_1210077_Title^,^선장 다윈<하카나스 비행선 선장>^,^^,^^,^Captain Dallwynn^,^^,^^
^dialog_1210077_text0^,^나는 영예로운 하카나스 왕국 소속 비행선 선장 다윈이라고 하오.<br>왕국의 엄명을 받고 이곳에 왔다오.<br><br>아주 막중한 일이라 내 친히 이곳까지 온 것이라오. 헌데 장로 소식은 아직도 소식이 없구려.^,^^,^^,^Captain Dallwynn of the royal sky titan fleet, at your service. The king asked me to keep an eye on things. Strange tHat I haven't heard any news of the elder, though...^,^^,^^
^dialog_1210078_Title^,^일등 항해사 길로트<오르카 호>^,^^,^^,^First Mate Gilotte <HST Orca>^,^^,^^
^dialog_1210078_text0^,^엘로라의 성역을 여러 번 항해했지만, 참으로 신비하고 아름다운 곳이라는 생각이 듭니다.<br>지금은 혼돈에 물들어 그 빛이 많이 퇴색된 것 같군요. 참으로 안타까운 일입니다.^,^^,^^,^Ellora Sanctuary is as mysterious as it is beautiful. But it seems dimmer now somehow. This must be the doing of the chaos elves...^,^^,^^
^dialog_1210079_Title^,^메그노<신룡 기사단>^,^^,^^,^Magno <Dragon Knight>^,^^,^^
^dialog_1210079_text0^,^긍지높은 빛의 엘프들이 하카나스 왕국에 손을 내밀다니. 뭐, 우리 신룡기사단이 성역에 왔으니, 더 이상 걱정할 필요는 없겠지만!<br>흠흠, 특히 기사단 중에서도 실력으로 손 꼽히는 이 메그노가 왔으니 말이야! 그전에  저 징그러운 거미들만 누가 좀 눈 앞에서 치워준다면 좋겠는데 말이야...^,^^,^^,^The light elves have finally swallowed their pride and asked Hakanas for help. Only the finest for our oldest allies -- and I, Sir Magno of the Dragon Knights, am the very finest!<br><br>Now if only someone would do something about all those disgusting spiders...^,^^,^^
^dialog_1210080_Title^,^베르노르<빛의 엘프 수호대>^,^^,^^,^Bernori <Light Elf Guard>^,^^,^^
^dialog_1210080_text0^,^이런 비극이... 혼돈 엘프에게 수호대가 전멸했습니다...<br>장로님과 신석을 지키지 못하고 혼자만 살아남다니... 수호대의 휘장이 부끄럽습니다.^,^^,^^,^We were helpless to stop the chaos elves... The elder and the holy stones, both snatched from our grasp... I am proven unworthy.^,^^,^^
^dialog_1210081_Title^,^라안<빛의 엘프 수호대>^,^^,^^,^Rannis <Light Elf Guard>^,^^,^^
^dialog_1210081_text0^,^크윽..혼돈 엘프 놈들이 콘웰 장로님을..<br>놈들로부터 장로님을 지키지 못한 제 불찰입니다.<br>어서 장로님을 구해야 하는데..쿨럭! 쿨럭!<br><br>(라안의 상태로 보아 움직이는 것조차 무리인듯 싶다.)^,^^,^^,^M-must... save him...<br><br>(Rannis is struggling to breathe, let alone move.)^,^^,^^
^dialog_1210082_Title^,^벨론<악어 사냥꾼>^,^^,^^,^Belon <Crocodile Hunter>^,^^,^^
^dialog_1210082_text0^,^거대 악어를 쫓아 엘프들의 성역까지 오게 됐습니다. 비록 크류엘을 잡는데 한번 실패하였지만... 언젠가는 반드시 그놈을 잡고 말겁니다.<br><br>그보다... 만나기로 했던 동료가 보이지 않아 걱정입니다. 설마 그 잔악무도한 놈이 제 동료의 목숨까지 앗아간 것은 아닐지...^,^^,^^,^I tracked my prey to Ellora Sanctuary -- Kruwel, the great crocodile. My partner was supposed to meet me here to begin the hunt, but he has yet to appear. Has Kruwel claimed yet another life?^,^^,^^
^dialog_1210083_Title^,^나르파<악어 사냥꾼 조수>^,^^,^^,^Nartha <Crocodile Hunter Assistant>^,^^,^^
^dialog_1210083_text0^,^저는 원래는 양들을 몰던 목동이었습니다. 마을에 찾아온 악어사냥꾼 벨론님을 보고 사냥꾼 일이 돈이 될까 싶어 쫓아다녔지만, 벨론님은 돈에는 전혀 관심이 없으니 답답합니다.<br>크류엘이랑 무슨 원수를 졌는지 그놈 뒷꽁무니만 쫓아다니신다니깐요!^,^^,^^,^I thought I'd learn how to make big money as a crocodile hunter, so I apprenticed myself to Belon. But all he does is chase the same damn crocodile all the time, like he's got a vendetta. I should've been a shephard, like father wanted!^,^^,^^
^dialog_1210084_Title^,^이디오스의 시체<악어 사냥꾼>^,^^,^^,^Idios's Corpse (Crocodile Hunter)^,^^,^^
^dialog_1210084_text0^,^목에 걸고있는 펜던트에 이디오스라고 적혀있다. 혈흔을 보니 죽은지 얼마 안된 것 같은 시체다.^,^^,^^,^(The pendant identifies the body as 'Idios.' The wounds on this body are fresh.)^,^^,^^
^dialog_1210085_Title^,^리베레<빛의 엘프 정찰자>^,^^,^^,^Liberre <Light Elf Scout>^,^^,^^
^dialog_1210085_text0^,^혼돈의 힘이 숲에 퍼진 이후로 인근 생명체들이 광포하게 변하기 시작했습니다.<br>저희 빛의 엘프 정찰자들은 숲을 정찰하며 변질된 숲의 생명들을 조사하고 있죠.<br><br>숲을 지키는 정령들과 요정들 역시 혼돈의 힘에 영향을 받는 것 같습니다... 빛이 사라지기 전에 혼돈의 힘을 막아야 합니다.^,^^,^^,^Chaos corrupts everything it touches. And it's not just the wildlife -- the spirits and fairies are affected, too. If we don't act soon, this chaos will snuff out the light.^,^^,^^
^dialog_1210086_Title^,^레티오<빛의 엘프 정찰자>^,^^,^^,^Retio <Light Elf Scout>^,^^,^^
^dialog_1210086_text0^,^바람이 그대를 인도하길.<br>저는 엘가덴 북서부를 통괄하는 정찰대에 속한 레티오입니다. 혼돈 엘프들은 정찰 캠프까지 운용하면서 용의 주도하게 숲을 장악하고 있습니다.<br><br>혼돈 엘프는 저희만큼 숲에 대한 이해가 높아 정찰대의 싸움은 늘 긴장의 연속이죠.^,^^,^^,^May the wind guide you. I watch over the northwest of the forest. The chaos elves have proven fierce adversaries, and their knowledge of the woods rivals even our own. I Hate to admit it, but we're in danger of being outmaneouvered here.^,^^,^^
^dialog_1210087_Title^,^콘웰<엘로라의 성역 장로>(혼돈엘프주둔지)^,^^,^^,^Corvel <Ellora Sanctuary Elder> (Chaos Elven Station)^,^^,^^
^dialog_1210087_text0^,^자네는... 누군가...^,^^,^^,^Who... are you...?^,^^,^^
^dialog_1210088_Title^,^콘웰<엘로라의 성역 장로>(신룡기사단 캠프>^,^^,^^,^Corvel <Ellora Sanctuary Elder> (Dragon Knights Camp)^,^^,^^
^dialog_1210088_text0^,^내가 제대로 방비했다면 신석을 혼돈 엘프에게 강탈당하는 불상사는 없었을텐데..<br><br>이대로 두 손 놓고 지켜본대서야 말도 안되는 일이지.<br>아직...아직 늦지 않았네.^,^^,^^,^Had I been better prepared, I could have prevented this. I will do everything I can to retrieve the holy stones. It isn't too late... not yet...^,^^,^^
^dialog_1210089_Title^,^브라이언<신룡 기사단>^,^^,^^,^Brian <Dragon Knight>^,^^,^^
^dialog_1210089_text0^,^저 앞을 가로 막고 있는 혼돈 엘프들에게 쓴 맛을 보여줘야만 합니다! 신룡 기사단의 이름으로 정의의 승리를 증명해야 합니다.<br>허나, 약삭빠른 놈들이 엘 제누스 성역에 결계를 치고, 우리의 진군을 막고 있습니다.!^,^^,^^,^The chaos elves need to be taught a lesson, and the Dragon Knights are here to do the teaching. We just need to figure out a way through the barrier at Zenus first...^,^^,^^
^dialog_1210090_Title^,^로닌<신룡 기사단>^,^^,^^,^Roan <Dragon Knight>^,^^,^^
^dialog_1210090_text0^,^엘 가덴 도시까지 당도하지 못하고 이곳에서 발이 묶여있다니, 말도 안되는 일입니다. 혼돈 엘프들의 전력이 생각보다 강력합니다.<br>그래도 장로 콘웰님의 안위가 확인되어 불행 중 다행입니다. 큰일을 해주셨습니다.^,^^,^^,^We came this far, but still fell short of Elgaden! The chaos elves caught us off-guard. At least we managed to rescue Corvel... Thank you.^,^^,^^
^dialog_1210091_Title^,^메우스<빛의 엘프>^,^^,^^,^Maius <Light Elf>^,^^,^^
^dialog_1210091_text0^,^사악한 힘이 트렌트들의 정신을 잠식했습니다. 바로 혼돈의 힘이죠... 숲의 수호자 트렌트 역시 그들의 신성한 숲을 내어줘야만 했습니다.<br><br>트렌트들을 정화시킬 방법을 찾아야 할텐데... 자연의 소리에 귀를 기울이면 반드시 해답이 있을 겁니다...^,^^,^^,^Evil has consumed the minds of the dryaths. It is against the natural order for these Guardians to turn against the forest. We must seek the wisdom of the woods if we are to purify them.^,^^,^^
^dialog_1210092_Title^,^리베레<빛의 엘프 정찰자>^,^^,^^,^Liberre <Light Elf Scout>^,^^,^^
^dialog_1210092_text0^,^혼돈의 힘이 숲에 퍼진 이후로 인근 생명체들이 광포하게 변하기 시작했습니다.<br>저희 빛의 엘프 정찰자들은 숲을 정찰하며 변질된 숲의 생명들을 조사하고 있죠.<br><br>숲을 지키는 정령들과 요정들 역시 혼돈의 힘에 영향을 받는 것 같습니다... 빛이 사라지기 전에 혼돈의 힘을 막아야 합니다.^,^^,^^,^Chaos corrupts everything it touches. And it's not just the wildlife -- the spirits and fairies are affected, too. If we don't act soon, this chaos will snuff out the light.^,^^,^^
^dialog_1210093_Title^,^스텔라<빛의 엘프 정찰자>^,^^,^^,^Stellarix <Light Elf Scout>^,^^,^^
^dialog_1210093_text0^,^숲의 가호가 함께하길. 우리의 가족이나 마찬가지인 트렌트들이 저렇게 변하다니... 마음이 편치 않군요.<br>하지만... 적들의 손아귀에 넘어간 그들을 편히 보내주는 것이 우리의 역할이겠죠. 아... 숲의 울음소리가 들리는 것 같아요.^,^^,^^,^This may seem strange to you, but many of us view the dryaths as family. Painful as it is, we have a duty to put them to rest. May Ellora keep their souls safe...^,^^,^^
