t_key,t_korean,t_jpn,t_chinese,t_eng,t_eng_2,t_eng_3
^Dialog_1040094_Title^,^Bear Hunter's corpse^,^狩人グンターの遺体^,^Dialog_1040094_Text0^,^Dialog_1040094_Text0^,^Dialog_1040094_Text0^,^Dialog_1040094_Text0^
^Dialog_1040094_Text0^,^A body tHat was violated by the bear toenail You can't find a perfect place It is already cold^,^熊の襲撃でずたずたにされた遺体。<br>どこもかしこも傷だらけだ。<ｂｒ><br>既に冷たくなっている。^,^Dialog_3050001_Title^,^Dialog_3050001_Title^,^Dialog_3050001_Title^,^Dialog_3050001_Title^
^Dialog_3050001_Title^,^Captain Black^,^船長ブラッグ?ジョー^,^Dialog_3050001_Text0^,^Dialog_3050001_Text0^,^Dialog_3050001_Text0^,^Dialog_3050001_Text0^
^Dialog_3050001_Text0^,^How are you?^,^こんにちは？^,^Dialog_3050002_Title^,^Dialog_3050002_Title^,^Dialog_3050002_Title^,^Dialog_3050002_Title^
^Dialog_3050002_Title^,^Captain^,^船長スキプス^,^Dialog_3050002_Text0^,^Dialog_3050002_Text0^,^Dialog_3050002_Text0^,^Dialog_3050002_Text0^
^Dialog_3050002_Text0^,^You can go to the land of Parna by passing through tHat beautiful boat and passing through Hakanas Are you trying to go to the mysterious land?^,^あの美しい船に乗ってハカナス大海を渡ればパルナの地に行ける！あなたもあの神秘の地に行くつもりかい？^,^Dialog_3050002_Answer_0_Text^,^Dialog_3050002_Answer_0_Text^,^Dialog_3050002_Answer_0_Text^,^Dialog_3050002_Answer_0_Text^
^Dialog_3050002_Answer_0_Text^,^Move to Parnah's land^,^パルナの地に移動^,^Dialog_1040095_Title^,^Dialog_1040095_Title^,^Dialog_1040095_Title^,^Dialog_1040095_Title^
^Dialog_1040095_Title^,^Turbulent^,^燃え盛る大地神官フレーヤ^,^Dialog_1040095_Text0^,^Dialog_1040095_Text0^,^Dialog_1040095_Text0^,^Dialog_1040095_Text0^
^Dialog_1040095_Text0^,^It is also a new mission to take care of the fellows in the turbulent land I think it's good to take it Of course if you can tame it^,^燃え盛る大地に住んでいるフェローを飼いならすのも神官たる私の役目です。<br>ここのフェローを私以上によく知っている人おそらくいないでしょう。<br>アロートの飛行最大高度はかなりの高さで、たいていの所には飛んでいけるでしょう。もちろん捕獲できればの話ですが。^,^Dialog_1040095_answer_7_text^,^Dialog_1040095_answer_7_text^,^Dialog_1040095_answer_7_text^,^Dialog_1040095_answer_7_text^
^Dialog_1040095_answer_7_text^,^Fellow and altitude^,^フェローと高度^,^Dialog_9015660_Title^,^Dialog_9015660_Title^,^Dialog_9015660_Title^,^Dialog_9015660_Title^
^Dialog_9015660_Title^,^Fellow and altitude^,^フェローと高度^,^Dialog_9015660_Text0^,^Dialog_9015660_Text0^,^Dialog_9015660_Text0^,^Dialog_9015660_Text0^
^Dialog_9015660_Text0^,^Fellows are limited to altitude tHat can fly <br> If you want to fly higher than ever before it's the most common way to tame the parent fellow The idea can fly higher than tHat arot^,^フェローは種類によってそれぞれ飛べる高度が決まっています。<br>より高い所まで飛びたいのであれば、より飛べる高度が高いフェローを捕獲する必要があります。<br>この直轄領の代表的な飛行フェローと言えばアリダとアロートですが、アロートの方がより高い所まで飛べるのです。^,^Dialog_1040096_Title^,^Dialog_1040096_Title^,^Dialog_1040096_Title^,^Dialog_1040096_Title^
^Dialog_1040096_Title^,^Series Knights Scout Tread^,^神竜騎士団偵察隊員トリード^,^Dialog_1040096_Text0^,^Dialog_1040096_Text0^,^Dialog_1040096_Text0^,^Dialog_1040096_Text0^
^Dialog_1040096_Text0^,^It is harder to spend time while observing the dragon of the storm here There are many risks in the kingdom and waiting for the enemy's attack is not right I'm going to fight right now with the dragon of the storm but it's a pity tHat I have to get an order^,^自分は火の鳥を監視しているであります！<br>王国で事件が多発しているというのに、ここで監視していなければならないのがもどかしいであります！<br>火の鳥にこちらから攻撃をしかけたいくらいですが命令を受ける立場なので仕方ないであります！^,^Dialog_1040097_Title^,^Dialog_1040097_Title^,^Dialog_1040097_Title^,^Dialog_1040097_Title^
^Dialog_1040097_Title^,^Patrol^,^巡察隊員ロセット^,^Dialog_1040097_Text0^,^Dialog_1040097_Text0^,^Dialog_1040097_Text0^,^Dialog_1040097_Text0^
^Dialog_1040097_Text0^,^I am watching the movements so tHat the firebirds here do not leave the turbulent land and advance into the kingdom If you see a little strange feeling please tell me without hesitation^,^火の鳥がこの地より王国内部に侵攻するのを防ぐため、監視を続けています。妙な気配でもあれば即座に私に報告してください。^,^Dialog_1040098_Title^,^Dialog_1040098_Title^,^Dialog_1040098_Title^,^Dialog_1040098_Title^
^Dialog_1040098_Title^,^Patrol^,^巡察魔法師ドラデン^,^Dialog_1040098_Text0^,^Dialog_1040098_Text0^,^Dialog_1040098_Text0^,^Dialog_1040098_Text0^
^Dialog_1040098_Text0^,^The dragons of the storms seem to occupy the gateway to the horses and make them their habitats Before tHat you'll have to drive tHat evil crowd as soon as possible Will you help me?^,^暴風の魔軍は守護神竜の関門地域に居座るつもりのようだ。一刻も早くあの邪悪なドラゴン達を追い出さねばならない。手を貸してくれるか？^,^Dialog_1040099_Title^,^Dialog_1040099_Title^,^Dialog_1040099_Title^,^Dialog_1040099_Title^
^Dialog_1040099_Title^,^Shinryong Knights Scout Deeron Dayros^,^神竜騎士団偵察隊員デイロス^,^Dialog_1040099_Text0^,^Dialog_1040099_Text0^,^Dialog_1040099_Text0^,^Dialog_1040099_Text0^
^Dialog_1040099_Text0^,^I was keeping the gate here with my colleagues But the dragons of the storm appeared and caught my colleagues! Although I survived my colleagues  <br> <br> The screams tHat colleagues fall from heaven are still forgotten^,^私は仲間たちとここの関門を守っていました。ところが暴風の魔軍が現れ、仲間を捕えて飛んで行ってしましました。私は無事でしたが仲間たちは…<br><br>仲間たちが空から落とされて発した叫び声を今も忘れられません。^,^Dialog_1040100_Title^,^Dialog_1040100_Title^,^Dialog_1040100_Title^,^Dialog_1040100_Title^
^Dialog_1040100_Title^,^Broken young man^,^足が折れた青年^,^Dialog_1040100_Text0^,^Dialog_1040100_Text0^,^Dialog_1040100_Text0^,^Dialog_1040100_Text0^
^Dialog_1040100_Text0^,^Uh  I almost lost my life to get a flight fellow I'm glad tHat my legs are broken^,^うう…飛行フェローを捕獲しようとして命を落とす所でした…。足が折れただけで済んだのは幸いでした…^,^Dialog_1040101_Title^,^Dialog_1040101_Title^,^Dialog_1040101_Title^,^Dialog_1040101_Title^
^Dialog_1040101_Title^,^Seran village^,^村長セルリアン^,^Dialog_1040101_Text0^,^Dialog_1040101_Text0^,^Dialog_1040101_Text0^,^Dialog_1040101_Text0^
^Dialog_1040101_Text0^,^The village is being attacked by firebirds We had no choice but to get out of the village Such a catastrophe is happening?^,^村が火の鳥に襲撃され、燃えていますじゃ。<br>わしらはとにかく逃げるしかありませんでしたのじゃ。こんな大惨事が起こるなんて…^,^Dialog_1040101_Answer_2_Text^,^Dialog_1040101_Answer_2_Text^,^Dialog_1040101_Answer_2_Text^,^Dialog_1040101_Answer_2_Text^
^Dialog_1040101_Answer_2_Text^,^The emergence of firebirds^,^火炎鳥の出現^,^Dialog_1040101_Answer_3_Text^,^Dialog_1040101_Answer_3_Text^,^Dialog_1040101_Answer_3_Text^,^Dialog_1040101_Answer_3_Text^
^Dialog_1040101_Answer_3_Text^,^Storm^,^暴風の魔軍^,^Dialog_1040102_Title^,^Dialog_1040102_Title^,^Dialog_1040102_Title^,^Dialog_1040102_Title^
^Dialog_1040102_Title^,^Xinryong Knight Zebean Cotter^,^神竜騎士ゼビア?コーター^,^Dialog_1040102_Text0^,^Dialog_1040102_Text0^,^Dialog_1040102_Text0^,^Dialog_1040102_Text0^
^Dialog_1040102_Text0^,^It is a lack of one hand due to Sarant's semi -dong but it is not a normal problem tHat happens <br> <br> The magic society of truth is pointing to the Cabel denomination as the culprit of this situation^,^サラントの暗躍でそもそも人手が足らないというのにこんなことまで起こるなんて…<br>真理の魔法師会では今回の事件の犯人はカフィン教団だと考えています。^,^Dialog_1040103_Title^,^Dialog_1040103_Title^,^Dialog_1040103_Title^,^Dialog_1040103_Title^
^Dialog_1040103_Title^,^Averis Hunting Plaque Chef Kud^,^エバリス狩猟団料理人クード^,^Dialog_1040103_Text0^,^Dialog_1040103_Text0^,^Dialog_1040103_Text0^,^Dialog_1040103_Text0^
^Dialog_1040103_Text0^,^Averis hunting plaque is the main job of hunting It's different from the mercenary fighting with people yes <br> <br> But tHat doesn't mean we don't fight with humans but ~ It's not really tHat I don't want to fight ahead^,^エバリス狩猟団は狩りをするのが仕事さ。<br>
いわゆる傭兵とはちょっと違うんだよ。<br>
俺達も人間相手の仕事を受けることがあるが、そういう時は現場に行っても極力戦わないで戦ってるように見せかけてにごすんだ。^,^Dialog_1040104_Title^,^Dialog_1040104_Title^,^Dialog_1040104_Title^,^Dialog_1040104_Title^
^Dialog_1040104_Title^,^Averis Hunting Plaque Staff^,^エバリス狩猟団参謀レジス^,^Dialog_1040104_Text0^,^Dialog_1040104_Text0^,^Dialog_1040104_Text0^,^Dialog_1040104_Text0^
^Dialog_1040104_Text0^,^My head is stiff again?Since I found a goldball maybe?? Well if you still find more gold it's dizzy ~^,^う～む、まだ頭痛がする…<br>呑んだ翌朝はもう呑むまいと思いつつ、夜は呑んでしまうという…^,^Dialog_1040105_Title^,^Dialog_1040105_Title^,^Dialog_1040105_Title^,^Dialog_1040105_Title^
^Dialog_1040105_Title^,^Averis Hunting Plaque Boss Chaser^,^エバリス狩猟団団長チェイサー^,^Dialog_1040105_Text0^,^Dialog_1040105_Text0^,^Dialog_1040105_Text0^,^Dialog_1040105_Text0^
^Dialog_1040105_Text0^,^After all it's hard to work with the Knights WHat the hell is the followers  <br> <br> The best thing is the pioneeRing day When you open a new village you have to organize the surrounding animals but it's very salty It's just good because it also calls us periodically^,^いつものことだが騎士団からの依頼は割に合わんのだよな。<br>カフィン教団の連中は何をやらかそうとしてんだか。<br>一番儲かるのは新地開拓関連の仕事なんだけどな。<br>予定地にいる動物を追い出す仕事は俺達にうってつけなんだけどなー。^,^Dialog_1040106_Title^,^Dialog_1040106_Title^,^Dialog_1040106_Title^,^Dialog_1040106_Title^
^Dialog_1040106_Title^,^Unicorn Manager Unica^,^ユニコーン管理人ユニカ^,^Dialog_1040106_Text0^,^Dialog_1040106_Text0^,^Dialog_1040106_Text0^,^Dialog_1040106_Text0^
^Dialog_1040106_Text0^,^The unicorn here was born with the efforts of the wizards It was finished with a horn tHat caused the power of light half permanently to the body of the horse <br> <br> Some people say it's a fake unicorn but the unicorns here are another life created by effort The remaining task is to give a stronger power of light^,^ここにいるユニコーンは魔法師達の努力で誕生しました。馬の体に半永久的に光の力が発生する角を取り付けて完成されました。 
<br><br>
偽物のユニコーンだと言う人もいるけど、ここにいるユニコーン達は努力によって誕生したもう一つの生命体です。残りの課題はもっと強い光の力を発することです。^,^Dialog_1040106_Answer_2_Text^,^Dialog_1040106_Answer_2_Text^,^Dialog_1040106_Answer_2_Text^,^Dialog_1040106_Answer_2_Text^
^Dialog_1040106_Answer_2_Text^,^Unicorn Food Shop^,^ユニコーン餌商店^,^Dialog_3050801_Title^,^Dialog_3050801_Title^,^Dialog_3050801_Title^,^Dialog_3050801_Title^
^Dialog_3050801_Title^,^Portal mobile company Ans zone^,^ポータル移動者アンスゾン^,^Dialog_3050801_Text0^,^Dialog_3050801_Text0^,^Dialog_3050801_Text0^,^Dialog_3050801_Text0^
^Dialog_3050801_Text0^,^I am in charge of moving around the area around Hakanas Water Castle If you want to use the portal tell me^,^私はハカナス首都城周辺地域を早く移動させてくれる仕事をしています。ポータルを利用したいなら、私に話しかけてください。^,^Dialog_3050801_Answer_0_Text^,^Dialog_3050801_Answer_0_Text^,^Dialog_3050801_Answer_0_Text^,^Dialog_3050801_Answer_0_Text^
^Dialog_3050801_Answer_0_Text^,^Moving portal^,^ポータル移動する^,^Dialog_3050802_Title^,^Dialog_3050802_Title^,^Dialog_3050802_Title^,^Dialog_3050802_Title^
^Dialog_3050802_Title^,^Portal Assistant Lagrance^,^ポータルヘルパーラグランス^,^Dialog_3050802_Text0^,^Dialog_3050802_Text0^,^Dialog_3050802_Text0^,^Dialog_3050802_Text0^
^Dialog_3050802_Text0^,^The portal moving device allows you to move quickly anywhere in the continent Isn't it amazing? If you have a place you want to go use the portal movement device^,^ポータル移動装置を使えば大陸のどこにでも一瞬で移動できます。<br>これって本当に凄くないですか？<br>行きたい場所があれば、ポータル移動装置をお使いください。<br>もちろん、一回でも行ったことがある所にしか行けないって事はご存知ですよね？^,^Dialog_3050802_Answer_7_Text^,^Dialog_3050802_Answer_7_Text^,^Dialog_3050802_Answer_7_Text^,^Dialog_3050802_Answer_7_Text^
^Dialog_3050802_Answer_7_Text^,^Moving portal^,^ポータル移動する^,^Dialog_3050802_Answer_10_Text^,^Dialog_3050802_Answer_10_Text^,^Dialog_3050802_Answer_10_Text^,^Dialog_3050802_Answer_10_Text^
^Dialog_3050802_Answer_10_Text^,^How to move to another area^,^他の地域に移動する方法^,^Dialog_3050802_Answer_11_Text^,^Dialog_3050802_Answer_11_Text^,^Dialog_3050802_Answer_11_Text^,^Dialog_3050802_Answer_11_Text^
^Dialog_3050802_Answer_11_Text^,^Advanced portal and general portal^,^上級ポータルと一般ポータル^,^Dialog_3050803_Title^,^Dialog_3050803_Title^,^Dialog_3050803_Title^,^Dialog_3050803_Title^
^Dialog_3050803_Title^,^Portal^,^ポータル移動者クロバン^,^Dialog_3050803_Text0^,^Dialog_3050803_Text0^,^Dialog_3050803_Text0^,^Dialog_3050803_Text0^
^Dialog_3050803_Text0^,^Here in the Sanctuary the mobile portal is installed for the convenience of believers Would you like to use the portal?^,^ここエローラの聖所には信者の便宜のために移動ポータルが設置されています。ポータルを利用しますか?^,^Dialog_3050803_Answer_0_Text^,^Dialog_3050803_Answer_0_Text^,^Dialog_3050803_Answer_0_Text^,^Dialog_3050803_Answer_0_Text^
^Dialog_3050803_Answer_0_Text^,^Moving portal^,^ポータル移動する。^,^Dialog_3050804_Title^,^Dialog_3050804_Title^,^Dialog_3050804_Title^,^Dialog_3050804_Title^
^Dialog_3050804_Title^,^Passage Watcher Daris^,^通路の監視者ダーリス^,^Dialog_3050804_Text0^,^Dialog_3050804_Text0^,^Dialog_3050804_Text0^,^Dialog_3050804_Text0^
^Dialog_3050804_Text0^,^The portal moving device can record the traveler's visit to the traveler's visit and move it quickly and easily anywhere <br> <br> Oh did you already know? I'm glad <br> It is my main mission to monitor the passage but sometimes I guide adventurers who don't know how to use the portal mobility^,^ポータル移動装置は旅人の訪問履歴を記録し、一度行ったことがある所にはどこでも簡単かつ速やかに移動できます。<br>あ、もうご存知でしたか。失礼しました。<br>通路を監視するのが私の主要任務ですが、時々ポータル移動装置の使い方を知らない旅人が来るので案内することもあります。^,^Dialog_3050804_Answer_4_Text^,^Dialog_3050804_Answer_4_Text^,^Dialog_3050804_Answer_4_Text^,^Dialog_3050804_Answer_4_Text^
^Dialog_3050804_Answer_4_Text^,^Moving portal^,^ポータル移動する^,^Dialog_3050804_Answer_1_Text^,^Dialog_3050804_Answer_1_Text^,^Dialog_3050804_Answer_1_Text^,^Dialog_3050804_Answer_1_Text^
^Dialog_3050804_Answer_1_Text^,^Ready^,^準備ができました。^,^Dialog_3050805_Title^,^Dialog_3050805_Title^,^Dialog_3050805_Title^,^Dialog_3050805_Title^
^Dialog_3050805_Title^,^Portal mobile company Draypool^,^ポータル移動者ドレイフル^,^Dialog_3050805_Text0^,^Dialog_3050805_Text0^,^Dialog_3050805_Text0^,^Dialog_3050805_Text0^
^Dialog_3050805_Text0^,^I am in charge of moving around the area around Hakanas Water Castle If you want to use the portal tell me^,^私はハカナス首都上周辺地域のいたるところに、瞬時に移動できるよう仕事をしています。ポータル移動装置を使いたいなら、私にご相談ください。^,^Dialog_3050805_Answer_0_Text^,^Dialog_3050805_Answer_0_Text^,^Dialog_3050805_Answer_0_Text^,^Dialog_3050805_Answer_0_Text^
^Dialog_3050805_Answer_0_Text^,^Moving portal^,^ポータル移動する^,^Dialog_2030401_Title^,^Dialog_2030401_Title^,^Dialog_2030401_Title^,^Dialog_2030401_Title^
^Dialog_2030401_Title^,^Priest Skill Masters^,^プリーストスキルマスター スエイン^,^Dialog_2030401_Text0^,^Dialog_2030401_Text0^,^Dialog_2030401_Text0^,^Dialog_2030401_Text0^
^Dialog_2030401_Text0^,^Priest is fundamental to the power of the goddess Elora Let's keep the world together until the goddess appears before us someday <br> <br> WHat do you want to teach about?^,^プリーストは女神エロラーの力に基づいています。女神様がいつか、また私達の前に姿を現すその日まで、一緒に世界を守っていきましょう。
<br><br>
何について教えを求めていますか？^,^Dialog_2030401_Answer_0_Text^,^Dialog_2030401_Answer_0_Text^,^Dialog_2030401_Answer_0_Text^,^Dialog_2030401_Answer_0_Text^
^Dialog_2030401_Answer_0_Text^,^Learning Priest Skill^,^プリーストスキル習得^,^Dialog_2030402_Title^,^Dialog_2030402_Title^,^Dialog_2030402_Title^,^Dialog_2030402_Title^
^Dialog_2030402_Title^,^Berdo^,^ベルド^,^Dialog_2030402_Text0^,^Dialog_2030402_Text0^,^Dialog_2030402_Text0^,^Dialog_2030402_Text0^
^Dialog_2030402_Text0^,^Standing in the fight site should be forgotten Fear has a bad effect on everything and it doesn't add a bit to victory WHat should not be mistaken is tHat fear and tension are different You can't win unless you're afraid tHat you're not afraid <br> You're not alone Consider tHat you are with the fellow Even in the worst situation even if a colleague forses you the fellows are always with you^,^戦場に出ると恐怖などは忘れるべきです。恐れは全てに悪い影響を与えるだけで、勝利には少しも役に立ちません。間違えないことは恐れと緊張感は異なるっていうことです。恐れないといても緊張すらしないなら勝てません。<br>あなたは一人ではありません。フェローと一緒だことを常にお考えください。一番最悪の状況でも仲間があなたを捨てても、フェローはいつもあなたと一緒にいます。^,^Dialog_2030402_Answer_8_Text^,^Dialog_2030402_Answer_8_Text^,^Dialog_2030402_Answer_8_Text^,^Dialog_2030402_Answer_8_Text^
^Dialog_2030402_Answer_8_Text^,^About elite fellows^,^精鋭フェローについて^,^Dialog_2030402_Answer_10_Text^,^Dialog_2030402_Answer_10_Text^,^Dialog_2030402_Answer_10_Text^,^Dialog_2030402_Answer_10_Text^
^Dialog_2030402_Answer_10_Text^,^Chakai's power^,^チャカイの力^,^Dialog_2030402_Answer_11_Text^,^Dialog_2030402_Answer_11_Text^,^Dialog_2030402_Answer_11_Text^,^Dialog_2030402_Answer_11_Text^
^Dialog_2030402_Answer_11_Text^,^The difference between the window and the Crossbow^,^槍とボーガンの違い^,^Dialog_2030403_Title^,^Dialog_2030403_Title^,^Dialog_2030403_Title^,^Dialog_2030403_Title^
^Dialog_2030403_Title^,^Tito^,^ディード^,^Dialog_2030403_Text0^,^Dialog_2030403_Text0^,^Dialog_2030403_Text0^,^Dialog_2030403_Text0^
^Dialog_2030403_Text0^,^Nature is with nature Forget the grace of nature and confront those who destroy the law <br> <br> If you need it I will teach me^,^ネーチャーは自然と共に歩く者。自然の恩恵を忘れて法則を破壊しようとする者どもに立ち向かってください。
<br><br>
必要な技術なら私が教えます。^,^Dialog_2030403_Answer_0_Text^,^Dialog_2030403_Answer_0_Text^,^Dialog_2030403_Answer_0_Text^,^Dialog_2030403_Answer_0_Text^
^Dialog_2030403_Answer_0_Text^,^Learning Nature Skill^,^ネーチャースキル習得^,^Dialog_2030404_Title^,^Dialog_2030404_Title^,^Dialog_2030404_Title^,^Dialog_2030404_Title^
^Dialog_2030404_Title^,^Barland^,^バグランド^,^Dialog_2030404_Text0^,^Dialog_2030404_Text0^,^Dialog_2030404_Text0^,^Dialog_2030404_Text0^
^Dialog_2030404_Text0^,^We can be said to be an artist in the dark Who can do an artistic fighting way of being deceived and critical moving quickly to doubt his eyes? <br> <br> I will teach me the skills to do tHat^,^私たちは闇の中の芸術家だともいえる。相手が自分の目を疑う程度に素早く動き、惑わせ致命傷になる一撃をくらえる芸術的戦いぶりが私達以外の誰にできるか?
<br><br>
そのためのスキルは私が教えてやる。^,^Dialog_2030404_Answer_0_Text^,^Dialog_2030404_Answer_0_Text^,^Dialog_2030404_Answer_0_Text^,^Dialog_2030404_Answer_0_Text^
^Dialog_2030404_Answer_0_Text^,^Learning Assassin Skill^,^アサシンスキル習得^,^Dialog_2030405_Title^,^Dialog_2030405_Title^,^Dialog_2030405_Title^,^Dialog_2030405_Title^
^Dialog_2030405_Title^,^argon^,^アルゴン^,^Dialog_2030405_Text0^,^Dialog_2030405_Text0^,^Dialog_2030405_Text0^,^Dialog_2030405_Text0^
^Dialog_2030405_Text0^,^It is very difficult to exercise smoothly with different things in the left hand and right hand It's even more difficult to move without blockage But if the Shield in the left hand and the Sword in the right hand begin to harmonize no one can easily knock you down^,^左右の手を連動させず、それぞれで動かすというのは凄く難しい事だ。<br>更にスムーズにとなるともっと難しいだろう。<br>だが左手に盾、右手に剣を持ち、自在に攻防できるようになれば誰もお前を倒せなくなるだろう。^,^Dialog_2030405_Answer_0_Text^,^Dialog_2030405_Answer_0_Text^,^Dialog_2030405_Answer_0_Text^,^Dialog_2030405_Answer_0_Text^
^Dialog_2030405_Answer_0_Text^,^Learning Guardian Skill^,^ガーディアンスキル習得^,^Dialog_2030406_Title^,^Dialog_2030406_Title^,^Dialog_2030406_Title^,^Dialog_2030406_Title^
^Dialog_2030406_Title^,^Elisabeth^,^エリザベート^,^Dialog_2030406_Text0^,^Dialog_2030406_Text0^,^Dialog_2030406_Text0^,^Dialog_2030406_Text0^
^Dialog_2030406_Text0^,^Priest is fundamental to the power of the goddess Elora Let's keep the world together until the goddess appears before us someday <br> <br> WHat do you want to teach about?^,^プリーストは女神エロラーの力に基づいています。女神様がいつか、また私達の前に姿を現すその日まで、一緒に世界を守っていきましょう。
<br><br>
何について教えを求めていますか？^,^Dialog_2030406_Answer_0_Text^,^Dialog_2030406_Answer_0_Text^,^Dialog_2030406_Answer_0_Text^,^Dialog_2030406_Answer_0_Text^
^Dialog_2030406_Answer_0_Text^,^Learning Priest Skill^,^プリーストスキル習得^,^Dialog_2030407_Title^,^Dialog_2030407_Title^,^Dialog_2030407_Title^,^Dialog_2030407_Title^
^Dialog_2030407_Title^,^Antonion^,^アントニオン^,^Dialog_2030407_Text0^,^Dialog_2030407_Text0^,^Dialog_2030407_Text0^,^Dialog_2030407_Text0^
^Dialog_2030407_Text0^,^Standing in the fight site should be forgotten Fear has a bad effect on everything and it doesn't add a bit to victory WHat should not be mistaken is tHat fear and tension are different You can't win unless you're afraid <br> <br> I will teach you several skills to erase fear in the fighting ground^,^戦場に出ると恐怖などは忘れるべきです。恐れは全てに悪い影響を与えるだけで、勝利には少しも役に立ちません。間違えないことは恐れと緊張感は異なるっていうことです。恐れないといても緊張すらしないなら勝てません。
<br><br>
戦場で恐れを消えさせる多様なスキルを教えてあげます。^,^Dialog_2030407_Answer_0_Text^,^Dialog_2030407_Answer_0_Text^,^Dialog_2030407_Answer_0_Text^,^Dialog_2030407_Answer_0_Text^
