t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^dialog_1100001_title^,^지휘관 바르키르^,^指揮官バルキール^,^^,^Commander Bakir^,^^,^^
^dialog_1100001_text0^,^섀도우 클랜이나 신룡기사단이나 공주님의 행방을 찾는 것이 최우선 목적이었지. 이런 불필요한 전투를 벌이기 위한 것이 아니었는데 일이 꼬이는군.<br><br>우트란 부유섬을 근거지로 삼은 공적단이라는 녀석들이 대해를 엉망진창으로 만들고 있어.^,^シャドウクランも神竜騎士団も、姫様の行方を探すのが最優先項目だった。<br>こんな所でくだらん戦闘をする為赴いた訳ではなかったのに、戦わざるを得ないだなんて複雑な心境だ。<br>ウトラン浮遊島を根城としている空賊団が大海をめちゃくちゃにしている以上、駆逐せねば。^,^^,^By the crown's command, we're working with the Onyx Order. I wanted to get this over with quickly, but raiders out of Utran aren't making our job any easier.^,^^,^^
^dialog_1100001_answer_7_text^,^대해의 위협^,^大海の脅威^,^^,^Dangers of the Sea^,^^,^^
^dialog_1100002_title^,^정찰대원 소리나^,^偵察隊員ソリーナ^,^^,^Private Sorina^,^^,^^
^dialog_1100002_text0^,^주둔지의 보급품이 약탈당했습니다.<br>공적단이 자신들을 뭐라고 우기든 이것으로 도둑 그 이상도 이하도 아니라는 것을 잘 알았습니다.^,^駐屯地の補給物資が強奪されました。<br>空賊団が自らを何と名乗ろうと、彼らは賊以外の何者でもないという事がよく分かりました。
^,^^,^More supplies are missing. I don't know how they're getting past our guards, but I'm sure the Skan Raiders are behind this!^,^^,^^
^dialog_1100003_title^,^정찰대원 젤란^,^偵察隊員ゼラン^,^^,^Private Zellan^,^^,^^
^dialog_1100003_text0^,^땅이든 하늘이든 공적단이 활개치고 있습니다.<br>어느쪽이 되었든 한쪽의 전력을 봉쇄할 수 있다면 앞으로의 싸움에 큰 도움이 될 것입니다.^,^陸も空も空賊団がやりたい放題であります！<br>陸戦部隊、空戦部隊、いずれにせよ片方でも戦力を封じればその後の戦に大きな有利となるであります！^,^^,^On the ground: raiders. In the sky: more raiders. We've got to do something about these fiends before we're overrun.^,^^,^^
^dialog_1100004_title^,^감독관 진타란^,^監督官ジンタラン^,^^,^Jinta'rahn^,^^,^^
^dialog_1100004_text0^,^손재주하면 하카나스에선 나 진타란을 빼놓을 수 없어. 날 아는 사람들은 모두 나를 건축의 대가라고 부르지. 건축이란 무엇인가? 예술이란 무엇인가?<br><br>둘이 다른 거야? 다르긴 뭐가 달라.<br>똑같지. 내가 만들면 그게 바로 예술이야.^,^建築の腕前ならハカナスではこのジンタラン様の右に出る者はおらん！<br>俺様を知る人間は皆俺様を建築の大家と呼ぶ。<br>建築とは何だ！？芸術とは何だ！？<br>二つは異なるものか！？<br>否！どちらも同じだ！<br>俺様が建てた建物、それこそが芸術だぜ！^,^^,^The stones of Hakanas whisper to me, they whisper to me. My signature is etched into the brickwork of every new building in Hakain's Crossing. I do not create mere buildings, my friend. No, I create art!^,^^,^^
^dialog_1100004_answer_6_text^,^시대를 앞선 재능^,^時代の先を行く才能^,^^,^Genius of a Generation^,^^,^^
^dialog_1100005_title^,^현장감독관 마줄란^,^現場監督官マジューラン^,^^,^Mazu'rahn^,^^,^^
^dialog_1100005_text0^,^망할 공적단 놈들 때문에 무슨 개고생인지..<br>현장 분위기를 한 번 둘러 보슈.<br><br>이게 어디 공사판이오? 개판이지.^,^くそったれ空賊団め！奴らのせいでどれだけ苦労させられていることか…<br>現場の雰囲気を見てどう思うかい?<br>こんなくそめっちゃくちゃな工事現場があるか！^,^^,^This isn't a construction site. It's a ruin-cursed mess. Damn those raiders!^,^^,^^
