t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^dialog_1210000_Title^,^파브리<진리의 마법사회>^,^^,^^,^Fabri^,^^,^^
^dialog_1210000_text0^,^처음 뵙겠습니다. 율너스님의 전갈을 가져왔습니다. 당신에게 직접 전하라는 율너스님의 신신당부가 있었죠.^,^^,^^,^Ah, it is good to meet you. I have a message for you from Yulnus. He asked me to give it to you in person.^,^^,^^
^dialog_1210000_answer_3_Text^,^무슨 일이 생긴 것입니까?^,^^,^^,^WHat happened?^,^^,^^
^dialog_1210001_Title^,^원탁의 바슈<진리의 마법사회>^,^^,^^,^Bashu^,^^,^^
^dialog_1210001_text0^,^아직 자유민의 마을에 아케론의 군주가 나타난 흔적은 찾지 못했습니다. 그들이 본격적으로 움직이기엔 이른 시기인걸까요? 두고볼 일입니다.^,^^,^^,^The Monarchs of Stygaea have not yet reached Freemen Village. Perhaps they have simply not begun their advances yet? We'll just have to wait and see.^,^^,^^
^dialog_1210001_answer_8_Text^,^원탁에 대해서 알고싶습니다.^,^^,^^,^I'd like to know more about the Arcanum.^,^^,^^
^dialog_1210001_answer_9_Text^,^아케론의 군주들은 어떤 존재들입니까?^,^^,^^,^Who are the Monarchs of Stygaea?^,^^,^^
^dialog_1210002_Title^,^젤라렘<자경단장>^,^^,^^,^Zealem^,^^,^^
^dialog_1210002_text0^,^자유민의 마을을 지키기 위해서는 강력한 힘이 필요합니다. 아케론의 군주들이 이 땅을 제어하면서 마을을 위협하는 요소들이 셀수도 없이 늘어났습니다.^,^^,^^,^We need a solid defense to keep Freemen Village safe. The Monarchs of Stygaea have been a looming threat ever since their rise to power.^,^^,^^
^dialog_1210002_answer_4_Text^,^마을에 어떤 위협 요소가 있습니까?^,^^,^^,^WHat kinds of threats are there to the village?^,^^,^^
^dialog_1210003_Title^,^블라르<자유민의 마을 촌장>^,^^,^^,^Vlaar^,^^,^^
^dialog_1210003_text0^,^살아있는 육체를 떠나 죽어버린 망자일지라도 자유의 의지를 가진 영혼들이 하나 둘 모인 것.<br>자유민의 마을은 그렇게 시작되었습니다. 이젠 외부의 위협이 우리가 지닌 의지를 앗아가려 하고 있지 뭔가요? 우린 도움이 필요합니다.^,^^,^^,^The dead still have free will. Those of us who are free of the flesh came together to found Freemen Village, but the Monarchs threaten to crush us under their terrible reign. We need help if we are to remain free.^,^^,^^
^dialog_1210003_answer_1_Text^,^망자의 세계에 마을이 있을 줄은 몰랐습니다.^,^^,^^,^I didn't expect a village in the realm of the dead.^,^^,^^
^dialog_1210003_answer_2_Text^,^자유민? 특별한 의미가 있는 것 같군요.^,^^,^^,^Freemen? I'm sure there's some meaning behind tHat.^,^^,^^
^dialog_1210004_Title^,^오일레트<어둠의 방랑자>^,^^,^^,^Ollet !Assassin Walker!^,^^,^^
^dialog_1210004_text0^,^죽음, 공포, 분노..이곳에서 느껴지는 감정의 소용돌이는 나에겐 아주 친숙하군. 자네도 느껴지나?^,^^,^^,^Death, fear, rage... The storm of emotions here seems very familiar. Do you feel it too?^,^^,^^
^dialog_1210004_answer_2_Text^,^당신의 흥미를 끄는 것이 이곳에 있습니까?^,^^,^^,^Does something here intrigue you?^,^^,^^
^dialog_1210005_Title^,^타라시오<암흑 사냥꾼>^,^^,^^,^Taracio^,^^,^^
^dialog_1210005_text0^,^전설에나 등장하던 망자의 세계를 탐사한다고해서 따라왔는데 정말 탁월한 선택이 아니었나 싶군요.<br>탐나는 사냥감이 한 둘이 아니니 말입니다.^,^^,^^,^I heard you were ventuRing into the realm of the dead, so I decided to tag along. And I'm glad I did, because there's some remarkable game to hunt here.^,^^,^^
^dialog_1210005_answer_2_Text^,^특별히 정해둔 사냥감이라도 있습니까?^,^^,^^,^WHat is it tHat you're hunting for?^,^^,^^
^dialog_1210006_Title^,^페리아<아케론 탐사대>^,^^,^^,^Peria^,^^,^^
