t_key,t_korean
^Dialog_1010000_Title^,^1.2345678901E+22^
^Dialog_Answer_Common_Title_0^,^End Conversation^
^Dialog_1010001_Title^,^I'm Crow, head of the Onyx Order. I'm getting you out of here.^
^Dialog_1010001_Text0^,^I'm Crow, head of the Onyx Order. I'm getting you out of here.^
^Dialog_1010001_Answer_0_Text^,^To Arms^
^Dialog_1010001_Answer_1_Text^,^Soul of Ice^
^Dialog_1010001_Answer_2_Text^,^Titans of the Sky^
^Dialog_1030001_Title^,^Private Louie^
^Dialog_1030001_Text0^,^You're our reinforcements? Well, I'll take what I can get...<br><br>This is the Shimmerwood. It may look nice, but it's very close to a braghin camp. With all the noise they're making, I think they're getting ready for an attack.^
^Dialog_1030001_Answer_0_Text^,^Surviving Elemental^
^Dialog_1030001_Answer_1_Text^,^Spore Spring Water Town's Crisis^
^Dialog_1030001_Answer_2_Text^,^Commander Akrashin^
^Dialog_1030001_Answer_3_Text^,^Return to Start^
^Dialog_1030001_Answer_10_Text^,^The Braghin^
^Dialog_1030001_Answer_11_Text^,^The Fairies^
^Dialog_1030002_Title^,^Elisha^
^Dialog_1030002_Text0^,^Are you here to save me? Thank Ellora!^
^Dialog_1030002_Answer_0_Text^,^Realize the race's power^
^Dialog_1030003_Title^,^Alex the Survivor^
^Dialog_1030003_Text0^,^Listen to my tale and avenge me. We were lowly assassins scavenging mushrooms in Morenta, until that cursed thing appeared...^
^Dialog_1030003_Answer_0_Text^,^Truth of the Cold Mines^
^Dialog_1030004_Title^,^Wise Bagulagul^
^Dialog_1030004_Text0^,^The mushes of Morenta had to abandon our ancestral home because of a mind disease that spread amongst us. Now we live by the grace of our human protectors, but someday we will return to our home.^
^Dialog_1030004_Answer_0_Text^,^Akrashin's Treasure Chest^
^Dialog_2020002_Title^,^Food Shopkeep^
^Dialog_2020002_Text0^,^I have lots of cheap goods.^
^Dialog_2020002_Answer_0_Text^,^Food Shop^
^Dialog_2020002_Answer_1_Text^,^General Goods^
^Dialog_1020001_Title^,^Sky Titan Captain Prengel^
