t_key,t_korean
^Dialog_1050001_Title^,^Rector Roster^
^Dialog_1050001_Text0^,^Hey! I haven't seen you before. I hope you're here to do something about those pirates. I can't work the fishery with those guys around.^
^Dialog_1050001_Text1^,^Believe me, if I could get the merumi to open the lake up again, I would. I figure they've got issues with the elder letting every stray he meets into town, but that's nothing compared to the problems these pirates are giving us.^
^Dialog_1050001_Text1_attach_0^,^<br><br>Anyway, this isn't the time to worry about the merumi. We've got pirates to worry about. If you want to help out, talk to Angela. She's got one hell of a grudge against them.^
^Dialog_1050001_answer_0_text^,^I wish I knew why the merumi closed the lake.^
^Dialog_1050002_Title^,^Nicholas Cole^
^Dialog_1050002_Text0^,^Come to share in our misery, traveler? Between the bitter cold and the ruthless pirates, it's a wonder any of us are still alive. Reedwatch isn't what it used to be. Even my son has run off to join the pirates.^
^Dialog_1050002_Text1^,^The people are Reedwatch are strong. We'll make it through this. My son has a lot of growing yet to do, but he'll be a fine citizen someday.^
^Dialog_1050003_Title^,^John Duarden^
^Dialog_1050003_Text0^,^Ain't you a sorry sight? If you plan on fighting pirates, you're gonna have to look tougher than that. Sure, they act mean, but at the end of the day they're just cowards. ^
^Dialog_1050004_Title^,^Angela Scane^
^Dialog_1050004_Text0^,^I've never seen you before. And if you've got any sense, you'll clear out of here quick as you can. The pirates show mercy to no one. My folks learned that the hard way...^
^Dialog_1050004_Text1^,^I'm sure I don't know why the merumi are giving us the cold shoulder. You ought to ask the alchemist about it. He's chock full of useless information.^
^Dialog_1050004_answer_2_text^,^Why did the merumi close the lake?^
^Dialog_1050005_Title^,^Amy Heigl^
^Dialog_1050005_Text0^,^A patron! Come in, come in. Kick your legs up and leave your worries at the door.<br><br>Please don't go! You're the first new customer I've had all week!^
^Dialog_1050005_Text1^,^I'm not exactly rolling in gold, but business is improving. It's only a matter of time before things go back to the way they used to be.^
^Dialog_1050005_answer_11_text^,^The militia doesn't seem to trust the mercenaries.^
^Dialog_1050006_Title^,^Amy Heigl^
^Dialog_1050006_Text0^,^A patron! Come in, come in. Kick your legs up and leave your worries at the door.<br><br>Please don't go! You're the first new customer I've had all week!^
^Dialog_1050006_Text1^,^I'm not exactly rolling in gold, but business is improving. It's only a matter of time before things go back to the way they used to be.^
