t_key,t_korean
^wpphdefpowplus^,^P. Def^
^CA_ST_CM_9000_Name^,^Asas Gloriosas^
^CA_ST_CM_9001_Name^,^Aura da Furia^
^CA_ST_CM_9002_Name^,^Asa Flamejante^
^CA_ST_CM_9003_Name^,^Awakened Wing^
^CA_ST_CM_9004_Name^,^Asa Desperta^
^CA_ST_CM_9005_Name^,^Ocean Wing^
^CA_ST_CM_9006_Name^,^Fire Wing^
^CA_ST_CM_9007_Name^,^Peace Wing^
^CA_ST_CM_9008_Name^,^Dark Wing^
^CA_ST_CM_9009_Name^,^Thunderbolt Wing^
^CA_ST_CM_9010_Name^,^Magy Wing^
^CA_ST_CM_9011_Name^,^Sunset Wing^
^CA_ST_CM_9012_Name^,^Blue Wing^
^CA_ST_CM_9013_Name^,^Purple Wing^
^CA_ST_CM_9014_Name^,^Aura of Power^
^CA_ST_CM_9015_Name^,^Asa Desperta [2.0]^
^CA_ST_CM_9016_Name^,^Aura East Blue^
^CA_ST_CM_9017_Name^,^Calm Aura [White]^
^CA_ST_CM_9018_Name^,^Fenix Aura^
^CA_ST_CM_9019_Name^,^Fica Frio ai!^
^CA_ST_CM_9020_Name^,^Stormtrooper Aura^
^CA_ST_CM_9021_Name^,^Aura da Furia [Azul]^
^CA_ST_CM_9022_Name^,^Safe Fire Aura^
^CA_ST_CM_9023_Name^,^Dementor Scythe^
^CA_ST_CM_9024_Name^,^Abyssal Scythe^
^CA_ST_CM_9025_Name^,^Vindictive Reaver^
^CA_ST_CM_9026_Name^,^Infused Battlescythe^
^CA_ST_CM_9027_Name^,^Reaper’s Fang^
^CA_ST_CM_9028_Name^,^Peacekeeper Razor^
^CA_ST_CM_9029_Name^,^Annihilator^
^f_ev_adelike_01_name^,^Adelik^
^f_pi_pega_003_name^,^Wiabodhi^
^f_pi_pega_004_name^,^Wiabodhi^
^f_ev_grimreaper_01_name^,^Grim Reaper^
^fejphibee97_name^,^Sopro da Morte^
^fejphibee98_name^,^Armadura Suprema^
^it_st_cm_0014_name^,^Dragon Hideout Wing^
^ev_st_cm_0720_name^,^Puff Wings^
^ev_st_cm_0719_name^,^Capa 01^
^ev_st_cm_0718_name^,^Capa 02^
^ev_st_cm_0717_name^,^Capa 03^
^ev_st_cm_0716_name^,^Capa 04^
^ca_st_cm_0699_name^,^Soluna de Ombro^
^ca_st_cm_0698_name^,^Soluna de Ombro^
^ca_st_cm_0697_name^,^Pijama Pantera(CRAFT)^
^ca_st_cm_0696_name^,^Pijama Pantera(CRAFT)^
^ca_st_cm_0680_name^,^Bandeira 01^
^ca_st_cm_0679_name^,^Bandeira 02^
^ca_st_cm_0678_name^,^Bandeira 03^
^wpphdefpowmult^,^Def. Física^
^su0_018_5_0001_name^,^Zelnaris Shield^
^CA_ST_CM_time1_Name^,^Dementor^
^CA_ST_CM_time2_Name^,^Abyssal^
^CA_ST_CM_time3_Name^,^Vindictive Reaver^
^CA_ST_CM_time4_Name^,^Infused Battlescythe^
^CA_ST_CM_time5_Name^,^Reaper’s Fang^
^CA_ST_CM_time6_Name^,^Peacekeeper Razor^
^CA_ST_CM_time7_Name^,^Annihilator^
^ev_9_1_0802_1_title^,^[Empire] Halloween [1]^
^ev_9_1_0758_title^,^[Empire] Halloween [2]^
^e_d94_skulsoldier_01_name^,^Skull Soldier^
