t_type,t_typename,t_key,t_eng
^Co^,^Common^,^E_01_0_0245_0000_Name^,^Leo^
^Co^,^Common^,^E_01_0_0245_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_0686_0000_Name^,^Eagle^
^Co^,^Common^,^E_00_0_0686_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_0083_0000_Name^,^Bear^
^Co^,^Common^,^E_00_0_0083_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_0602_0000_Name^,^Braghin Scout^
^Co^,^Common^,^E_00_0_0602_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_0704_0000_Name^,^Tempest Dragon^
^Co^,^Common^,^E_00_0_0704_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_0245_0000_Name^,^Leo^
^Co^,^Common^,^E_00_0_0245_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_0605_0000_Name^,^Braghin Pillager (for video)^
^Co^,^Common^,^E_00_0_0605_0000_NameDetail^,^^
^Co^,^Common^,^E_00_0_1100_0000_Name^,^Shadowcaster Archpriest (for video)^
^Co^,^Common^,^E_00_0_1100_0000_NameDetail^,^^
^Co^,^Common^,^E_99_0_1501_0000_Name^,^Luminous Emissary^
^Co^,^Common^,^E_99_0_1501_0000_NameDetail^,^^
^Co^,^Common^,^E_99_0_0644_0000_Name^,^Reaper^
^Co^,^Common^,^E_99_0_0644_0000_NameDetail^,^^
^Co^,^Common^,^E_99_0_0003_0000_Name^,^Karade Butcher^
^Co^,^Common^,^E_99_0_0003_0000_NameDetail^,^^
^Co^,^Common^,^E_99_0_0002_0000_Name^,^Karade Raider^
^Co^,^Common^,^E_99_0_0002_0000_NameDetail^,^^
^Co^,^Common^,^E_99_0_0004_0000_Name^,^Jason Clakey^
^Co^,^Common^,^E_99_0_0004_0000_NameDetail^,^Karrad Pirate^
^Co^,^Common^,^E_99_0_0007_0000_Name^,^Blackbreath^
^Co^,^Common^,^E_99_0_0007_0000_NameDetail^,^Tempest Dragon^
^Co^,^Common^,^E_99_0_0011_0000_Name^,^Bochepa^
^Co^,^Common^,^E_99_0_0011_0000_NameDetail^,^^
