t_type,t_typename,t_key,t_eng
^Un^,^Unused^,^SP_0_1_0000_Title^,^^
^Un^,^Unused^,^SP_0_1_0001_Title^,^To Arms^
^Un^,^Unused^,^SP_0_1_0001_RewarderDesc^,^Crow^
^Un^,^Unused^,^SP_0_1_0001_Request_Text^,^You'll need a weapon if we're going to get out of here. Check that weapon rack.^
^Un^,^Unused^,^SP_0_1_0001_Accepted_Text^,^^
^Un^,^Unused^,^SP_0_1_0001_Ongoing_Text^,^See if you can find anything useful on that weapon rack. We're going to have to fight our way out of here.^
^Un^,^Unused^,^SP_0_1_0001_Complete_Text^,^Hurry up and equip the weapon you found. We can't linger here.^
^Un^,^Unused^,^SP_0_1_0002_Title^,^Soul of Fire^
^Un^,^Unused^,^SP_0_1_0002_RewarderDesc^,^Crow^
^Un^,^Unused^,^SP_0_1_0002_Request_Text^,^That glowing crystal the princess was carrying contained the power of Zelnaris. It must be destroyed, but not before we get out of this prison... and there is an army of guards waiting to make sure that does not happen.^
^Un^,^Unused^,^SP_0_1_0002_Accepted_Text^,^That glowing crystal the princess was carrying contained the power of Zelnaris. It must be destroyed, but not before we get out of this prison... and there is an army of guards waiting to make sure that does not happen.^
^Un^,^Unused^,^SP_0_1_0002_Ongoing_Text^,^The warden, Rex, is the only one who carries the keys to the stables. We'll need those to escape.^
^Un^,^Unused^,^SP_0_1_0002_Complete_Text^,^The door is open. This is our chance to escape.^
^Un^,^Unused^,^SP_0_1_0003_Title^,^Titans of the Sky^
^Un^,^Unused^,^SP_0_1_0003_RewarderDesc^,^Crow^
^Un^,^Unused^,^SP_0_1_0003_Request_Text^,^The sky titan that brought me here should be just outside. Hurry, before we're caught!^
^Un^,^Unused^,^SP_0_1_0003_Accepted_Text^,^The sky titan that brought me here should be just outside. Hurry, before we're caught!^
^Un^,^Unused^,^SP_0_1_0003_Ongoing_Text^,^The sky titan that brought me here should be just outside. Hurry, before we're caught!^
^Un^,^Unused^,^SP_0_1_0003_Complete_Text^,^I think we're safe for now, but not for long. Get aboard the sky titan outside and we'll make for the capital.^
^Un^,^Unused^,^SP_0_1_0004_Title^,^To Arms^
^Un^,^Unused^,^SP_0_1_0004_RewarderDesc^,^Crow^
^Un^,^Unused^,^SP_0_1_0004_Request_Text^,^You'll need a weapon if we're going to get out of here. Check that weapon rack.^
^Un^,^Unused^,^SP_0_1_0004_Accepted_Text^,^You'll need a weapon if we're going to get out of here. Check that weapon rack.^
^Un^,^Unused^,^SP_0_1_0004_Ongoing_Text^,^See if you can find anything useful on that weapon rack. We're going to have to fight our way out of here.^
^Un^,^Unused^,^SP_0_1_0004_Complete_Text^,^Hurry up and equip the weapon you found. We can't linger here.^
^map_f00^,^Prison of Salant^,^SP_0_1_0005_Title^,^Prison Break^
^map_f01^,^Prison of Salant^,^SP_0_1_0005_RewarderDesc^,^Captain Prengel^
^map_f02^,^Prison of Salant^,^SP_0_1_0005_Request_Text^,^Follow Crow. He can lead us out of Salant's prison.^
^map_f03^,^Prison of Salant^,^SP_0_1_0005_Accepted_Text^,^Follow Crow. He can lead us out of Salant's prison.^
^map_f04^,^Prison of Salant^,^SP_0_1_0005_Ongoing_Text^,^Glad to see you crawled out of that wreckage in one piece.^
^map_f05^,^Prison of Salant^,^SP_0_1_0005_Complete_Text^,^Glad to see you crawled out of that wreckage in one piece.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_Title^,^Through Fire and Flame^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_RewarderDesc^,^Private Corrance^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_Request_Text^,^The emberstone golem... it's a living being of flame and rock that was created by Salant himself! If something like that ever got out, can you imagine the destruction it could create? It's our responsibility to make sure it never gets its chance.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_Accepted_Text^,^We are the kingdom's last line of defense against Lavalight Cave.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_Ongoing_Text^,^The emberstone golem... it's a living being of flame and rock that was created by Salant himself! If something like that ever got out, can you imagine the destruction it could create? It's our responsibility to make sure it never gets its chance.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_Complete_Text^,^You've done a great thing for Hakanas. That creature could have reduced the whole forest to cinders! Thank you for your bravery.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_1_Title^,^[Normal/Elite] Through Fire and Flame^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_1_RewarderDesc^,^Private Corrance^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_1_Request_Text^,^The emberstone golem... it's a living being of flame and rock that was created by Salant himself! If something like that ever got out, can you imagine the destruction it could create? It's our responsibility to make sure it never gets its chance.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_1_Accepted_Text^,^Venture into Lavalight Cave and destroy the golem within.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_1_Ongoing_Text^,^The emberstone golem... it's a living being of flame and rock that was created by Salant himself! If something like that ever got out, can you imagine the destruction it could create? It's our responsibility to make sure it never gets its chance.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_1_Complete_Text^,^You've done a great thing for Hakanas. That creature could have reduced the whole forest to cinders! Thank you for your bravery.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_7_Title^,^[Story] Through Fire and Flame^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_7_RewarderDesc^,^Evelyn^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_7_Request_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Challenger Ring. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_7_Accepted_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Challenger Ring. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_7_Ongoing_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Challenger Ring. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_7_Complete_Text^,^Well done. May this trinket aid you in your adventures. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_8_Title^,^[Elite] Through Fire and Flame^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_8_RewarderDesc^,^Evelyn^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_8_Request_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Conqueror Ring. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_8_Accepted_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Conqueror Ring. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_8_Ongoing_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Conqueror Ring. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_8_Complete_Text^,^Well done. May this trinket aid you in your adventures. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_9_Title^,^[Heroic] Through Fire and Flame^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_9_RewarderDesc^,^Evelyn^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_9_Request_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Master Necklace. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_9_Accepted_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Master Necklace. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_9_Ongoing_Text^,^Traverse the Lavalight Cave, triumph against the golem that lurks in its very depths, and I'll reward you with a Lavalight Master Necklace. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0001_9_Complete_Text^,^Well done. May this trinket aid you in your adventures. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_Title^,^Escort Duty^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_RewarderDesc^,^Priestess Chapley Singer^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_Request_Text^,^T-thank you. The golem was too strong for us. We...we lost many good people. Too many. I don't know what help I can be, but if you are planning to hunt the monster down, I will aid you where I can.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_Accepted_Text^,^Let's put the beast to bed...for my friends^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_Ongoing_Text^,^T-thank you. The golem was too strong for us. We...we lost many good people. Too many. I don't know what help I can be, but if you are planning to hunt the monster down, I will aid you where I can.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_Complete_Text^,^We must let Private Corrance know that the golem is dead. After that, I'll return to my father. In the moment I thought I was going to lose my life, he was all I could think of...^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_1_Title^,^Talk to Private Corrance^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_1_RewarderDesc^,^Private Corrance ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_1_Request_Text^,^Please tell Private Corrance about what happened here.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_1_Accepted_Text^,^If its meant to be, we'll meet again.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_1_Ongoing_Text^,^Are you safe Priestess Chapley?^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_1_Complete_Text^,^Chapley! What a relief! <br><br>So, you took on the golem with the priestess? You've done the Dragon Knights a great service.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_2_Title^,^Through Fire and Flame^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_2_RewarderDesc^,^Priestess Chapley Singer^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_2_Request_Text^,^If you are planning on facing that flaming monstrosity in Lavalight Cave, you may need my help. What do you say?^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_2_Accepted_Text^,^We'll destroy the creature, no matter what it takes.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_2_Ongoing_Text^,^If you are planning on facing that flaming monstrosity in Lavalight Cave, you may need my help. What do you say?^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0002_2_Complete_Text^,^Now that the monster is dead, I can return to father.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_Title^,^Burning Eternal^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_RewarderDesc^,^Private Corrance ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_Request_Text^,^Getting to the golem has proven more difficult than we expected. It has surrounded itself with all manner of walking dead, prior victims brought back with foul magic to serve the evil beast. If you could defeat these walking abominations, maybe their souls could get some rest.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_Accepted_Text^,^These abominations must be cleansed from the earth.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_Ongoing_Text^,^Getting to the golem has proven more difficult than we expected. It has surrounded itself with all manner of walking dead, prior victims brought back with foul magic to serve the evil beast. If you could defeat these walking abominations, maybe their souls could get some rest.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_Complete_Text^,^The dead are finally free.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_1_Title^,^Burning Eternal^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_1_RewarderDesc^,^Private Corrance ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_1_Request_Text^,^Getting to the golem has proven more difficult than we expected. It has surrounded itself with all manner of walking dead, prior victims brought back with foul magic to serve the evil beast. If you could defeat these walking abominations, maybe their souls could get some rest.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_1_Accepted_Text^,^The dead are finally free.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_1_Ongoing_Text^,^Getting to the golem has proven more difficult than we expected. It has surrounded itself with all manner of walking dead, prior victims brought back with foul magic to serve the evil beast. If you could defeat these walking abominations, maybe their souls could get some rest.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0003_1_Complete_Text^,^The dead are finally free.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0004_Title^,^A Priestess in Need^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0004_RewarderDesc^,^Priestess Chapley Singer^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0004_Request_Text^,^I'm so ashamed. I was the only one who made it out alive. I should have tried to save them...Chapley, at least. She doesn't deserve this. Please, if you're going in there, can you look for her? I just need to know if she's...Please. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0004_Accepted_Text^,^I should have stayed and fought...^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0004_Ongoing_Text^,^Water...Water...^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0004_Complete_Text^,^Corrance... sent...you? I...can't...think... Water... Please...^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0005_Title^,^A Fiery Thirst^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0005_RewarderDesc^,^Priestess Chapley Singer^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0005_Request_Text^,^W-water... Please... I have... a bottle...<br><br>(You hear water dripping somewhere in the cave. There might be a spring.)^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0005_Accepted_Text^,^W-water... Please... Get me some...^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0005_Ongoing_Text^,^Water...Water...^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0005_Complete_Text^,^Ah... Water... Gods be praised... <br><br>
T-thank you. The golem was too strong for us. We...we lost many good people. I was overcome by the heat and collapsed. You've saved my life.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0006_Title^,^Embers and Eggs^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0006_RewarderDesc^,^Private Corrance^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0006_Request_Text^,^I think the Tempest Dragons came to Lavalight Cave to spawn. Before we were attacked, my patrol found a clutch of eggs in the cavern depths. We can't let those eggs hatch... You know what to do.  ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0006_Accepted_Text^,^Those eggs can't be allowed to hatch.^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0006_Ongoing_Text^,^I think the Tempest Dragons came to Lavalight Cave to spawn. Before we were attacked, my patrol found a clutch of eggs in the cavern depths. We can't let those eggs hatch... You know what to do. ^
^map_f02^,^Hakanas Highlands^,^BC_0_1_0006_Complete_Text^,^You destroyed their eggs? I should have asked you to save a few. I bet they'd be great in soup...^
^map_f02^,^Hakanas Highlands^,^km_0_1_0001_Title^,^[Elite] The Cursed^
^map_f02^,^Hakanas Highlands^,^km_0_1_0001_RewarderDesc^,^Jessica^
^map_f02^,^Hakanas Highlands^,^km_0_1_0001_Request_Text^,^The count... changed his closest companions first. LeBrand and Gustav were sad at first, but they started to enjoy eternal life more and more. Now they're mindless brutes. Please, save them from their living hell. They're not themselves.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0001_Accepted_Text^,^It's better to be dead than to live on as one of those monsters.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0001_Ongoing_Text^,^The count... changed his closest companions first. LeBrand and Gustav were sad at first, but they started to enjoy eternal life more and more. Now they're mindless brutes. Please, save them from their living hell. They're not themselves.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0001_Complete_Text^,^Thank you for freeing LeBrand and Gustav from the Count's clutches. They were good men once, but they would have hurt so many more people. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_Title^,^The Mad Count^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_RewarderDesc^,^Jessica^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_Request_Text^,^The count's become a monster. He was a kind man once, but now he feeds on the blood of his subjects. He's a murderer and a cannibal! Please... you have to stop him.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_Accepted_Text^,^How could the count turn on us so?^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_Ongoing_Text^,^The count's become a monster. He was a kind man once, but now he feeds on the blood of his subjects. He's a murderer and a cannibal! Please... you have to stop him.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_Complete_Text^,^May the count's soul find peace... I pray for my lady's safe return.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_1_Title^,^[Normal/Elite] The Mad Count^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_1_RewarderDesc^,^Jessica^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_1_Request_Text^,^The count's become a monster. He was a kind man once, but now he feeds on the blood of his subjects. He's a murderer and a cannibal! Please... you have to stop him.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_1_Accepted_Text^,^How could the count turn on us so?^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_1_Ongoing_Text^,^The count's become a monster. He was a kind man once, but now he feeds on the blood of his subjects. He's a murderer and a cannibal! Please... you have to stop him.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_1_Complete_Text^,^May the count's soul find peace... I pray for my lady's safe return.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_7_Title^,^[Story] The Mad Count^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_7_RewarderDesc^,^Evelyn^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_7_Request_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Challenger Ring... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_7_Accepted_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Challenger Ring... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_7_Ongoing_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Challenger Ring... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_7_Complete_Text^,^Well done. May this trinket aid you in your adventures. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_8_Title^,^[Elite] The Mad Count^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_8_RewarderDesc^,^Evelyn^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_8_Request_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Conqueror Ring... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_8_Accepted_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Conqueror Ring... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_8_Ongoing_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Conqueror Ring... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_8_Complete_Text^,^Well done. May this trinket aid you in your adventures. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_9_Title^,^[Heroic] The Mad Count^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_9_RewarderDesc^,^Evelyn^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_9_Request_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Master Necklace... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_9_Accepted_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Master Necklace... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_9_Ongoing_Text^,^Venture into Carleon Manor, and defeat it's lord! I will grant you the Carleon Master Necklace... if you return. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0002_9_Complete_Text^,^Well done. May this trinket aid you in your adventures. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0003_Title^,^Sorcerers of Khabim^
^map_f02^,^Hakanas Highlands^,^km_0_1_0003_RewarderDesc^,^Jessica^
^map_f02^,^Hakanas Highlands^,^km_0_1_0003_Request_Text^,^You wanna know what I think? I think those Khabim Brotherhood scoundrels are behind this! I saw them bringing the count a big scary book and then next thing you know, he's a blood-sucking monster! If you really want to stop this horrible plague, you've got to find that book and kick them out of the manor!^
^map_f02^,^Hakanas Highlands^,^km_0_1_0003_Accepted_Text^,^This plague won't end until you do something about the Khabimists. ^
^map_f02^,^Hakanas Highlands^,^km_0_1_0003_Ongoing_Text^,^You wanna know what I think? I think those Khabim Brotherhood scoundrels are behind this! I saw them bringing the count a big scary book and then next thing you know, he's a blood-sucking monster! If you really want to stop this horrible plague, you've got to find that book and kick them out of the manor!^
^map_f02^,^Hakanas Highlands^,^km_0_1_0003_Complete_Text^,^This book is evil, if you ask me. The count would still be a human if he hadn't had this cursed thing. I'm going to take it to Aspirant Azalia. She'll know what to do with it.^
^map_f02^,^Hakanas Highlands^,^km_0_1_0004_Title^,^A Blade Worth Saving^
^map_f02^,^Hakanas Highlands^,^km_0_1_0004_RewarderDesc^,^Beck^
