t_type,t_typename,t_key,t_eng
^Co^,^Common^,^getitemruleunique^,^Unique^
^Co^,^Common^,^ui_autolooting_Unique^,^Loot Unique+^
^Co^,^Common^,^quick_request_mentor^,^Request Mentor^
^Co^,^Common^,^quick_invite_mentee^,^Invite Protege^
^Co^,^Common^,^ui_tab_friendlist_mentoring^,^Mentoring^
^Co^,^Common^,^ui_title_mentoring_invite_mentee^,^Invite Protege^
^Co^,^Common^,^ui_title_mentoring_request_mentor^,^Request Mentor^
^Co^,^Common^,^ui_title_mentoring_reward^,^Mentoring Reward^
^Co^,^Common^,^ui_desc_mentoring_invite_mentee^,^Enter the name of the protege to invite.^
^Co^,^Common^,^ui_desc_mentoring_request_mentor^,^Enter the name of the mentor to request.^
^Co^,^Common^,^ui_desc_release_mentoring^,^When you end a mentoring relationship, you can't establish new mentoring relationships for 24 hours.<br>Do you really want to end the mentoring relationship?^
^Co^,^Common^,^ui_desc_mentoring_request_graduate^,^You achieved the level required for graduation.<br>Do you want to ask your mentor to graduate?<br><br><G_Y>(Graduation requests can't be undone, and if the mentor doesn't approve it within 3 days, the mentoring relationship will be automatically terminated.)</G_Y>^
^Co^,^Common^,^ui_mentoring_person^,^Name^
^Co^,^Common^,^ui_mentoring_level_reward_label^,^Level-up Reward^
^Co^,^Common^,^ui_mentoring_mentee_reward_label^,^Protege Reward^
^Co^,^Common^,^ui_mentoring_mentor_reward_label^,^Mentor Reward^
^Co^,^Common^,^ui_mentoring_buff_reward_label^,^Buff Reward^
^Co^,^Common^,^ui_mentoring_move_label^,^Convenient Mobility Function^
^Co^,^Common^,^ui_mentoring_reward_desc^,^When you establish a mentoring relationship, you get special perks.^
^Co^,^Common^,^ui_mentoring_level_reward_desc1^,^When a protege can earn special rewards by achieving levels 20, 30, 40, 50, 55, and 60.^
^Co^,^Common^,^ui_mentoring_level_reward_desc2^,^Once a protege achieves a specific level, rewards are sent to Ellora's Storage. (Unclaimed items will disappear after 7 days.)^
^Co^,^Common^,^ui_mentoring_buff_reward_desc^,^When the mentor and protege both log in at the same time, a buff is applied. (Mentors receive better buffs when more proteges are logged in.)^
^Co^,^Common^,^ui_mentoring_move_desc^,^Characters that have established mentoring relationships can summon the other without consuming elluns.^
^Co^,^Common^,^ui_mentoring_graduation_label^,^Graduation.^
^Co^,^Common^,^ui_mentoring_mentee_buff_label^,^Protege Buff.^
^Co^,^Common^,^ui_mentoring_mentor_buff_label^,^Mentor Buff.^
^Co^,^Common^,^shop_tab_alsas^,^Alsas^
^Co^,^Common^,^shop_tab_telio^,^Teleo^
^Co^,^Common^,^ui_arena_grade_table_info^,^View Rank Info Window^
^Co^,^Common^,^ui_arena_no_record^,^No Record^
