t_key,t_korean
^E_01_0_0001_0000_Name^,^Rhino guards^
^E_01_0_0001_0000_NameDetail^,^^
^E_01_0_0002_0000_Name^,^Rhino fighters^
^E_01_0_0002_0000_NameDetail^,^^
^E_02_1_0007_0000_Name^,^Gray Wolf^
^E_02_1_0007_0000_NameDetail^,^^
^E_02_1_0007_0001_Name^,^Wild Grey Wolf^
^E_02_1_0007_0001_NameDetail^,^^
^E_02_1_0007_0002_Name^,^Wild Grey Wolf^
^E_02_1_0007_0002_NameDetail^,^^
^E_02_4_0008_0000_Name^,^wood nymph^
^E_02_4_0008_0000_NameDetail^,^^
^E_02_1_0010_0000_Name^,^mane Boar^
^E_02_1_0010_0000_NameDetail^,^^
^E_02_1_0010_0001_Name^,^mane Boar^
^E_02_1_0010_0001_NameDetail^,^^
^E_02_1_0011_0000_Name^,^wild mane Boar^
^E_02_1_0011_0000_NameDetail^,^^
^E_02_1_0011_0001_Name^,^wild mane Boar^
^E_02_1_0011_0001_NameDetail^,^^
^E_02_1_0011_0002_Name^,^molar boar^
^E_02_1_0011_0002_NameDetail^,^^
^E_02_0_0012_0000_Name^,^Brage Scout^
^E_02_0_0012_0000_NameDetail^,^^
^E_02_0_0016_0000_Name^,^Brage workers^
^E_02_0_0016_0000_NameDetail^,^^
^E_02_0_0017_0000_Name^,^Brage fighters^
^E_02_0_0017_0000_NameDetail^,^^
^E_02_0_0018_0000_Name^,^Brage Hunter^
^E_02_0_0018_0000_NameDetail^,^^
^E_02_0_0021_0000_Name^,^Xiamen Brage^
^E_02_0_0021_0000_NameDetail^,^^
^E_02_1_0030_0000_Name^,^wild boar^
^E_02_1_0030_0000_NameDetail^,^^
^E_51_0_0001_0000_Name^,^Yeti warriors^
^E_51_0_0001_0000_NameDetail^,^^
^E_51_0_0002_0000_Name^,^Yeti Shaman^
^E_51_0_0002_0000_NameDetail^,^^
^E_51_0_0013_0000_Name^,^yeti hunters^
^E_51_0_0013_0000_NameDetail^,^^
^E_51_0_0019_0000_Name^,^Yeti colon Santin^
^E_51_0_0019_0000_NameDetail^,^^
^E_02_0_0032_0000_Name^,^Brage Beast Trainer^
^E_02_0_0032_0000_NameDetail^,^^
^E_01_0_0007_0000_Name^,^Rhino guards^
^E_01_0_0007_0000_NameDetail^,^^
^E_01_0_0008_0000_Name^,^Rhino guards^
^E_01_0_0008_0000_NameDetail^,^^
^E_01_0_0009_0000_Name^,^Rhino fighters^
^E_01_0_0009_0000_NameDetail^,^^
^E_51_0_0020_0000_Name^,^yeti hunters^
^E_51_0_0020_0000_NameDetail^,^^
^E_51_0_0015_0000_Name^,^Yeti warriors^
^E_51_0_0015_0000_NameDetail^,^^
^E_51_0_0016_0000_Name^,^Yeti Shaman^
^E_51_0_0016_0000_NameDetail^,^^
^E_02_0_0036_0000_Name^,^Brage workers^
^E_02_0_0036_0000_NameDetail^,^^
^E_51_5_0001_0000_Name^,^furnace^
^E_51_5_0001_0000_NameDetail^,^^
^E_02_0_0037_0000_Name^,^Brage workers^
^E_02_0_0037_0000_NameDetail^,^^
^E_02_0_0040_0000_Name^,^Brage predatory warrior^
^E_02_0_0040_0000_NameDetail^,^^
^E_02_0_0041_0000_Name^,^Xiamen Brage^
^E_02_0_0041_0000_NameDetail^,^^
^E_02_0_0042_0000_Name^,^Brage home to the mighty^
^E_02_0_0042_0000_NameDetail^,^^
^E_02_0_0043_0000_Name^,^Brage workers^
^E_02_0_0043_0000_NameDetail^,^^
^E_02_0_0044_0000_Name^,^Brage workers^
^E_02_0_0044_0000_NameDetail^,^^
^E_02_0_0045_0000_Name^,^Brage workers^
^E_02_0_0045_0000_NameDetail^,^^
^E_02_0_0046_0000_Name^,^Brage fighters^
^E_02_0_0046_0000_NameDetail^,^^
^E_02_0_0016_0001_Name^,^Brage workers^
^E_02_0_0016_0001_NameDetail^,^^
^E_01_4_0637_0000_Name^,^head-to-Rex^
^E_01_4_0637_0000_NameDetail^,^^
^E_02_0_1022_0000_Name^,^Brage supervisor^
^E_02_0_1022_0000_NameDetail^,^^
^E_02_0_0644_0000_Name^,^ancient ruins Ghost^
^E_02_0_0644_0000_NameDetail^,^^
^E_02_0_0012_0001_Name^,^Brage Scout^
^E_02_0_0012_0001_NameDetail^,^^
^E_02_0_0661_0000_Name^,^Brage penetration promoting^
^E_02_0_0661_0000_NameDetail^,^^
^E_02_0_0017_0002_Name^,^Brage fighters^
^E_02_0_0017_0002_NameDetail^,^^
^E_02_0_0653_0000_Name^,^extinction early^
^E_02_0_0653_0000_NameDetail^,^^
^E_02_0_0654_0000_Name^,^sheen wood nymph^
^E_02_0_0654_0000_NameDetail^,^^
^E_02_0_0654_0001_Name^,^sheen wood nymph^
^E_02_0_0654_0001_NameDetail^,^^
^E_02_0_0655_0000_Name^,^Fairy Queen elkwineseu^
^E_02_0_0655_0000_NameDetail^,^^
^E_02_0_0656_0000_Name^,^holy land managers Ghost^
^E_02_0_0656_0000_NameDetail^,^^
^E_02_0_0657_0000_Name^,^Brage collected tout^
^E_02_0_0657_0000_NameDetail^,^^
^E_02_0_0658_0000_Name^,^Brage combat troops home^
^E_02_0_0658_0000_NameDetail^,^^
^E_02_0_0658_0001_Name^,^Brage combat troops home^
^E_02_0_0658_0001_NameDetail^,^^
^E_02_0_0659_0000_Name^,^Brage chiefs^
^E_02_0_0659_0000_NameDetail^,^^
^E_02_0_0660_0000_Name^,^spirit of the cold crystal^
^E_02_0_0660_0000_NameDetail^,^^
^E_02_1_0007_0003_Name^,^Gray Wolf sights^
^E_02_1_0007_0003_NameDetail^,^^
^E_02_0_0021_0001_Name^,^Xiamen Brage^
^E_02_0_0021_0001_NameDetail^,^^
^E_02_0_0661_0001_Name^,^Brage penetration disease^
^E_02_0_0661_0001_NameDetail^,^^
^E_02_0_0662_0000_Name^,^Brage collected tout^
^E_02_0_0662_0000_NameDetail^,^^
^E_02_1_0344_0000_Name^,^red fox sites^
^E_02_1_0344_0000_NameDetail^,^^
^E_02_0_0033_0001_Name^,^Brage workers^
^E_02_0_0033_0001_NameDetail^,^^
^E_02_0_0036_0001_Name^,^Brage workers^
^E_02_0_0036_0001_NameDetail^,^^
^E_02_0_0037_0001_Name^,^Brage workers^
^E_02_0_0037_0001_NameDetail^,^^
^E_02_0_0045_0001_Name^,^Brage workers^
^E_02_0_0045_0001_NameDetail^,^^
^E_02_0_0607_0000_Name^,^Wild boar cub^
^E_02_0_0607_0000_NameDetail^,^^
^E_02_0_0012_0002_Name^,^Brage Scout^
^E_02_0_0012_0002_NameDetail^,^^
^E_02_5_0001_0002_Name^,^Brage Crossbow^
^E_02_5_0001_0002_NameDetail^,^^
^E_02_0_0043_0001_Name^,^Brage Crossbow repair Bottle^
