t_key,t_korean,t_jpn,t_chinese,t_enu
^E_C02_GHorse_001_Name^,^Meadow Zebra^,^草原のシマウマ^,^^,^^
^E_C02_GHorse_001_NameDetail^,^^,^^,^^,^^
^E_C02_GHorse_002_Name^,^Nimble Zebra^,^素早いシマウマ^,^^,^^
^E_C02_GHorse_002_NameDetail^,^^,^^,^^,^^
^E_C02_Rhino_001_Name^,^Old Rhino^,^老いたサイ^,^^,^^
^E_C02_Rhino_001_NameDetail^,^^,^^,^^,^^
^E_C02_Rhino_002_Name^,^Ferocious Rhinoceros^,^凶暴ななサイ^,^^,^^
^E_C02_Rhino_002_NameDetail^,^^,^^,^^,^^
^E_C02_Rhino_003_Name^,^Trained Rhino^,^調教されたサイ^,^^,^^
^E_C02_Rhino_003_NameDetail^,^^,^^,^^,^^
^E_C02_Giraffe_001_Name^,^Meadow Giraffe^,^草原のキリン^,^^,^^
^E_C02_Giraffe_001_NameDetail^,^^,^^,^^,^^
^E_C02_Giraffe_002_Name^,^Mgile Giraffe^,^素早いキリン^,^^,^^
^E_C02_Giraffe_002_NameDetail^,^^,^^,^^,^^
^E_C02_ChildB_001_Name^,^Boy Evil Spirit^,^悪霊に憑依された男の子^,^^,^^
^E_C02_ChildB_001_NameDetail^,^^,^^,^^,^^
^E_C02_ChildG_002_Name^,^Girl Evil Spirit^,^悪霊に憑依された女の子^,^^,^^
^E_C02_ChildG_002_NameDetail^,^^,^^,^^,^^
^E_C02_TucaPatro_001_Name^,^Tucan Ranger^,^トーガン族 巡察兵^,^^,^^
^E_C02_TucaPatro_001_NameDetail^,^^,^^,^^,^^
^E_C02_BrHatride_001_Name^,^Tucan Beast Trainer^,^トーガン族 野獣調教師^,^^,^^
^E_C02_BrHatride_001_NameDetail^,^^,^^,^^,^^
^E_C02_TucaFpris_001_Name^,^Tucan Battle Priest^,^トーガン族 戦闘司祭^,^^,^^
^E_C02_TucaFpris_001_NameDetail^,^^,^^,^^,^^
^E_C02_BrhaCata_001_Name^,^Tucan Catapult^,^トーガン族 投石兵^,^^,^^
^E_C02_BrhaCata_001_NameDetail^,^^,^^,^^,^^
^E_C02_Lion_001_Name^,^Latoras^,^ラトラス^,^^,^^
^E_C02_Lion_001_NameDetail^,^^,^^,^^,^^
^E_C02_Lion_002_Name^,^Trained Latoras^,^調教されたラトラス^,^^,^^
^E_C02_Lion_002_NameDetail^,^^,^^,^^,^^
^E_C02_Lion_003_Name^,^Hungry Latoras^,^飢えたラトラス^,^^,^^
^E_C02_Lion_003_NameDetail^,^^,^^,^^,^^
^E_C02_Lioness_001_Name^,^Lioness^,^リオネス^,^^,^^
^E_C02_Lioness_001_NameDetail^,^^,^^,^^,^^
^E_C02_Lioness_002_Name^,^Hungry Lioness^,^飢えたリオネス^,^^,^^
^E_C02_Lioness_002_NameDetail^,^^,^^,^^,^^
^E_C02_Crocodile_001_Name^,^Meadow Crocodile^,^草原のワニ^,^^,^^
^E_C02_Crocodile_001_NameDetail^,^^,^^,^^,^^
^E_C02_Gazelle_001_Name^,^Sharphorn Gazelle^,^鋭い角を持ったガゼル^,^^,^^
^E_C02_Gazelle_001_NameDetail^,^^,^^,^^,^^
^E_C02_Elephant_001_Name^,^Cornou^,^コルヌ^,^^,^^
^E_C02_Elephant_001_NameDetail^,^^,^^,^^,^^
^E_C02_Elephant_002_Name^,^Pirun^,^ピルン^,^^,^^
