t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^E_C02_RondL_00_Name^,^복면의 남자^,^^,^^,^Cloaked Man^,^^,^^
^E_C02_RondL_00_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_RondL_01_Name^,^론도 테라문스^,^^,^^,^Rondo Terramunce^,^^,^^
^E_C02_RondL_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_CabeHerut_0_Name^,^냉혈의 헤러틱^,^^,^^,^Cold-blooded Heretic^,^^,^^
^E_C02_CabeHerut_0_NameDetail^,^카라드 해적단^,^^,^^,^Karrad Pirate^,^^,^^
^E_C02_bismoneye_1_Name^,^카라드 해적단 습격자^,^^,^^,^Karrad Marauder^,^^,^^
^E_C02_bismoneye_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_cabebombf_1_Name^,^카라드 해적단 포병^,^^,^^,^Karrad Artilleryman^,^^,^^
^E_C02_cabebombf_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_carmdeckh_1_Name^,^카라드 해적단 항해사^,^^,^^,^Karrad Shipmate^,^^,^^
^E_C02_carmdeckh_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_corstreas_1_Name^,^카라드 해적단 강탈자^,^^,^^,^Karrad Raider^,^^,^^
^E_C02_corstreas_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_fanasnipe_1_Name^,^카라드 해적단 저격수^,^^,^^,^Karrad Marksman^,^^,^^
^E_C02_fanasnipe_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_mohahealer_1_Name^,^카라드 해적단 선의^,^^,^^,^Karrad Medic^,^^,^^
^E_C02_mohahealer_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_bismoneye_2_Name^,^크피르 도적단 망루병^,^^,^^,^Khapir Lookout^,^^,^^
^E_C02_bismoneye_2_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_fanarecon_2_Name^,^크피르 도적단 습격자^,^^,^^,^Khapir Marauder^,^^,^^
^E_C02_fanarecon_2_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_fanasnipe_2_Name^,^크피르 도적단 저격수^,^^,^^,^Khapir Marksman^,^^,^^
^E_C02_fanasnipe_2_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_mohascout_2_Name^,^크피르 도적단 탐색꾼^,^^,^^,^Khapir Explorer^,^^,^^
^E_C02_mohascout_2_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_mohasnipe_2_Name^,^크피르 도적단 감시자^,^^,^^,^Khapir Watcher^,^^,^^
^E_C02_mohasnipe_2_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_bismoneye_3_Name^,^모하바 용병단 암살자^,^^,^^,^Mohaban Assassin^,^^,^^
^E_C02_bismoneye_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_corstreas_3_Name^,^모하바 용병단 강탈자^,^^,^^,^Mohaban Raider^,^^,^^
^E_C02_corstreas_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_fanarecon_3_Name^,^모하바 용병단 습격자^,^^,^^,^Mohaban Marauder^,^^,^^
^E_C02_fanarecon_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_fanasnipe_3_Name^,^모하바 용병단 저격수^,^^,^^,^Mohaban Sniper^,^^,^^
^E_C02_fanasnipe_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_mohahealer_3_Name^,^모하바 용병단 정찰꾼^,^^,^^,^Mohaban Scout^,^^,^^
^E_C02_mohahealer_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_mohascout_3_Name^,^모하바 용병단 탐색꾼^,^^,^^,^Mohaban Explorer^,^^,^^
^E_C02_mohascout_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_mohasnipe_3_Name^,^모하바 용병단 감시자^,^^,^^,^Mohaban Watcher^,^^,^^
^E_C02_mohasnipe_3_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_carmboatm_1_Name^,^부선장 호니골드^,^^,^^,^Vice Captain Honeygold^,^^,^^
^E_C02_carmboatm_1_NameDetail^,^카라드 해적단^,^^,^^,^Karrad Pirate^,^^,^^
^E_C02_fanastone_1_Name^,^행동대장 허크^,^^,^^,^Combat Leader Huck^,^^,^^
^E_C02_fanastone_1_NameDetail^,^크피르 도적단^,^^,^^,^Khapir Thieves^,^^,^^
^E_C02_treesequie_1_Name^,^크리덴^,^^,^^,^Kiriden^,^^,^^
^E_C02_treesequie_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_treethorn_1_Name^,^브로덴^,^^,^^,^Boroden^,^^,^^
^E_C02_treethorn_1_NameDetail^,^^,^^,^^,^^,^^,^^
^E_C02_undergrass_1_Name^,^식인초^,^^,^^,^Carnivorous Plant^,^^,^^
^E_C02_undergrass_1_NameDetail^,^^,^^,^^,^^,^^,^^
