t_key,t_korean,t_jpn,t_chinese,t_enu
^e_f04_flybabray_001_Name^,^Kid^,^キイズ^,^^,^^
^e_f04_flybabray_001_NameDetail^,^^,^^,^^,^^
^e_f04_force_ac_001_Name^,^Energy Amplifier^,^オーラ増幅器^,^^,^^
^e_f04_force_ac_001_NameDetail^,^^,^^,^^,^^
^E_f04_SkullH1_001_Name^,^Forlorn Hope^,^決死隊^,^^,^^
^E_f04_SkullH1_001_NameDetail^,^Ancient Legions^,^古代の軍団^,^^,^^
^E_f04_CabeElit_001_Name^,^Assault Captain^,^突撃隊長^,^^,^^
^E_f04_CabeElit_001_NameDetail^,^Ancient Legions^,^古代の軍団^,^^,^^
^E_f04_SkullB2_002_Name^,^Longbowman^,^長弓兵^,^^,^^
^E_f04_SkullB2_002_NameDetail^,^Ancient Legions^,^古代の軍団^,^^,^^
^e_f04_ImmoMagi_003_Name^,^Skeleton Speller^,^スケルトン呪文者^,^^,^^
^e_f04_ImmoMagi_003_NameDetail^,^the immortal legion^,^不死の軍団^,^^,^^
^e_f04_ImmoKnigh_003_Name^,^Black Dragon Knight^,^ブラッグドラゴン騎士^,^^,^^
^e_f04_ImmoKnigh_003_NameDetail^,^the immortal legion^,^不死の軍団^,^^,^^
^e_f04_ImmoSoldi_002_Name^,^Dragon Knight's Servant^,^ドラゴン騎士の使い^,^^,^^
^e_f04_ImmoSoldi_002_NameDetail^,^the immortal legion^,^不死の軍団^,^^,^^
^E_f04_Wisp_001_Name^,^Transparent Energy^,^透明なオーラ^,^^,^^
^E_f04_Wisp_001_NameDetail^,^^,^^,^^,^^
^E_f04_Wisp_002_Name^,^Transparent Energy^,^透明なオーラ^,^^,^^
^E_f04_Wisp_002_NameDetail^,^^,^^,^^,^^
^E_f04_Soul_Stone_001_name^,^Piece of Life^,^生命の欠片^,^^,^^
^E_f04_Soul_Stone_001_namedetail^,^^,^^,^^,^^
^e_f05_whale_0001_name^,^Void Letornsia^,^!!^,^^,^^
^e_f05_whale_0001_namedetail^,^^,^!!^,^^,^^
^e_f05_dragbone_001_name^,^Void Kravid^,^!!^,^^,^^
^e_f05_dragbone_001_namedetail^,^^,^!!^,^^,^^
^E_D22_flybabray_001_name^,^Cow^,^!!^,^^,^^
^E_D22_flybabray_001_namedetail^,^^,^!!^,^^,^^
^E_F04_Griffon_0001_name^,^Void Cargoyle^,^!!^,^^,^^
^E_F04_Griffon_0001_namedetail^,^^,^!!^,^^,^^
^E_F04_Griffon_0002_name^,^Dawn's Cargoyle^,^!!^,^^,^^
^E_F04_Griffon_0002_namedetail^,^^,^!!^,^^,^^
^e_f04_DimpM1_0000_name^,^Immortal Legion Imp^,^!!^,^^,^^
^e_f04_DimpM1_0000_namedetail^,^^,^!!^,^^,^^
^E_F04_StormEgg_0001_name^,^Draku's Egg^,^!!^,^^,^^
^E_F04_StormEgg_0001_namedetail^,^^,^!!^,^^,^^
^E_F04_VampBat_0001_name^,^Boss Dark Bat^,^!!^,^^,^^
^E_F04_VampBat_0001_namedetail^,^^,^!!^,^^,^^
^E_F04_VampBat_0002_name^,^Darkness Bat^,^!!^,^^,^^
^E_F04_VampBat_0002_namedetail^,^^,^!!^,^^,^^
^E_f04_Beldon_0001_name^,^Immortal Veldon^,^!!^,^^,^^
^E_f04_Beldon_0001_namedetail^,^^,^!!^,^^,^^
^e_f04_ImmoLilis_002_name^,^Immortal Legion Lilith^,^!!^,^^,^^
^e_f04_ImmoLilis_002_namedetail^,^^,^!!^,^^,^^
^e_f04_ImmoSoldi_003_name^,^Immortal Legion Soldier^,^!!^,^^,^^
^e_f04_ImmoSoldi_003_namedetail^,^^,^!!^,^^,^^
^e_f04_ImmoHopli_004_name^,^Undead Corps Heavy Sergeant^,^!!^,^^,^^
^e_f04_ImmoHopli_004_namedetail^,^^,^!!^,^^,^^
^e_f04_ImmoKnigh_006_name^,^Immortal Legion Knight^,^!!^,^^,^^
^e_f04_ImmoKnigh_006_namedetail^,^^,^!!^,^^,^^
^e_f04_ImmoMagi_006_name^,^Undead Legion Shaman^,^!!^,^^,^^
^e_f04_ImmoMagi_006_namedetail^,^^,^!!^,^^,^^
^E_f04_ElquFairy_001_name^,^Ikeria^,^!!^,^^,^^
^E_f04_ElquFairy_001_namedetail^,^^,^!!^,^^,^^
^E_f04_Spirwisp_001_name^,^Red Light Wisp^,^!!^,^^,^^
^E_f04_Spirwisp_001_namedetail^,^^,^!!^,^^,^^
^E_f04_Spirwisp_002_name^,^Blue Light Wisp^,^!!^,^^,^^
^E_f04_Spirwisp_002_namedetail^,^^,^!!^,^^,^^
^E_f04_ChaoDeram_001_name^,^De Porta^,^!!^,^^,^^
^E_f04_ChaoDeram_001_namedetail^,^^,^!!^,^^,^^
^E_f04_Spirwisp_003_name^,^Ghost in Darkness^,^!!^,^^,^^
^E_f04_Spirwisp_003_namedetail^,^^,^!!^,^^,^^
^E_f04_ghost_001_name^,^WandeRing Ghost^,^!!^,^^,^^
^E_f04_ghost_001_namedetail^,^^,^!!^,^^,^^
^E_f04_GoleAncf_001_name^,^Flaam^,^!!^,^^,^^
^E_f04_GoleAncf_001_namedetail^,^^,^!!^,^^,^^
^E_f04_GoleAncu_002_name^,^Pyram^,^!!^,^^,^^
^E_f04_GoleAncu_002_namedetail^,^^,^!!^,^^,^^
^E_f04_Hatchling_001_name^,^Blay^,^!!^,^^,^^
^E_f04_Hatchling_001_namedetail^,^^,^!!^,^^,^^
^E_F04_ColdAncfi_001_name^,^Claire^,^!!^,^^,^^
^E_F04_ColdAncfi_001_namedetail^,^^,^!!^,^^,^^
^E_f04_MoorCharg_001_name^,^Frozen Spirit^,^!!^,^^,^^
^E_f04_MoorCharg_001_namedetail^,^^,^!!^,^^,^^
^E_f04_Moorjavel_001_name^,^Chilled Out Spirit^,^!!^,^^,^^
^E_f04_Moorjavel_001_namedetail^,^^,^!!^,^^,^^
^E_F04_Golebomb_001_name^,^Living Fire Bomb^,^!!^,^^,^^
^E_F04_Golebomb_001_namedetail^,^^,^!!^,^^,^^
^E_F04_spidTa_001_name^,^Avarne^,^!!^,^^,^^
^E_F04_spidTa_001_namedetail^,^Soul Predator^,^!!^,^^,^^
^E_F04_spid_001_name^,^Soul Reaver^,^!!^,^^,^^
^E_F04_spid_001_namedetail^,^^,^!!^,^^,^^
^E_F04_spid_002_name^,^Soul Eater^,^!!^,^^,^^
^E_F04_spid_002_namedetail^,^^,^!!^,^^,^^
^E_F04_spidEgg_0001_name^,^Ancient Dragon Egg^,^!!^,^^,^^
^E_F04_spidEgg_0001_namedetail^,^^,^!!^,^^,^^
^E_f04_Spirwisp_004_name^,^Cursed Soul^,^!!^,^^,^^
^E_f04_Spirwisp_004_namedetail^,^^,^!!^,^^,^^
^E_f04_Spirwisp_005_name^,^SuffeRing Soul^,^!!^,^^,^^
^E_f04_Spirwisp_005_namedetail^,^^,^!!^,^^,^^
^E_F04_Spid_003_Name^,^Soul Spider^,^!!^,^^,^^
^E_F04_Spid_003_NameDetail^,^^,^!!^,^^,^^
^E_F04_Spir_001_Name^,^Fallen Light Fairy^,^!!^,^^,^^
^E_F04_Spir_001_NameDetail^,^^,^!!^,^^,^^
^e_f04_flybabray_003_Name^,^Kenny^,^!!^,^^,^^
^e_f04_flybabray_003_NameDetail^,^^,^!!^,^^,^^
^e_f04_flybabray_004_Name^,^Kumizu^,^^,^^,^^
^e_f04_flybabray_004_NameDetail^,^^,^^,^^,^^
