t_key,t_korean
^E_01_0_0245_0000_Name^,^Leo^
^E_01_0_0245_0000_NameDetail^,^^
^E_00_0_0686_0000_Name^,^Eagle^
^E_00_0_0686_0000_NameDetail^,^^
^E_00_0_0083_0000_Name^,^Bear^
^E_00_0_0083_0000_NameDetail^,^^
^E_00_0_0602_0000_Name^,^Braghin Scout^
^E_00_0_0602_0000_NameDetail^,^^
^E_00_0_0704_0000_Name^,^Tempest Dragon^
^E_00_0_0704_0000_NameDetail^,^^
^E_00_0_0245_0000_Name^,^Leo^
^E_00_0_0245_0000_NameDetail^,^^
^E_00_0_0605_0000_Name^,^Braghin Pillager (for video)^
^E_00_0_0605_0000_NameDetail^,^^
^E_00_0_1100_0000_Name^,^Shadowcaster Archpriest (for video)^
^E_00_0_1100_0000_NameDetail^,^^
^E_99_0_1501_0000_Name^,^Luminous Lion^
^E_99_0_1501_0000_NameDetail^,^^
^E_99_0_0644_0000_Name^,^Reaper^
^E_99_0_0644_0000_NameDetail^,^^
^E_99_0_0003_0000_Name^,^Karade Butcher^
^E_99_0_0003_0000_NameDetail^,^^
^E_99_0_0002_0000_Name^,^Karade Raider^
^E_99_0_0002_0000_NameDetail^,^^
^E_99_0_0004_0000_Name^,^Jason Clakey^
^E_99_0_0004_0000_NameDetail^,^Karrad Pirate^
^E_99_0_0007_0000_Name^,^Blackbreath^
^E_99_0_0007_0000_NameDetail^,^Tempest Dragon^
^E_99_0_0011_0000_Name^,^Bochepa^
^E_99_0_0011_0000_NameDetail^,^^
^E_99_0_0006_0000_Name^,^Karade Deckhand^
^E_99_0_0006_0000_NameDetail^,^^
^E_99_0_0008_0000_Name^,^Karade Runner^
^E_99_0_0008_0000_NameDetail^,^^
^E_99_0_0005_0000_Name^,^Ruthless Jeradin^
^E_99_0_0005_0000_NameDetail^,^Karade Pirate^
^E_99_0_0009_0000_Name^,^Cinderwing^
^E_99_0_0009_0000_NameDetail^,^Tempest Dragon^
^E_99_0_0010_0000_Name^,^Karasha the Dark One^
^E_99_0_0010_0000_NameDetail^,^Salant Henchman^
^E_99_0_0014_0000_Name^,^Karade Raider^
^E_99_0_0014_0000_NameDetail^,^^
^E_99_0_0012_0000_Name^,^Karade Cutthroat^
^E_99_0_0012_0000_NameDetail^,^^
^E_03_0_1300_0001_Name^,^Beached Karade Pirate^
^E_03_0_1300_0001_NameDetail^,^^
^E_03_0_0003_0000_Name^,^Bismuth the Ruthless^
^E_03_0_0003_0000_NameDetail^,^Pirate Captain^
^E_99_0_0008_0001_Name^,^Karade Runner^
^E_99_0_0008_0001_NameDetail^,^^
^E_99_0_0008_0002_Name^,^Karade Runner^
^E_99_0_0008_0002_NameDetail^,^^
^e_f04_DragAster_001_Name^,^Flotier^
^e_f04_DragAster_001_NameDetail^,^^
^e_f04_DragBonwy_001_Name^,^Vylet the Deep One^
