t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^E_D13_Sinsia_01_Name^,^신시아^,^^,^^,^Cynthia^,^^,^^
^E_D13_Sinsia_01_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Sinsia_02_Name^,^신시아^,^^,^^,^Cynthia^,^^,^^
^E_D13_Sinsia_02_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Sinsia_03_Name^,^광기의 신시아^,^^,^^,^Mad Cynthia^,^^,^^
^E_D13_Sinsia_03_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Sinsia_04_Name^,^광기의 신시아^,^^,^^,^Mad Cynthia^,^^,^^
^E_D13_Sinsia_04_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Jason_01_Name^,^제이슨^,^^,^^,^Jason^,^^,^^
^E_D13_Jason_01_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Jason_02_Name^,^제이슨^,^^,^^,^Jason^,^^,^^
^E_D13_Jason_02_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Jason_03_Name^,^파멸의 제이슨^,^^,^^,^Jason of Destruction^,^^,^^
^E_D13_Jason_03_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Jason_04_Name^,^파멸의 제이슨^,^^,^^,^Jason of Destruction^,^^,^^
^E_D13_Jason_04_NameDetail^,^카브임 지휘관^,^^,^^,^Khabim Commander^,^^,^^
^E_D13_Devco_01_Name^,^환술사 니바르^,^^,^^,^Dark Mage Nibar^,^^,^^
^E_D13_Devco_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Devco_02_Name^,^환술사 니바르^,^^,^^,^Dark Mage Nibar^,^^,^^
^E_D13_Devco_02_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Devco_03_Name^,^환술사 니바르^,^^,^^,^Dark Mage Nibar^,^^,^^
^E_D13_Devco_03_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Devco_04_Name^,^환술사 니바르^,^^,^^,^Dark Mage Nibar^,^^,^^
^E_D13_Devco_04_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Chimera_01_Name^,^키메라^,^^,^^,^Chimera^,^^,^^
^E_D13_Chimera_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Chimera_02_Name^,^키메라^,^^,^^,^Chimera^,^^,^^
^E_D13_Chimera_02_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Chimera_03_Name^,^키메라^,^^,^^,^Chimera^,^^,^^
^E_D13_Chimera_03_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Spirit_01_Name^,^파멸의 제단^,^^,^^,^Altar of Destruction^,^^,^^
^E_D13_Spirit_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Magic_door_01_Name^,^파멸의 구슬^,^^,^^,^Orb of Destruction^,^^,^^
^E_D13_Magic_door_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_KingBat_01_Name^,^크라바소스^,^^,^^,^Krabasos^,^^,^^
^E_D13_KingBat_01_NameDetail^,^스캇라샤의 피조물^,^^,^^,^Skatrasha's Creation^,^^,^^
^E_D13_GagoTamp_01_Name^,^지하 가고일^,^^,^^,^Underground Gargoyle^,^^,^^
^E_D13_GagoTamp_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_GagoRock_01_Name^,^암석 가고일^,^^,^^,^Stone Gargoyle^,^^,^^
^E_D13_GagoRock_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_Fanasnipe_01_Name^,^카브임 감시자^,^^,^^,^Khabimist Surveillant^,^^,^^
^E_D13_Fanasnipe_01_NameDetail^,^카브임 교단^,^^,^^,^Khabim Brotherhood^,^^,^^
^E_D13_FanaDevo_01_Name^,^카브임 마법사^,^^,^^,^Khabimist Mage^,^^,^^
^E_D13_FanaDevo_01_NameDetail^,^카브임 교단^,^^,^^,^Khabim Brotherhood^,^^,^^
^E_D13_CabePatro_01_Name^,^카브임 순찰자^,^^,^^,^Khabimist Patrolman^,^^,^^
^E_D13_CabePatro_01_NameDetail^,^카브임 교단^,^^,^^,^Khabim Brotherhood^,^^,^^
^E_D13_Cabeassa_01_Name^,^카브임 암살자^,^^,^^,^Khabimist Assassin^,^^,^^
^E_D13_Cabeassa_01_NameDetail^,^카브임 교단^,^^,^^,^Khabim Brotherhood^,^^,^^
^E_D13_RebSold_01_Name^,^유적 수호 전사^,^^,^^,^Relic Guardian Warrior^,^^,^^
^E_D13_RebSold_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_RebWiz_01_Name^,^유적 수호 마법사^,^^,^^,^Relic Guardian Mage^,^^,^^
^E_D13_RebWiz_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_D13_RebBow_01_Name^,^유적 수호 궁수^,^^,^^,^Relic Guardian Archer^,^^,^^
^E_D13_RebBow_01_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_0_0000_0002_Name^,^사막 표범^,^^,^^,^Desert Leopard^,^^,^^
^E_F05_0_0000_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_ScorTong_001_Name^,^집게 전갈^,^^,^^,^Big Claw Scorpion^,^^,^^
^E_F05_ScorTong_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_ScorTail_001_Name^,^독침 전갈^,^^,^^,^Venomous Scorpion^,^^,^^
^E_F05_ScorTail_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_BaldEagle_001_Name^,^대머리 독수리^,^^,^^,^Bald Eagle^,^^,^^
^E_F05_BaldEagle_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_BaldThun_001_Name^,^사막 거미^,^^,^^,^Sand Spider^,^^,^^
^E_F05_BaldThun_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_OstrichDC_001_Name^,^사막 버팔로^,^^,^^,^Desert Buffalo^,^^,^^
^E_F05_OstrichDC_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_EturSand_001_Name^,^해안가 거북^,^^,^^,^Shoreline Turtle^,^^,^^
^E_F05_EturSand_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_CrocOasi_001_Name^,^바다 악어^,^^,^^,^Sea Crocodile^,^^,^^
^E_F05_CrocOasi_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_Griffon_001_Name^,^그리폰^,^^,^^,^Griffon^,^^,^^
^E_F05_Griffon_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_Griffon_002_Name^,^백은의 챠누스^,^^,^^,^Chanus^,^^,^^
^E_F05_Griffon_002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_Ceratops_001_Name^,^독침 전갈^,^^,^^,^Venomous Scorpion^,^^,^^
^E_F05_Ceratops_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_KingBat_001_Name^,^금빛의 키바렌^,^^,^^,^Golden Kibaren^,^^,^^
^E_F05_KingBat_001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_F05_ScorTong_002_Name^,^독액의 베가루스^,^^,^^,^Vegarus^,^^,^^
^E_F05_ScorTong_002_NameDetail^,^^,^^,^^,^^,^^,^^
