t_key,t_korean
^E_F10_Mattude_01_Name^,^Mattude^
^E_F10_Matitle_01_Name^,^Matitle^
^E_F10_Laserta_01_Name^,^Laserta Cumpano^
^E_F10_Roperse_01_Name^,^Roperse^
^E_F10_Egnaive_01_Name^,^Egnaive^
^E_F10_PoiBdra_01_Name^,^Burning Calcess^
^E_F10_Rublom_01_Name^,^Rublom^
^E_F10_Hitrit_01_Name^,^Hitrit^
^E_F10_Bonederuger_01_Name^,^Undead Corps Bonederuger^
^E_F10_Igal_01_Name^,^The Immortal Corps Igal^
^E_F10_Rayol_01_Name^,^Illusion Fragment Rayol^
^E_F10_RayKun_01_Name^,^Welcome to Raykun^
^E_F10_RayKun_02_Name^,^Welcome to RayKun^
^E_F10_Zombi_01_Name^,^The Immortal Legion Blood Seeker^
^E_F10_Zombi_02_Name^,^Immortal Legion Chaos Caller^
^E_F10_Zombi_03_Name^,^Destroyer of the Immortal Legion's egotism^
^E_F10_Beatus_01_Name^,^Cursed Beatus^
^E_F10_Beatus_02_Name^,^Beatus of Destruction^
^E_F10_Rondo_01_Name^,^Welcome Rondo^
^E_F10_Crow_01_Name^,^Welcome to Crow^
^E_F10_Rania_01_Name^,^Welcome to Princess Rania^
^E_D27_DragonBlack_01_Name^,^Fire Dragon Corps Lieutenant^
^E_F10_Fmatude_01_Name^,^Martude^
^E_F10_Threename_01_Name^,^Threenames^
