t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^E_51_0_0001_0000_Name^,^설인 전사^,^イエティウォーリアー^,^^,^Yeti Champion^,^^,^^
^E_51_0_0001_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_0_0002_0000_Name^,^설인 주술사^,^イエティソーサラー^,^^,^Yeti Shaman^,^^,^^
^E_51_0_0002_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_0_0013_0000_Name^,^설인 사냥꾼^,^イエティハンター^,^^,^Yeti Hunter^,^^,^^
^E_51_0_0013_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_0_0019_0000_Name^,^설인 대장 산틴^,^部族長サンティン^,^^,^Chief Sinthan^,^^,^^
^E_51_0_0019_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_0_0020_0000_Name^,^설인 사냥꾼^,^イエティハンター^,^^,^Yeti Hunter^,^^,^^
^E_51_0_0020_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_0_0015_0000_Name^,^설인 용사^,^イエティウォーリアー^,^^,^Yeti Warrior^,^^,^^
^E_51_0_0015_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_0_0016_0000_Name^,^설인 주술사^,^イエティソーサラー^,^^,^Yeti Shaman^,^^,^^
^E_51_0_0016_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_51_5_0001_0000_Name^,^화로^,^火鉢^,^^,^Fire Bowl^,^^,^^
^E_51_5_0001_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0676_0000_Name^,^회색 거미^,^灰色蜘蛛^,^^,^Gray Spider^,^^,^^
^E_03_0_0676_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0671_0000_Name^,^유적지 순록^,^遺跡のトナカイ^,^^,^Ruins Reindeer^,^^,^^
^E_03_0_0671_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0083_0000_Name^,^굶주린 불곰^,^ハングリーベア^,^^,^Scavenger Bear^,^^,^^
^E_03_0_0083_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0083_0001_Name^,^우두머리 트루탄^,^リーダートゥルタン^,^^,^Trutan^,^^,^^
^E_03_0_0083_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0309_0000_Name^,^상처난 회색 늑대^,^傷ついたグレーウルフ^,^^,^Wounded Gray Wolf^,^^,^^
^E_03_0_0309_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0309_0001_Name^,^어둠의 그림자늑대^,^シャドーウルフ^,^^,^Assassin Wolf^,^^,^^
^E_03_0_0309_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0309_0002_Name^,^거친그림자 펜리스^,^勇猛のペンリス^,^^,^Fenris^,^^,^^
^E_03_0_0309_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0700_0000_Name^,^늑대인간 변형체^,^ワーウルフ^,^^,^Werewolf^,^^,^^
^E_03_0_0700_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0702_0000_Name^,^늑대인간 변형체^,^ワーウルフ^,^^,^Werewolf^,^^,^^
^E_03_0_0702_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0700_0001_Name^,^늑대인간 습격자^,^ワーウルフアサルター^,^^,^Werewolf Marauder^,^^,^^
^E_03_0_0700_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0702_0001_Name^,^늑대인간 암살자^,^ワーウルフアサシン^,^^,^Werewolf Assassin^,^^,^^
^E_03_0_0702_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0700_0002_Name^,^늑대인간 사냥꾼^,^ワーウルフハンター^,^^,^Werewolf Hunter^,^^,^^
^E_03_0_0700_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0701_0000_Name^,^사냥꾼 대장 잭^,^ジャック^,^^,^Jack the Hunter^,^^,^^
^E_03_0_0701_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0309_0003_Name^,^검은 그림자 사냥개 프레시^,^シャドウハウンドプレッシー^,^^,^Presh^,^^,^^
^E_03_0_0309_0003_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0309_0004_Name^,^공포의 그림자늑대^,^恐怖のシャドーウルフ^,^^,^Dread Assassin Wolf^,^^,^^
^E_03_0_0309_0004_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0606_0000_Name^,^큰발굽 멧돼지^,^大きい蹄のイノシシ^,^^,^Bighoof Boar^,^^,^^
^E_03_0_0606_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0671_0001_Name^,^수정뿔 순록^,^水晶角のトナカイ^,^^,^Crystalhorn Doe^,^^,^^
^E_03_0_0671_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0704_0013_Name^,^거대 불새 칼날 발톱^,^火竜フォルテ^,^^,^Rogue Dragon^,^^,^^
^E_03_0_0704_0013_NameDetail^,^화염룡족^,^火炎竜族^,^^,^Fire Dragon^,^^,^^
^E_03_0_0694_0000_Name^,^라비니족 좀도둑^,^ラビニ族のこそ泥^,^^,^Rabbini Cutpurse^,^^,^^
^E_03_0_0694_0000_NameDetail^,^^,^ラビニ族^,^^,^^,^^,^^
^E_03_0_0682_0000_Name^,^큰 날개 꿀벌^,^ジャイアントハーニービー^,^^,^Drake Bee^,^^,^^
^E_03_0_0682_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0682_0001_Name^,^병정벌^,^兵隊蜂^,^^,^Soldier Bee^,^^,^^
^E_03_0_0682_0001_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0115_0000_Name^,^하마 개구리^,^カバカエル^,^^,^Hippopotamus Frog^,^^,^^
^E_03_0_0115_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0672_0000_Name^,^포악한 검은 소^,^獰猛な黒牛^,^^,^Black Bison^,^^,^^
^E_03_0_0672_0000_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0083_0002_Name^,^난폭한 불곰^,^乱暴なヒグマ^,^^,^Fierce Brown Bear^,^^,^^
^E_03_0_0083_0002_NameDetail^,^^,^^,^^,^^,^^,^^
^E_03_0_0606_0001_Name^,^커다란 멧돼지^,^大きいワイルドボア^,^^,^Big Wild Boar^,^^,^^
^E_03_0_0606_0001_NameDetail^,^^,^^,^^,^^,^^,^^
